<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUIL.US,D,20260518,000000,14.1714,14.8662,14.1,14.8662,2090,0
SUIL.US,D,20260520,000000,14.58,15.49,14.58,15.4337,4101,0
SUIL.US,D,20260521,000000,16.26,17.6107,16.18,17.6107,3687,0
SUIL.US,D,20260522,000000,16.56,16.56,14.77,14.8925,8038,0
SUIL.US,D,20260526,000000,14.25,14.37,13.3903,13.3903,496,0
SUIL.US,D,20260527,000000,12.94,13.29,12.66,12.6854,406,0
SUIL.US,D,20260528,000000,10.7,11.37,10.7,11.1989,9663,0
SUIL.US,D,20260529,000000,10.48,11.38,10.41,10.67,9780,0
SUIL.US,D,20260601,000000,9.74,10.1199,9.52,10.0347,7189,0
SUIL.US,D,20260602,000000,9.47,9.47,8.46,8.8452,8237,0
SUIL.US,D,20260603,000000,8.81,8.99,8.5652,8.5652,11548,0
SUIL.US,D,20260604,000000,8.0812,8.0812,7.8672,7.8672,725,0
SUIL.US,D,20260605,000000,6.78,6.78,5.9194,6.21,42684,0
SUIL.US,D,20260608,000000,7.3,7.48,7.27,7.3209,51261,0
SUIL.US,D,20260609,000000,6.93,7.1983,6.78,7.1983,8533,0
SUIL.US,D,20260610,000000,7.245,7.245,6.77,6.8278,34433,0
SUIL.US,D,20260611,000000,7.29,7.3463,7.29,7.3463,112,0
SUIL.US,D,20260612,000000,7.18,7.35,7.08,7.0864,7866,0
SUIL.US,D,20260615,000000,8.34,8.45,8.0555,8.0555,5719,0
SUIL.US,D,20260616,000000,7.67,7.8561,7.6,7.8561,1504,0
SUIL.US,D,20260617,000000,7.84,8.12,7.5011,7.5011,2128,0
SUIL.US,D,20260618,000000,6.68,6.8,6.3,6.475,10102,0
SUIL.US,D,20260622,000000,6.695,6.8,6.38,6.453,20666,0
SUIL.US,D,20260623,000000,6.18,6.28,5.96,6.011,14463,0
SUIL.US,D,20260624,000000,5.75,5.77,5.28,5.52,7571,0
