<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UPAL.US,D,20260424,000000,36.84,36.84,36.6639,36.6639,104,0
UPAL.US,D,20260428,000000,35,35,34.55,34.7746,1345,0
UPAL.US,D,20260429,000000,34.78,34.78,34.712,34.712,300,0
UPAL.US,D,20260430,000000,35.66,37.739,35.66,37.739,204,0
UPAL.US,D,20260501,000000,38.27,38.5,37.6464,37.6464,1306,0
UPAL.US,D,20260504,000000,35.31,35.4107,35.16,35.4107,240,0
UPAL.US,D,20260505,000000,36.75,36.75,35.7781,35.7781,314,0
UPAL.US,D,20260507,000000,35.54,35.87,35.53,35.7763,807,0
UPAL.US,D,20260508,000000,34.85,35.5021,34.85,35.5021,211,0
UPAL.US,D,20260513,000000,36.19,36.3825,36.19,36.3825,116,0
UPAL.US,D,20260514,000000,33.71,33.72,33.48,33.4923,1458,0
UPAL.US,D,20260515,000000,32.02,32.2654,32.02,32.2654,232,0
UPAL.US,D,20260518,000000,31.92,31.93,31.7074,31.7074,1915,0
UPAL.US,D,20260520,000000,29.22,30.33,29.22,30.183,4434,0
UPAL.US,D,20260521,000000,30.4,30.6165,30.39,30.6165,2535,0
UPAL.US,D,20260522,000000,29.38,29.38,29.1075,29.1075,1771,0
UPAL.US,D,20260526,000000,30.79,30.79,30.2946,30.2946,768,0
UPAL.US,D,20260528,000000,28.405,29.8537,28.2,29.8537,746,0
UPAL.US,D,20260529,000000,29.51,29.51,29.23,29.2539,276,0
UPAL.US,D,20260608,000000,23.1,23.15,22.46,23.0148,5497,0
UPAL.US,D,20260609,000000,24.26,24.26,23.5806,23.5806,3336,0
UPAL.US,D,20260610,000000,23.94,24.4,23.2713,23.2713,443,0
UPAL.US,D,20260612,000000,26.86,26.86,25.5416,25.5416,922,0
UPAL.US,D,20260615,000000,27.17,28.0866,27.17,28.0866,1015,0
UPAL.US,D,20260616,000000,28.95,28.95,28.5371,28.5371,429,0
UPAL.US,D,20260618,000000,25.3505,25.3913,25.3505,25.3913,191,0
UPAL.US,D,20260622,000000,24.28,24.5934,24.28,24.5934,172,0
UPAL.US,D,20260624,000000,21.26,21.3,20.87,20.91,4749,0
