<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VOOX.US,D,20260608,000000,23.59,24,23.59,23.6564,890,0
VOOX.US,D,20260609,000000,24.015,24.185,22.8,23.4775,5006,0
VOOX.US,D,20260610,000000,23.39,23.5,22.8357,22.8357,830,0
VOOX.US,D,20260611,000000,23.2001,23.5525,23.2,23.5525,1610,0
VOOX.US,D,20260612,000000,23.61,23.88,23.47,23.7671,3905,0
VOOX.US,D,20260615,000000,24.65,24.67,24.49,24.5348,2560,0
VOOX.US,D,20260616,000000,24.53,24.53,24.3254,24.3254,1052,0
VOOX.US,D,20260618,000000,24.07,24.2189,24.07,24.2189,1276,0
VOOX.US,D,20260622,000000,24.75,24.75,23.9751,23.9751,2024,0
VOOX.US,D,20260623,000000,23.64,23.64,23.35,23.3756,1852,0
VOOX.US,D,20260624,000000,23.34,23.34,23.34,23.34,1082,0
