<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WCMG.US,D,20260427,000000,19.63,19.7,19.6096,19.6586,8522,0
WCMG.US,D,20260429,000000,19.51,19.51,19.5054,19.5054,700,0
WCMG.US,D,20260430,000000,19.74,20.01,19.733,19.99,3054,0
WCMG.US,D,20260501,000000,20.13,20.13,20.09,20.1209,2000,0
WCMG.US,D,20260504,000000,20.24,20.3249,20.24,20.3249,422,0
WCMG.US,D,20260505,000000,20.24,20.405,20.24,20.405,1200,0
WCMG.US,D,20260506,000000,20.7,20.89,20.7,20.8897,1891,0
WCMG.US,D,20260507,000000,20.62,20.62,20.46,20.4699,1916,0
WCMG.US,D,20260508,000000,20.51,20.51,20.4323,20.4323,788,0
WCMG.US,D,20260514,000000,20.79,20.79,20.7304,20.7304,394,0
WCMG.US,D,20260518,000000,20.64,20.64,20.6,20.6,389,0
WCMG.US,D,20260522,000000,20.83,20.88,20.83,20.865,952,0
WCMG.US,D,20260526,000000,21.06,21.1651,21.03,21.1651,901,0
WCMG.US,D,20260527,000000,21.04,21.055,21.0399,21.055,800,0
WCMG.US,D,20260528,000000,21.225,21.225,21.22,21.22,1542,0
WCMG.US,D,20260529,000000,21.22,21.2258,21.22,21.2258,300,0
WCMG.US,D,20260601,000000,21.395,21.495,21.395,21.495,501,0
WCMG.US,D,20260602,000000,21.43,21.43,21.4031,21.4031,13732,0
WCMG.US,D,20260603,000000,21.19,21.23,21.1639,21.1639,805,0
WCMG.US,D,20260604,000000,21.36,21.375,21.36,21.375,302,0
WCMG.US,D,20260605,000000,21.075,21.075,20.805,20.805,123,0
WCMG.US,D,20260609,000000,20.73,20.84,20.42,20.7679,2407,0
WCMG.US,D,20260611,000000,20.62,21.025,20.62,21.025,1621,0
WCMG.US,D,20260615,000000,21.81,21.81,21.7368,21.7368,6381,0
WCMG.US,D,20260617,000000,21.825,21.825,21.82,21.82,2602,0
WCMG.US,D,20260623,000000,21.34,21.341,21.34,21.341,209,0
WCMG.US,D,20260624,000000,21.35,21.42,21.165,21.165,2645,0
