<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WDIG.US,D,20260508,000000,53.13,53.32,52.77,53.0049,78727,0
WDIG.US,D,20260511,000000,54.6199,54.8788,54.225,54.35,10251,0
WDIG.US,D,20260512,000000,54.01,55.16,53.225,55.16,4290,0
WDIG.US,D,20260513,000000,55.805,56.805,55.52,56.2101,3336,0
WDIG.US,D,20260514,000000,55.45,55.45,54.0701,54.385,5323,0
WDIG.US,D,20260515,000000,51.01,51.01,50,50.265,8092,0
WDIG.US,D,20260518,000000,51.74,51.74,48.79,49.23,5007,0
WDIG.US,D,20260519,000000,48.29,48.29,47.345,47.3779,1217,0
WDIG.US,D,20260520,000000,48.22,49.6,48.22,49.5059,1814,0
WDIG.US,D,20260521,000000,49.07,50.2842,49.07,50.2842,1747,0
WDIG.US,D,20260522,000000,50.51,51.15,50.21,50.6898,4480,0
WDIG.US,D,20260526,000000,52.52,52.93,52.46,52.93,2398,0
WDIG.US,D,20260527,000000,51.84,52.19,51.84,51.9508,942,0
WDIG.US,D,20260528,000000,53.275,53.46,53.225,53.2568,7055,0
WDIG.US,D,20260529,000000,52.9,53.6,52.5799,52.7782,1307,0
WDIG.US,D,20260601,000000,53.68,53.68,53.5545,53.5545,317,0
WDIG.US,D,20260602,000000,55.01,55.63,55.01,55.4076,2750,0
WDIG.US,D,20260603,000000,53.98,54.085,53.15,53.1762,2338,0
WDIG.US,D,20260604,000000,52.655,52.7648,52.52,52.7648,1009,0
WDIG.US,D,20260605,000000,50.49,50.49,46.9401,47.0415,4316,0
WDIG.US,D,20260608,000000,47.275,47.42,46.8743,46.8743,2349,0
WDIG.US,D,20260609,000000,47.44,47.44,45.7035,45.7035,472,0
WDIG.US,D,20260610,000000,45.09,45.32,43.22,43.5105,4102,0
WDIG.US,D,20260611,000000,44.0834,46.885,44.0834,46.885,1137,0
WDIG.US,D,20260612,000000,47.4,48.225,47.4,48.1168,522,0
WDIG.US,D,20260615,000000,49.6,49.7365,49.23,49.2776,1945,0
WDIG.US,D,20260616,000000,49.645,49.645,49.4226,49.4226,430,0
WDIG.US,D,20260617,000000,50.35,50.35,48.8303,48.8303,538,0
WDIG.US,D,20260618,000000,49,49,48.14,48.2284,3263,0
WDIG.US,D,20260622,000000,48.32,48.32,48,48.0534,876,0
WDIG.US,D,20260623,000000,44.88,45.2399,44.26,44.31,3641,0
WDIG.US,D,20260624,000000,42.78,42.91,42.38,42.547,2591,0
