<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAGI.US,D,20260605,000000,22.82,22.82,20.383,20.383,1443,0
XAGI.US,D,20260608,000000,21.15,21.19,21.0087,21.0087,1503,0
XAGI.US,D,20260609,000000,21.465,21.465,19.59,20.1242,2144,0
XAGI.US,D,20260610,000000,20.39,20.39,19.2734,19.2734,1173,0
XAGI.US,D,20260611,000000,19.65,20.8089,19.65,20.8089,156,0
XAGI.US,D,20260612,000000,21,21.2899,20.73,21.0239,1874,0
XAGI.US,D,20260615,000000,22.5,22.7446,22.1901,22.7446,2070,0
XAGI.US,D,20260616,000000,24.93,25.4699,22.2335,22.2335,1657,0
XAGI.US,D,20260617,000000,22.6299,22.6299,21.53,21.6418,1409,0
XAGI.US,D,20260618,000000,22.4901,22.7384,22.49,22.7384,2157,0
XAGI.US,D,20260622,000000,22.84,22.84,22.14,22.198,1119,0
XAGI.US,D,20260623,000000,20.01,21.865,20.01,20.7759,593,0
