<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XBOX.US,D,20260323,000000,99.03,99.03,98.93,98.93,3200816,0
XBOX.US,D,20260324,000000,98.88,99.08,98.88,98.98,2123,0
XBOX.US,D,20260325,000000,99.04,99.34,99,99.33,8143,0
XBOX.US,D,20260326,000000,99.07,99.07,98.7,98.7,8372,0
XBOX.US,D,20260327,000000,98.98,99.07,98.75,98.98,23743,0
XBOX.US,D,20260330,000000,99,99.09,98.99,99,11297,0
XBOX.US,D,20260331,000000,99.01,99.235,98.51,98.51,46389,0
XBOX.US,D,20260401,000000,99.02,99.16,99.02,99.02,47955,0
XBOX.US,D,20260402,000000,99.05,99.2,99.05,99.06,32466,0
XBOX.US,D,20260406,000000,99.21,99.22,99.05,99.05,50896,0
XBOX.US,D,20260407,000000,99.08,99.19,99.08,99.08,26861,0
XBOX.US,D,20260408,000000,99.24,99.24,99.09,99.14,15280,0
XBOX.US,D,20260409,000000,99.1,99.25,99.1,99.1,27051,0
XBOX.US,D,20260410,000000,99.14,99.28,99.11,99.28,20695,0
XBOX.US,D,20260413,000000,99.15,99.29,99.11,99.16,39310,0
XBOX.US,D,20260414,000000,99.25,99.26,99.06,99.06,194878,0
XBOX.US,D,20260415,000000,99.14,99.2,99.09,99.18,115783,0
XBOX.US,D,20260416,000000,99.19,99.275,99.18,99.21,119183,0
XBOX.US,D,20260417,000000,99.21,99.3,99.21,99.29,36011,0
XBOX.US,D,20260420,000000,99.3,99.3,99.23,99.23,12409,0
XBOX.US,D,20260421,000000,99.25,99.34,99.24,99.24,24402,0
XBOX.US,D,20260422,000000,99.36,99.38,99.29,99.29,18694,0
XBOX.US,D,20260423,000000,99.39,99.39,99.29,99.29,20207,0
XBOX.US,D,20260424,000000,99.39,99.39,99.32,99.32,3286,0
XBOX.US,D,20260427,000000,99.39,99.41,99.36,99.37,2351,0
XBOX.US,D,20260428,000000,99.36,99.36,99.34,99.35,557812,0
XBOX.US,D,20260429,000000,99.35,99.37,99.35,99.35,6856,0
XBOX.US,D,20260430,000000,99.41,99.41,99.34,99.34,61393,0
XBOX.US,D,20260501,000000,99.39,99.4,99.38,99.38,11216,0
XBOX.US,D,20260504,000000,99.38,99.41,99.37,99.37,21774,0
XBOX.US,D,20260505,000000,99.4,99.42,99.4,99.42,5769,0
XBOX.US,D,20260506,000000,99.43,99.43,99.41,99.42,8372,0
XBOX.US,D,20260507,000000,99.42,99.44,99.42,99.4275,4188,0
XBOX.US,D,20260508,000000,99.54,99.54,99.45,99.45,35713,0
XBOX.US,D,20260511,000000,99.48,99.55,99.44,99.46,14456,0
XBOX.US,D,20260512,000000,99.47,99.49,99.44,99.44,22088,0
XBOX.US,D,20260513,000000,99.48,99.5,99.46,99.5,7619,0
XBOX.US,D,20260514,000000,99.58,99.58,99.45,99.5276,13478,0
XBOX.US,D,20260515,000000,99.54,99.69,99.53,99.65,9239,0
XBOX.US,D,20260518,000000,99.58,99.58,99.5302,99.5302,8758,0
XBOX.US,D,20260519,000000,99.55,99.55,99.53,99.53,32734,0
XBOX.US,D,20260520,000000,99.54,99.5739,99.54,99.5739,9212,0
XBOX.US,D,20260521,000000,99.6084,99.6084,99.54,99.56,9421,0
XBOX.US,D,20260522,000000,99.65,99.69,99.58,99.58,20058,0
XBOX.US,D,20260526,000000,99.61,99.61,99.58,99.58,35470,0
XBOX.US,D,20260527,000000,99.63,99.63,99.59,99.59,14122,0
XBOX.US,D,20260528,000000,99.63,99.64,99.61,99.61,6770,0
XBOX.US,D,20260529,000000,99.66,99.68,99.63,99.66,24193,0
XBOX.US,D,20260601,000000,99.67,99.67,99.6,99.67,83171,0
XBOX.US,D,20260602,000000,99.67,99.692,99.39,99.61,23567,0
XBOX.US,D,20260603,000000,99.69,99.7,99.43,99.53,553599,0
XBOX.US,D,20260604,000000,99.67,99.67,99.5,99.5,48310,0
XBOX.US,D,20260605,000000,99.7056,99.7056,99.59,99.65,122757,0
XBOX.US,D,20260608,000000,99.66,99.695,99.66,99.67,119529,0
XBOX.US,D,20260609,000000,99.72,99.73,99.71,99.72,68083,0
XBOX.US,D,20260610,000000,100.06,100.06,99.64,99.72,21288,0
XBOX.US,D,20260611,000000,99.8,99.8,99.65,99.745,118155,0
XBOX.US,D,20260612,000000,99.91,99.91,99.76,99.76,28809,0
XBOX.US,D,20260615,000000,99.79,99.79,99.77,99.78,2493,0
XBOX.US,D,20260616,000000,99.82,99.82,99.78,99.78,25308,0
XBOX.US,D,20260617,000000,99.86,99.86,99.71,99.79,105358,0
XBOX.US,D,20260618,000000,99.88,99.95,99.82,99.94,16417,0
XBOX.US,D,20260622,000000,100.08,100.1,99.84,99.84,8691,0
XBOX.US,D,20260623,000000,100.18,100.18,99.9999,99.9999,6424,0
XBOX.US,D,20260624,000000,100.18,100.2,100.01,100.1,10460,0
