<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XSEM.US,D,20260608,000000,21.86,22.61,21.86,22.0225,11066,0
XSEM.US,D,20260609,000000,22.85,23.02,19.85,21.3207,4799,0
XSEM.US,D,20260610,000000,21.51,21.7,20.1248,20.1248,5005,0
XSEM.US,D,20260611,000000,21.4,22.8146,21.02,22.8146,2751,0
XSEM.US,D,20260612,000000,23.13,23.8999,23.13,23.5583,506,0
XSEM.US,D,20260616,000000,25.53,25.57,23.2997,23.2997,1841,0
XSEM.US,D,20260617,000000,24.6,24.6,23.8134,23.8134,629,0
XSEM.US,D,20260618,000000,26.5,26.54,26.49,26.5094,1484,0
XSEM.US,D,20260622,000000,26.74,27.23,26.5331,27.0152,2479,0
XSEM.US,D,20260623,000000,23.675,24.46,23.3376,23.3376,1010,0
XSEM.US,D,20260624,000000,23.34,23.34,22.21,22.31,3012,0
