<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AADX.US,D,20260603,000000,20.75,20.95,18.575,19.01,18035284,0
AADX.US,D,20260604,000000,19.2,19.74,18.38,18.6,4800392,0
AADX.US,D,20260605,000000,18.595,18.595,17.08,17.54,2761867,0
AADX.US,D,20260608,000000,17.45,19.51,17.25,19.22,3142329,0
AADX.US,D,20260609,000000,19.17,19.95,18.75,19.12,4040767,0
AADX.US,D,20260610,000000,19.03,20.36,18.41,18.41,1641103,0
AADX.US,D,20260611,000000,18.51,22.2,18.42,22.09,2431274,0
AADX.US,D,20260612,000000,20.83,23,20.02,20.43,1356084,0
AADX.US,D,20260615,000000,20.76,21.16,19.56,19.78,765401,0
AADX.US,D,20260616,000000,19.73,22.5886,19.5,22.13,1394023,0
AADX.US,D,20260617,000000,21.72,22.71,20.13,20.23,866273,0
AADX.US,D,20260618,000000,20.29,20.65,18.49,18.82,1407160,0
AADX.US,D,20260622,000000,18.64,19.2511,17.77,18.22,775591,0
AADX.US,D,20260623,000000,17.75,18.79,17.48,18.35,722804,0
AADX.US,D,20260624,000000,18.1,18.51,17.28,18.25,1359413,0
