<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABLS.US,D,20250305,000000,22.68,22.6856,22.68,22.6856,100,0
ABLS.US,D,20250313,000000,21.61,21.61,21.4739,21.4739,600,0
ABLS.US,D,20250404,000000,20.91,20.9611,20.91,20.9611,994,0
ABLS.US,D,20250407,000000,20.51,20.7843,20.51,20.7843,994,0
ABLS.US,D,20250429,000000,22.39,22.74,22.3599,22.3599,305,0
ABLS.US,D,20250521,000000,23.65,23.65,23.3208,23.3208,602,0
ABLS.US,D,20250523,000000,23.0428,23.14,23.0428,23.1119,702,0
ABLS.US,D,20250527,000000,23.36,23.5403,23.36,23.5403,108,0
ABLS.US,D,20250602,000000,23.24,23.2434,23.24,23.2434,100,0
ABLS.US,D,20250603,000000,23.19,23.38,23.19,23.3783,200,0
ABLS.US,D,20250721,000000,23.5,23.5,22.85,23.3318,447,0
ABLS.US,D,20250723,000000,23.52,23.58,23.52,23.58,126,0
ABLS.US,D,20250801,000000,22.72,22.72,22.5666,22.5666,954,0
ABLS.US,D,20251027,000000,23.59,23.59,23.4648,23.4648,1509,0
ABLS.US,D,20251215,000000,23.4,23.4,23.2265,23.2265,306,0
ABLS.US,D,20260102,000000,19.9796,19.9796,19.8614,19.8614,127,0
ABLS.US,D,20260121,000000,20.29,20.4861,20.2738,20.4861,937,0
ABLS.US,D,20260122,000000,20.63,20.63,20.5618,20.5618,113,0
ABLS.US,D,20260127,000000,19.91,19.91,19.7947,19.7947,214,0
ABLS.US,D,20260204,000000,19.5,19.5,19.3628,19.3628,590,0
ABLS.US,D,20260212,000000,19.6,19.6,19.1906,19.1906,230,0
ABLS.US,D,20260213,000000,19.4,19.4,19.3453,19.3453,202,0
ABLS.US,D,20260217,000000,19.29,19.3046,19.29,19.3046,109,0
ABLS.US,D,20260223,000000,18.77,18.77,18.7699,18.7699,3129,0
ABLS.US,D,20260309,000000,18.46,18.8457,18.46,18.8457,512,0
ABLS.US,D,20260317,000000,18.342,18.342,18.3309,18.3309,180,0
ABLS.US,D,20260327,000000,18.34,18.34,18.175,18.175,600,0
ABLS.US,D,20260401,000000,18.5,18.61,18.4999,18.5482,3404,0
ABLS.US,D,20260402,000000,18.29,18.5839,18.2899,18.5839,257,0
ABLS.US,D,20260406,000000,19.18,19.18,18.67,18.7293,4726,0
ABLS.US,D,20260407,000000,18.57,18.69,18.57,18.69,132,0
ABLS.US,D,20260408,000000,19.19,19.19,19.1257,19.1257,1504,0
ABLS.US,D,20260409,000000,19.0199,19.22,19.0199,19.2075,796,0
ABLS.US,D,20260410,000000,18.98,19.002,18.98,19.002,788,0
ABLS.US,D,20260413,000000,19.07,19.1892,19.07,19.1892,2055,0
ABLS.US,D,20260417,000000,19.67,19.8139,19.67,19.8139,531,0
ABLS.US,D,20260421,000000,20.105,20.105,19.8086,19.8086,1199,0
ABLS.US,D,20260422,000000,20.15,20.195,20.13,20.1709,327,0
ABLS.US,D,20260423,000000,20.04,20.17,20.03,20.0627,491,0
ABLS.US,D,20260424,000000,20.01,20.14,20.01,20.1356,673,0
ABLS.US,D,20260428,000000,19.975,20.0293,19.94,20.0293,711,0
ABLS.US,D,20260429,000000,19.915,19.948,19.915,19.948,178,0
ABLS.US,D,20260430,000000,19.97,20.2935,19.97,20.2935,1136,0
ABLS.US,D,20260501,000000,20.36,20.6418,20.36,20.6418,432,0
ABLS.US,D,20260504,000000,20.61,20.61,20.4602,20.4602,820,0
ABLS.US,D,20260507,000000,20.9,20.95,20.8714,20.8714,562,0
ABLS.US,D,20260508,000000,21,21,20.9488,20.9488,583,0
ABLS.US,D,20260513,000000,20.47,20.5527,20.47,20.5527,585,0
ABLS.US,D,20260514,000000,20.69,20.6933,20.69,20.6933,271,0
ABLS.US,D,20260515,000000,20.4,20.455,20.4,20.455,964,0
ABLS.US,D,20260518,000000,20.515,20.5361,20.515,20.5361,416,0
ABLS.US,D,20260519,000000,20.34,20.38,20.2898,20.2898,975,0
ABLS.US,D,20260520,000000,20.26,20.5,20.26,20.3962,510,0
ABLS.US,D,20260526,000000,20.755,20.835,20.7527,20.7527,677,0
ABLS.US,D,20260528,000000,20.7799,20.87,20.7799,20.8494,1434,0
ABLS.US,D,20260529,000000,20.88,20.9,20.785,20.8664,888,0
ABLS.US,D,20260603,000000,20.46,20.5563,20.46,20.5563,529,0
ABLS.US,D,20260604,000000,20.895,21.0771,20.895,21.0771,514,0
ABLS.US,D,20260605,000000,21.335,21.335,20.997,20.997,480,0
ABLS.US,D,20260608,000000,20.89,20.89,20.69,20.7326,2186,0
ABLS.US,D,20260609,000000,20.795,21,20.795,20.9914,532,0
ABLS.US,D,20260610,000000,21.04,21.04,20.83,20.8661,2057,0
ABLS.US,D,20260611,000000,20.93,21.3553,20.93,21.3553,149,0
ABLS.US,D,20260612,000000,21.54,21.68,21.53,21.53,1508,0
ABLS.US,D,20260615,000000,21.8,21.9,21.8,21.8525,1167,0
ABLS.US,D,20260616,000000,22.06,22.06,21.8469,21.8469,675,0
ABLS.US,D,20260617,000000,21.96,22.15,21.7726,21.7726,1386,0
ABLS.US,D,20260618,000000,21.875,22.04,21.875,22.04,1323,0
ABLS.US,D,20260622,000000,22.21,22.2114,22.185,22.2114,301,0
ABLS.US,D,20260623,000000,22.09,22.18,22.09,22.18,364,0
ABLS.US,D,20260624,000000,22.4,22.4,22.31,22.31,1259,0
