<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADBU.US,D,20260326,000000,25.2697,25.45,25.2697,25.3625,2989,0
ADBU.US,D,20260327,000000,24.3,24.52,23.98,24.1535,5257,0
ADBU.US,D,20260330,000000,25.29,25.56,24.95,25.4015,7192,0
ADBU.US,D,20260331,000000,25.39,25.78,25.15,25.7539,8112,0
ADBU.US,D,20260401,000000,25.36,25.71,24.24,25.415,2313,0
ADBU.US,D,20260402,000000,25.49,26.03,24.88,25.6785,51141,0
ADBU.US,D,20260406,000000,25.64,26.365,25.64,26.0135,1285,0
ADBU.US,D,20260407,000000,25.2,25.25,24.96,25.115,4356,0
ADBU.US,D,20260408,000000,25.89,26.04,24.8422,24.8422,3882,0
ADBU.US,D,20260409,000000,24,24,22.5,22.921,7554,0
ADBU.US,D,20260410,000000,22.69,22.69,21.76,21.9927,12922,0
ADBU.US,D,20260413,000000,22.58,24.9557,22.525,24.9266,41799,0
ADBU.US,D,20260414,000000,25.0392,25.63,23.59,23.99,15171,0
ADBU.US,D,20260415,000000,25.21,25.99,25.21,25.7706,15862,0
ADBU.US,D,20260416,000000,27.119,27.199,26.17,26.5847,20943,0
ADBU.US,D,20260417,000000,27,27.46,25.5411,25.6131,34219,0
ADBU.US,D,20260420,000000,27.28,27.28,25.99,26.5588,19339,0
ADBU.US,D,20260421,000000,26.07,27.81,25.97,26.3506,32807,0
ADBU.US,D,20260422,000000,27.35,28.515,27.35,28.11,31960,0
ADBU.US,D,20260423,000000,26.18,26.18,23.32,24.39,65228,0
ADBU.US,D,20260424,000000,24.91,25.7,24.47,25.6712,17517,0
ADBU.US,D,20260427,000000,24.73,25.3598,24.1701,24.1701,9033,0
ADBU.US,D,20260428,000000,25.42,25.495,24.94,24.94,16807,0
ADBU.US,D,20260429,000000,24.69,25.1652,24.6,25.1652,8703,0
ADBU.US,D,20260430,000000,24.18,25.7235,24.02,25.7235,24007,0
ADBU.US,D,20260501,000000,27.25,27.25,25.52,26.6627,16512,0
ADBU.US,D,20260504,000000,26.81,27.64,26.21,27.3208,49611,0
ADBU.US,D,20260505,000000,27,27.745,26.39,27.6894,26630,0
ADBU.US,D,20260506,000000,26.69,27.1462,25.62,26.5162,14234,0
ADBU.US,D,20260507,000000,27.65,28.39,27.44,27.823,11910,0
ADBU.US,D,20260508,000000,26.8,27.0685,25.95,27.0685,17434,0
ADBU.US,D,20260511,000000,26.6,27.29,25.2943,25.4991,12581,0
ADBU.US,D,20260512,000000,25.49,25.49,24.48,24.5204,7620,0
ADBU.US,D,20260513,000000,23.49,23.6917,22.92,23.5883,12242,0
ADBU.US,D,20260514,000000,23.68,23.7426,22.9,23.7426,3222,0
ADBU.US,D,20260515,000000,25.05,25.87,24.44,25.7776,26881,0
ADBU.US,D,20260518,000000,25.845,27.5307,25.341,27.4623,11509,0
ADBU.US,D,20260519,000000,29.1,29.4,26.69,27.3,26228,0
ADBU.US,D,20260520,000000,26.09,26.9487,25.84,26.9487,5782,0
ADBU.US,D,20260521,000000,25.21,25.33,24.75,24.9434,8131,0
ADBU.US,D,20260522,000000,25.87,26.13,24.64,25.0399,12141,0
ADBU.US,D,20260526,000000,24.03,24.79,23.95,24.215,24851,0
ADBU.US,D,20260527,000000,24.4699,24.67,23.73,23.7499,23588,0
ADBU.US,D,20260528,000000,24.19,25,23.745,24.3275,18804,0
ADBU.US,D,20260529,000000,25.58,27.96,25.14,27.96,42873,0
ADBU.US,D,20260601,000000,30.849,31.39,28.67,31.169,132379,0
ADBU.US,D,20260602,000000,29.84,30.5,27.95,28.37,76633,0
ADBU.US,D,20260603,000000,27.44,27.8,26.4,27.1213,36147,0
ADBU.US,D,20260604,000000,28,29.06,27.51,27.51,42990,0
ADBU.US,D,20260605,000000,27.24,28.05,25.5498,26.0823,32062,0
ADBU.US,D,20260608,000000,25.76,25.96,24.625,24.7924,19030,0
ADBU.US,D,20260609,000000,24.15,24.7,22.35,23.29,53260,0
ADBU.US,D,20260610,000000,22.29,23.25,22.29,22.35,32094,0
ADBU.US,D,20260611,000000,21.77,22.01,19.42,19.64,232815,0
ADBU.US,D,20260612,000000,16.9,17.1899,15.65,16.69,672984,0
ADBU.US,D,20260615,000000,17.37,18.155,17.2,17.29,119398,0
ADBU.US,D,20260616,000000,17.05,18.03,16.99,17.45,178807,0
ADBU.US,D,20260617,000000,16.81,17.22,15.431,15.5748,74441,0
ADBU.US,D,20260618,000000,15.18,15.54,14.6,15.41,81990,0
ADBU.US,D,20260622,000000,15,15.82,14.8293,15.3074,50509,0
ADBU.US,D,20260623,000000,15.935,16.09,15.46,15.65,52839,0
ADBU.US,D,20260624,000000,15.77,16.17,15.47,15.47,11529,0
