<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGM_I.US,D,20260513,000000,24.82,25.1,24.82,24.83,1176000,0
AGM_I.US,D,20260514,000000,24.9,24.9,24.61,24.61,35800,0
AGM_I.US,D,20260515,000000,24.5,24.65,24.5,24.65,6100,0
AGM_I.US,D,20260518,000000,24.42,24.65,24.42,24.52,17100,0
AGM_I.US,D,20260519,000000,24.5,24.5,24.27,24.4,70200,0
AGM_I.US,D,20260520,000000,24.45,24.45,23,24.25,38800,0
AGM_I.US,D,20260521,000000,24.35,24.39,24.25,24.39,8100,0
AGM_I.US,D,20260522,000000,24.6,24.6,24.21,24.34,89046,0
AGM_I.US,D,20260526,000000,24.4,24.48,24.24,24.3,74749,0
AGM_I.US,D,20260527,000000,24.29,24.29,24.16,24.27,200183,0
AGM_I.US,D,20260528,000000,24.25,24.56,24.25,24.44,133343,0
AGM_I.US,D,20260529,000000,24.4,24.54,24.39,24.48,364142,0
AGM_I.US,D,20260601,000000,24.46,24.4899,24.38,24.43,21069,0
AGM_I.US,D,20260602,000000,24.4,24.455,24.2,24.26,76717,0
AGM_I.US,D,20260603,000000,24.27,24.3,24.13,24.2099,57084,0
AGM_I.US,D,20260604,000000,24.24,24.25,24.15,24.165,27338,0
AGM_I.US,D,20260605,000000,24.1,24.21,24.0401,24.05,32323,0
AGM_I.US,D,20260608,000000,24.1,24.13,23.71,23.755,70443,0
AGM_I.US,D,20260609,000000,23.77,23.9599,23.57,23.64,38822,0
AGM_I.US,D,20260610,000000,23.54,23.6199,23.43,23.43,86525,0
AGM_I.US,D,20260611,000000,23.45,23.65,23.44,23.61,51081,0
AGM_I.US,D,20260612,000000,23.65,23.6699,23.57,23.59,12248,0
AGM_I.US,D,20260615,000000,23.62,23.83,23.6,23.8,27585,0
AGM_I.US,D,20260616,000000,23.74,23.93,23.72,23.86,27376,0
AGM_I.US,D,20260617,000000,23.8,24.1,23.8,23.94,28505,0
AGM_I.US,D,20260618,000000,24,24.16,24,24.15,20116,0
AGM_I.US,D,20260622,000000,24.01,24.1498,24,24.05,24251,0
AGM_I.US,D,20260623,000000,24.05,24.05,23.97,24,4276,0
AGM_I.US,D,20260624,000000,24.18,24.18,24.03,24.06,17999,0
