<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIB.US,D,20260317,000000,4.6,6.28,2.55,2.9,1543763,0
AIB.US,D,20260318,000000,3.29,3.43,2.8,3.32,7164315,0
AIB.US,D,20260319,000000,3.15,3.15,2.13,2.45,1320938,0
AIB.US,D,20260320,000000,2.27,2.27,1.47,1.53,2562817,0
AIB.US,D,20260323,000000,1.451,1.74,1.26,1.46,1352322,0
AIB.US,D,20260324,000000,1.69,1.7,1.3,1.34,8511598,0
AIB.US,D,20260325,000000,1.36,1.38,1.17,1.26,1342192,0
AIB.US,D,20260326,000000,1.19,1.19,1.09,1.12,563290,0
AIB.US,D,20260327,000000,1.1,1.105,1.06,1.1,413416,0
AIB.US,D,20260330,000000,1.1,1.1,0.9,0.9807,589010,0
AIB.US,D,20260331,000000,0.98,1.04,0.9,1.04,488394,0
AIB.US,D,20260401,000000,1.07,1.1,1,1,467510,0
AIB.US,D,20260402,000000,1,1.18,0.96489,1.16,589022,0
AIB.US,D,20260406,000000,1.65,1.78,1.47,1.48,81487303,0
AIB.US,D,20260407,000000,1.47,1.6789,1.4,1.64,3843858,0
AIB.US,D,20260408,000000,1.59,1.9,1.59,1.84,2806398,0
AIB.US,D,20260409,000000,1.72,1.73,1.39,1.4,1438737,0
AIB.US,D,20260410,000000,1.4,1.7,1.4,1.61,1388407,0
AIB.US,D,20260413,000000,1.62,1.7199,1.5001,1.65,721582,0
AIB.US,D,20260414,000000,1.69,1.81,1.63,1.7,961443,0
AIB.US,D,20260415,000000,1.67,1.68,1.5336,1.58,906597,0
AIB.US,D,20260416,000000,1.57,1.67,1.55,1.65,482477,0
AIB.US,D,20260417,000000,1.63,1.85,1.62,1.68,643126,0
AIB.US,D,20260420,000000,1.64,1.65,1.43,1.52,644898,0
AIB.US,D,20260421,000000,1.53,1.61,1.495,1.61,305260,0
AIB.US,D,20260422,000000,1.6,1.655,1.565,1.65,248129,0
AIB.US,D,20260423,000000,1.61,1.6242,1.54,1.58,265978,0
AIB.US,D,20260424,000000,1.57,1.6,1.4954,1.6,205515,0
AIB.US,D,20260427,000000,1.59,1.59,1.48,1.5,270529,0
AIB.US,D,20260428,000000,1.48,1.5268,1.42,1.48,189751,0
AIB.US,D,20260429,000000,1.44,1.4697,1.23,1.23,284770,0
AIB.US,D,20260430,000000,1.23,1.25,1.16,1.2,266696,0
AIB.US,D,20260501,000000,1.17,1.28,1.1601,1.25,266728,0
AIB.US,D,20260504,000000,1.27,1.27,1.205,1.22,151548,0
AIB.US,D,20260505,000000,1.2,1.21,1.145,1.15,171099,0
AIB.US,D,20260506,000000,1.13,1.14,1.0101,1.09,370772,0
AIB.US,D,20260507,000000,1.08,1.19,1.08,1.17,327855,0
AIB.US,D,20260508,000000,1.1701,1.25,1.13,1.18,251585,0
AIB.US,D,20260511,000000,1.14,1.19,1.14,1.15,170998,0
AIB.US,D,20260512,000000,1.12,1.15,1.1,1.12,223076,0
AIB.US,D,20260513,000000,1.12,1.1854,1.101,1.15,172209,0
AIB.US,D,20260514,000000,1.159,1.22,1.159,1.17,149999,0
AIB.US,D,20260515,000000,1.17,1.5799,1.13,1.44,955191,0
AIB.US,D,20260518,000000,1.54,1.843,1.53,1.79,2590444,0
AIB.US,D,20260519,000000,1.73,1.82,1.5701,1.74,845561,0
AIB.US,D,20260520,000000,1.7,1.815,1.6301,1.78,442291,0
AIB.US,D,20260521,000000,1.75,2.2,1.695,2.2,1354119,0
AIB.US,D,20260522,000000,2.3,3.15,2.15,2.81,3044706,0
AIB.US,D,20260526,000000,2.85,3.27,2.3401,3.11,1658784,0
AIB.US,D,20260527,000000,3.07,3.17,2.68,3.04,758935,0
AIB.US,D,20260528,000000,2.94,3.81,2.76,3.61,1028550,0
AIB.US,D,20260529,000000,3.7,3.9496,3.16,3.42,729778,0
AIB.US,D,20260601,000000,3.47,3.5,3.01,3.18,534921,0
AIB.US,D,20260602,000000,2.66,2.7798,2.3,2.5,1197631,0
AIB.US,D,20260603,000000,2.51,2.56,2,2.07,1512132,0
AIB.US,D,20260604,000000,2.06,2.75,1.87,2.05,4130546,0
AIB.US,D,20260605,000000,1.71,1.74,1.589,1.65,4774942,0
AIB.US,D,20260608,000000,1.67,1.8,1.65,1.8,4111452,0
AIB.US,D,20260609,000000,1.77,1.79,1.46,1.62,1749887,0
AIB.US,D,20260610,000000,1.61,1.6526,1.56,1.62,634104,0
AIB.US,D,20260611,000000,1.59,1.68,1.58,1.65,756035,0
AIB.US,D,20260612,000000,1.65,1.72,1.595,1.6,1129812,0
AIB.US,D,20260615,000000,1.65,1.88,1.64,1.88,2245569,0
AIB.US,D,20260616,000000,1.86,2.03,1.7615,2.01,2032875,0
AIB.US,D,20260617,000000,2.01,2.24,1.9565,2.15,1689066,0
AIB.US,D,20260618,000000,2.2,2.35,2.125,2.24,1870799,0
AIB.US,D,20260622,000000,2.31,2.34,2.01,2.34,1401027,0
AIB.US,D,20260623,000000,2.21,2.35,2.14,2.15,953086,0
AIB.US,D,20260624,000000,2.15,2.35,1.995,2.18,1445431,0
