<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIQD.US,D,20260602,000000,50.66,51.96,49.5174,49.5174,4839,0
AIQD.US,D,20260603,000000,53.74,53.74,53,53.1681,489,0
AIQD.US,D,20260604,000000,57.415,57.66,55.05,55.782,1894,0
AIQD.US,D,20260605,000000,63.235,66.9109,63.235,66.9109,2783,0
AIQD.US,D,20260608,000000,62.95,64.65,62.1101,63.5712,3488,0
AIQD.US,D,20260609,000000,72.235,72.235,68.63,68.63,1589,0
AIQD.US,D,20260610,000000,68.63,74.0001,68.63,74.0001,1656,0
AIQD.US,D,20260611,000000,72.205,72.205,65.8797,65.8797,3463,0
AIQD.US,D,20260612,000000,66.3501,66.6492,66.3501,66.6492,246,0
AIQD.US,D,20260615,000000,59.68,60.5317,59.68,60.5317,462,0
AIQD.US,D,20260616,000000,63.525,65.1523,63.525,65.1523,389,0
AIQD.US,D,20260623,000000,67,68.75,66.77,68.4482,1306,0
AIQD.US,D,20260624,000000,70.6199,71.64,70.6199,71.64,371,0
