<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIUP.US,D,20260209,000000,24.99,25.06,24.8843,24.8843,1886,0
AIUP.US,D,20260210,000000,25.1,25.52,25.065,25.105,25704,0
AIUP.US,D,20260211,000000,24.98,25.27,24.3305,24.5059,8188,0
AIUP.US,D,20260212,000000,24.65,24.69,24.1068,24.1068,2820,0
AIUP.US,D,20260213,000000,24.15,24.435,24.05,24.1815,5139,0
AIUP.US,D,20260217,000000,23.9,24.23,23.9,23.9951,1908,0
AIUP.US,D,20260218,000000,24.1853,24.2338,24.1853,24.2338,287,0
AIUP.US,D,20260219,000000,24.13,24.1444,24.1151,24.1444,411,0
AIUP.US,D,20260220,000000,24.39,24.4699,24.13,24.1465,1193,0
AIUP.US,D,20260223,000000,23.33,23.33,23.3166,23.3166,830,0
AIUP.US,D,20260224,000000,23.68,23.81,23.68,23.7662,5700,0
AIUP.US,D,20260225,000000,24.1009,24.38,24.1009,24.311,1561,0
AIUP.US,D,20260226,000000,24.355,24.5417,24.355,24.5417,335,0
AIUP.US,D,20260302,000000,24.3985,24.4665,24.39,24.4665,840,0
AIUP.US,D,20260303,000000,24.495,24.755,24.495,24.6307,1290,0
AIUP.US,D,20260304,000000,24.98,25.11,24.98,25.0423,1765,0
AIUP.US,D,20260305,000000,25.37,25.4335,25.37,25.4335,302,0
AIUP.US,D,20260306,000000,25.24,25.4,25.2,25.2556,2033,0
AIUP.US,D,20260309,000000,24.91,25.2804,24.9099,25.2804,502,0
AIUP.US,D,20260310,000000,26.53,26.53,25.0331,25.0331,2330,0
AIUP.US,D,20260312,000000,25.22,25.29,24.8683,24.8683,8924,0
AIUP.US,D,20260313,000000,24.74,24.8,24.35,24.4073,3641,0
AIUP.US,D,20260319,000000,24.5,24.62,24.46,24.5251,40332,0
AIUP.US,D,20260320,000000,24.07,24.0807,24.07,24.0807,322,0
AIUP.US,D,20260324,000000,23.91,24.31,23.6628,23.6628,2378,0
AIUP.US,D,20260325,000000,23.87,23.88,23.8051,23.8051,1207,0
AIUP.US,D,20260326,000000,23.65,23.87,23.3399,23.3399,366,0
AIUP.US,D,20260327,000000,23.01,23.01,22.555,22.555,1724,0
AIUP.US,D,20260330,000000,22.86,23.03,22.8579,22.8579,471,0
AIUP.US,D,20260331,000000,23.43,23.6937,23.43,23.6937,370,0
AIUP.US,D,20260401,000000,23.81,23.94,23.7904,23.7904,360,0
AIUP.US,D,20260406,000000,23.99,23.99,23.8847,23.8847,409,0
AIUP.US,D,20260407,000000,23.89,23.9065,23.89,23.9065,116,0
AIUP.US,D,20260408,000000,24.97,24.97,24.45,24.4791,3746,0
AIUP.US,D,20260410,000000,24.7,24.7,24.6699,24.6699,348,0
AIUP.US,D,20260413,000000,25.25,25.25,25.2348,25.2348,351,0
AIUP.US,D,20260414,000000,25.705,25.9002,25.705,25.9002,653,0
AIUP.US,D,20260415,000000,26.59,26.6799,26.55,26.603,1537,0
AIUP.US,D,20260416,000000,26.84,26.84,26.7836,26.7836,323,0
AIUP.US,D,20260417,000000,27.08,27.25,26.96,26.9669,18759,0
AIUP.US,D,20260420,000000,26.87,26.96,26.74,26.9456,4157,0
AIUP.US,D,20260421,000000,27.14,27.15,26.7746,26.7746,467,0
AIUP.US,D,20260422,000000,26.87,27.2679,26.84,27.2679,965,0
AIUP.US,D,20260423,000000,28.62,28.62,26.556,26.556,1454,0
AIUP.US,D,20260424,000000,26.63,27.0846,26.6,27.0846,2029,0
AIUP.US,D,20260427,000000,27.1092,27.1894,27.1092,27.1894,453,0
AIUP.US,D,20260428,000000,26.94,26.94,26.8458,26.8458,641,0
AIUP.US,D,20260504,000000,26.65,26.9,26.49,26.6449,749,0
AIUP.US,D,20260506,000000,26.76,26.9605,26.76,26.9605,6611,0
AIUP.US,D,20260507,000000,27.71,27.85,27.6015,27.6015,3137,0
AIUP.US,D,20260508,000000,27.375,27.51,27.375,27.4765,3227,0
AIUP.US,D,20260511,000000,27.31,27.44,27.2255,27.2255,3144,0
AIUP.US,D,20260512,000000,27.105,27.141,27,27.141,1650,0
AIUP.US,D,20260513,000000,27.12,27.32,27.12,27.1712,4866,0
AIUP.US,D,20260514,000000,27.66,27.66,27.47,27.5608,2218,0
AIUP.US,D,20260515,000000,27.46,27.64,27.4282,27.4282,1695,0
AIUP.US,D,20260518,000000,27.825,27.825,27.51,27.6828,4938,0
AIUP.US,D,20260521,000000,27.432,27.6497,27.432,27.6497,736,0
AIUP.US,D,20260522,000000,27.9,27.9,27.6131,27.6131,1340,0
AIUP.US,D,20260526,000000,27.67,27.72,27.475,27.5192,7929,0
AIUP.US,D,20260527,000000,27.53,27.5481,27.39,27.5481,817,0
AIUP.US,D,20260528,000000,27.55,27.7,27.55,27.6904,3523,0
AIUP.US,D,20260529,000000,27.94,27.9959,27.91,27.9959,1152,0
AIUP.US,D,20260601,000000,28.12,28.42,28.12,28.32,1580,0
AIUP.US,D,20260602,000000,27.99,27.99,27.8138,27.8138,1296,0
AIUP.US,D,20260603,000000,27.36,27.4791,27.36,27.4791,1624,0
