<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIII.US,D,20260129,000000,9.98,10.02,9.92,9.98,21343,0
BIII.US,D,20260130,000000,9.95,9.95,9.95,9.95,4673,0
BIII.US,D,20260202,000000,9.95,9.95,9.95,9.95,5601,0
BIII.US,D,20260203,000000,9.96,9.96,9.94,9.94,1053735,0
BIII.US,D,20260204,000000,9.95,9.95,9.94,9.94,2122,0
BIII.US,D,20260205,000000,9.95,9.95,9.92,9.94,251380,0
BIII.US,D,20260206,000000,9.93,9.97,9.92,9.93,27227,0
BIII.US,D,20260209,000000,9.95,9.95,9.94,9.94,5100,0
BIII.US,D,20260210,000000,9.93,9.94,9.92,9.925,211827,0
BIII.US,D,20260211,000000,9.93,9.93,9.92,9.93,16382,0
BIII.US,D,20260212,000000,9.93,9.93,9.92,9.92,668925,0
BIII.US,D,20260213,000000,9.93,9.93,9.91,9.91,12807,0
BIII.US,D,20260217,000000,9.94,9.94,9.94,9.94,130,0
BIII.US,D,20260218,000000,9.91,9.91,9.91,9.91,139,0
BIII.US,D,20260220,000000,9.92,9.92,9.92,9.92,106,0
BIII.US,D,20260226,000000,9.925,9.925,9.92,9.92,50006,0
BIII.US,D,20260227,000000,9.91,9.915,9.9,9.905,78883,0
BIII.US,D,20260302,000000,9.89,9.89,9.89,9.89,16830,0
BIII.US,D,20260303,000000,9.88,9.88,9.88,9.88,1002,0
BIII.US,D,20260304,000000,9.89,9.89,9.88,9.88,39382,0
BIII.US,D,20260309,000000,9.89,9.89,9.89,9.89,652,0
BIII.US,D,20260312,000000,9.89,9.89,9.89,9.89,152,0
BIII.US,D,20260313,000000,9.89,9.89,9.89,9.89,178,0
BIII.US,D,20260316,000000,9.89,9.89,9.89,9.89,120,0
BIII.US,D,20260319,000000,9.87,9.89,9.87,9.87,2160,0
BIII.US,D,20260324,000000,9.87,9.88,9.87,9.87,2427,0
BIII.US,D,20260330,000000,9.86,9.87,9.85,9.8566,122798,0
BIII.US,D,20260331,000000,9.88,9.88,9.84,9.84,372041,0
BIII.US,D,20260401,000000,9.83,9.87,9.83,9.84,103913,0
BIII.US,D,20260402,000000,9.85,9.85,9.85,9.85,1646,0
BIII.US,D,20260406,000000,9.87,9.88,9.85,9.86,15429,0
BIII.US,D,20260407,000000,9.86,9.86,9.85,9.85,26967,0
BIII.US,D,20260408,000000,9.86,9.86,9.86,9.86,1014,0
BIII.US,D,20260409,000000,9.88,9.88,9.86,9.86,2160,0
BIII.US,D,20260410,000000,9.88,9.88,9.88,9.88,1059,0
BIII.US,D,20260413,000000,9.88,9.88,9.88,9.88,1074,0
BIII.US,D,20260415,000000,9.87,9.87,9.87,9.87,208281,0
BIII.US,D,20260420,000000,9.88,9.88,9.88,9.88,3486,0
BIII.US,D,20260421,000000,9.88,9.88,9.88,9.88,22334,0
BIII.US,D,20260422,000000,9.88,9.88,9.88,9.88,4520,0
BIII.US,D,20260423,000000,9.88,9.88,9.88,9.88,201,0
BIII.US,D,20260424,000000,9.89,9.89,9.89,9.89,1158,0
BIII.US,D,20260429,000000,9.895,9.895,9.895,9.895,3094,0
BIII.US,D,20260504,000000,9.89,9.89,9.88,9.88,6820,0
BIII.US,D,20260506,000000,9.88,9.88,9.88,9.88,102,0
BIII.US,D,20260511,000000,9.89,9.89,9.89,9.89,422,0
BIII.US,D,20260513,000000,9.91,9.91,9.88,9.89,12215,0
BIII.US,D,20260514,000000,9.89,9.89,9.89,9.89,152,0
BIII.US,D,20260515,000000,9.89,9.9,9.89,9.9,110059,0
BIII.US,D,20260518,000000,9.915,9.93,9.91,9.93,12592,0
BIII.US,D,20260519,000000,9.9227,9.93,9.9,9.9,1539,0
BIII.US,D,20260521,000000,9.9,9.93,9.9,9.92,705,0
BIII.US,D,20260527,000000,9.9,9.94,9.9,9.94,8205,0
BIII.US,D,20260529,000000,9.94,9.96,9.94,9.96,3550,0
BIII.US,D,20260601,000000,9.97,9.98,9.97,9.97,16192,0
BIII.US,D,20260602,000000,9.94,9.94,9.94,9.94,240,0
BIII.US,D,20260622,000000,9.97,9.97,9.97,9.97,111,0
