<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCU.US,D,20260527,000000,24.3,24.412,24.2,24.3491,1337,0
BTCU.US,D,20260528,000000,23.15,23.3239,23.15,23.3239,912,0
BTCU.US,D,20260529,000000,23.05,23.8499,22.77,23.3561,9375,0
BTCU.US,D,20260601,000000,22.48,22.48,21.75,22.0795,2842,0
BTCU.US,D,20260602,000000,20.42,20.42,18.945,19.3991,8729,0
BTCU.US,D,20260603,000000,19.16,19.16,18.3392,18.3392,12853,0
BTCU.US,D,20260604,000000,17.15,17.83,16.99,17.3499,16268,0
BTCU.US,D,20260605,000000,16.53,16.53,15.0101,15.62,36532,0
BTCU.US,D,20260608,000000,17.4,17.5199,17.08,17.2,20517,0
BTCU.US,D,20260609,000000,16.55,16.58,15.67,16.375,14165,0
BTCU.US,D,20260610,000000,16.41,16.71,16.22,16.3321,5484,0
BTCU.US,D,20260611,000000,16.75,17.2246,16.55,17.2246,6620,0
BTCU.US,D,20260612,000000,17.06,17.55,16.93,17.195,12078,0
BTCU.US,D,20260615,000000,18.94,19.17,18.64,18.7979,26514,0
BTCU.US,D,20260616,000000,18.45,18.55,18.19,18.25,9836,0
BTCU.US,D,20260617,000000,17.8,18.455,17.4374,17.4374,17384,0
BTCU.US,D,20260618,000000,17.49,17.49,16.45,16.7302,20503,0
BTCU.US,D,20260622,000000,17.98,18.1,17.44,17.5081,27356,0
BTCU.US,D,20260623,000000,16.31,16.58,16.265,16.3201,8220,0
BTCU.US,D,20260624,000000,15.96,15.9741,14.77,14.84,11217,0
