<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUFE.US,D,20260409,000000,20.6047,20.6047,20.6047,20.6047,2,0
BUFE.US,D,20260410,000000,20.655,20.655,20.655,20.655,3,0
BUFE.US,D,20260413,000000,20.765,20.798,20.765,20.798,1288,0
BUFE.US,D,20260414,000000,20.95,20.96,20.95,20.9559,4168,0
BUFE.US,D,20260415,000000,20.92,20.945,20.92,20.945,1315,0
BUFE.US,D,20260416,000000,20.91,20.98,20.91,20.9726,1252,0
BUFE.US,D,20260420,000000,21.08,21.08,21.06,21.062,1256,0
BUFE.US,D,20260424,000000,21.11,21.125,21.1097,21.125,3977,0
BUFE.US,D,20260427,000000,21.14,21.14,21.14,21.14,501,0
BUFE.US,D,20260428,000000,21.07,21.07,21.07,21.07,200,0
BUFE.US,D,20260429,000000,21.065,21.07,21.0004,21.0004,4399,0
BUFE.US,D,20260430,000000,21.04,21.175,21.04,21.175,201,0
BUFE.US,D,20260501,000000,21.17,21.2,21.17,21.2,101,0
BUFE.US,D,20260505,000000,21.35,21.3599,21.32,21.32,8189,0
BUFE.US,D,20260506,000000,21.52,21.54,21.5098,21.5252,5484,0
BUFE.US,D,20260507,000000,21.5,21.5,21.47,21.47,787,0
BUFE.US,D,20260511,000000,21.57,21.57,21.525,21.525,287,0
BUFE.US,D,20260514,000000,21.4799,21.4799,21.44,21.475,1345,0
BUFE.US,D,20260515,000000,21.23,21.2347,21.23,21.2347,184,0
BUFE.US,D,20260518,000000,21.3081,21.3081,21.2307,21.2307,470,0
BUFE.US,D,20260520,000000,21.25,21.2764,21.25,21.2764,1265,0
BUFE.US,D,20260521,000000,21.31,21.3243,21.31,21.3243,1063,0
BUFE.US,D,20260527,000000,21.48,21.48,21.47,21.475,640,0
BUFE.US,D,20260528,000000,21.49,21.49,21.47,21.47,356,0
BUFE.US,D,20260529,000000,21.49,21.51,21.475,21.475,892,0
BUFE.US,D,20260601,000000,21.57,21.57,21.57,21.57,176,0
BUFE.US,D,20260603,000000,21.53,21.53,21.525,21.525,306,0
BUFE.US,D,20260604,000000,21.49,21.51,21.47,21.495,1077,0
BUFE.US,D,20260605,000000,21.04,21.0706,21.04,21.0706,466,0
BUFE.US,D,20260608,000000,21.29,21.29,21.14,21.14,551,0
BUFE.US,D,20260609,000000,21.2401,21.27,21.1365,21.1365,477,0
BUFE.US,D,20260610,000000,21.18,21.18,21.0393,21.0393,2492,0
BUFE.US,D,20260611,000000,21.19,21.335,21.19,21.335,1969,0
BUFE.US,D,20260612,000000,21.38,21.4042,21.38,21.4042,200,0
BUFE.US,D,20260615,000000,21.65,21.65,21.5898,21.5898,420,0
BUFE.US,D,20260618,000000,21.6799,21.68,21.65,21.65,618,0
BUFE.US,D,20260622,000000,21.74,21.76,21.6923,21.6923,63152,0
BUFE.US,D,20260623,000000,21.25,21.26,21.11,21.1301,27732,0
