<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUYB.US,D,20260507,000000,39.89,39.89,39.5997,39.6012,13563,0
BUYB.US,D,20260508,000000,39.545,39.73,39.4999,39.5321,4130,0
BUYB.US,D,20260511,000000,39.64,39.64,39.255,39.327,28763,0
BUYB.US,D,20260512,000000,38.98,39.3,38.98,39.2559,1575,0
BUYB.US,D,20260513,000000,38.98,39.02,38.9688,38.9688,1235,0
BUYB.US,D,20260514,000000,39.14,39.27,39.14,39.2223,2228,0
BUYB.US,D,20260515,000000,39.13,39.13,39.0994,39.0994,266,0
BUYB.US,D,20260518,000000,39.355,39.4704,39.355,39.4704,246,0
BUYB.US,D,20260519,000000,39.1715,39.3,39.113,39.113,344,0
BUYB.US,D,20260520,000000,39,39.6151,39,39.6151,14018,0
BUYB.US,D,20260521,000000,39.505,39.87,39.505,39.8498,12302,0
BUYB.US,D,20260522,000000,40.2199,40.23,40.1099,40.1802,2750,0
BUYB.US,D,20260526,000000,40.24,40.3273,40.2101,40.3273,2327,0
BUYB.US,D,20260527,000000,40.45,40.51,40.226,40.226,3651,0
BUYB.US,D,20260528,000000,40.405,40.43,40.31,40.3722,1375,0
BUYB.US,D,20260529,000000,40.37,40.465,40.37,40.3758,1236,0
BUYB.US,D,20260601,000000,40,40.1858,40,40.1858,1314,0
BUYB.US,D,20260603,000000,40.22,40.33,40.22,40.272,1654,0
BUYB.US,D,20260604,000000,40.63,40.7192,40.63,40.6398,549,0
BUYB.US,D,20260608,000000,40.5,40.5,40.3386,40.3386,514,0
BUYB.US,D,20260609,000000,40.84,40.84,40.7928,40.7928,214,0
BUYB.US,D,20260610,000000,40.59,40.885,40.3653,40.3653,778,0
BUYB.US,D,20260611,000000,40.97,41.0601,40.97,41.0601,398,0
BUYB.US,D,20260615,000000,41.76,41.76,41.3808,41.3808,3248,0
BUYB.US,D,20260616,000000,41.7,41.7,41.5181,41.5181,1006,0
BUYB.US,D,20260617,000000,41.57,41.57,40.8812,40.8812,942,0
BUYB.US,D,20260618,000000,41.24,41.27,40.98,40.98,1730,0
BUYB.US,D,20260622,000000,40.775,40.8776,40.775,40.8776,272,0
BUYB.US,D,20260623,000000,40.76,40.82,40.7319,40.7319,417,0
BUYB.US,D,20260624,000000,41.08,41.08,41.08,41.08,628,0
