<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAS.US,D,20250123,000000,16.5558,16.5789,16.5558,16.5789,1611.08,0
CAS.US,D,20250124,000000,16.6533,16.6921,16.6144,16.6921,1728.12,0
CAS.US,D,20250127,000000,16.8092,16.8092,16.6496,16.6496,654.601,0
CAS.US,D,20250220,000000,17.6422,17.6698,17.6422,17.6592,309.587,0
CAS.US,D,20250221,000000,17.9518,17.9518,17.7881,17.7881,577.588,0
CAS.US,D,20250224,000000,17.731,17.731,17.64,17.64,2476.7,0
CAS.US,D,20250305,000000,14.6406,17.256,14.6406,17.256,1296.87,0
CAS.US,D,20250306,000000,17.5947,17.5947,17.448,17.448,343.472,0
CAS.US,D,20250311,000000,17.1792,17.2894,17.1792,17.2894,194.069,0
CAS.US,D,20250317,000000,17.6856,17.7956,17.5947,17.7956,61672.6,0
CAS.US,D,20250327,000000,17.0817,17.1273,17.0817,17.1273,3567.17,0
CAS.US,D,20250328,000000,16.8351,16.8351,16.6304,16.6304,3915.28,0
CAS.US,D,20250331,000000,16.3352,16.5333,16.3352,16.5333,352.713,0
CAS.US,D,20250403,000000,16.2312,16.2312,16.022,16.022,1319.98,0
CAS.US,D,20250404,000000,15.199,16.1145,15.199,16.1145,489.795,0
CAS.US,D,20250407,000000,14.6146,14.6146,14.6146,14.6146,799.383,0
CAS.US,D,20250408,000000,14.8223,14.8223,14.2395,14.2395,354.255,0
CAS.US,D,20250409,000000,14.9847,16.1013,14.7963,15.9866,2553.71,0
CAS.US,D,20250410,000000,16.1143,16.4452,16.1143,16.4452,158.643,0
CAS.US,D,20250416,000000,16.6077,16.6077,16.5852,16.5852,200.229,0
CAS.US,D,20250422,000000,16.9845,17.0071,16.9845,17.0071,458.989,0
CAS.US,D,20250428,000000,17.27,17.2776,17.2375,17.2776,331.151,0
CAS.US,D,20250430,000000,17.3414,17.4324,17.3414,17.4324,289.563,0
CAS.US,D,20250501,000000,17.5947,17.5947,17.4204,17.4204,368.117,0
CAS.US,D,20250502,000000,17.9852,17.9852,17.9848,17.9848,240.276,0
CAS.US,D,20250506,000000,18.0363,18.0476,18.0363,18.0476,368.117,0
CAS.US,D,20250508,000000,18.179,18.2439,18.1447,18.1447,760.877,0
CAS.US,D,20250509,000000,17.8853,17.8853,17.8693,17.8693,340.392,0
CAS.US,D,20250512,000000,18.601,18.7781,18.601,18.7781,4186.35,0
CAS.US,D,20250514,000000,19.069,19.0882,19.069,19.0882,740.855,0
CAS.US,D,20250515,000000,18.6868,18.8217,18.6868,18.78,2755.47,0
CAS.US,D,20250516,000000,18.7698,19.0116,18.7048,19.0116,3322.28,0
CAS.US,D,20250519,000000,19.0294,19.1343,19.0246,19.1343,2495.18,0
CAS.US,D,20250520,000000,19.01,19.01,18.9338,18.9338,189.449,0
CAS.US,D,20250521,000000,18.7357,18.7764,18.6773,18.6773,1829.79,0
CAS.US,D,20250527,000000,18.3867,18.5266,18.3867,18.5266,1175.19,0
CAS.US,D,20250529,000000,18.5458,18.5462,18.5458,18.5462,241.816,0
CAS.US,D,20250602,000000,18.27,18.3202,18.27,18.3202,309.587,0
CAS.US,D,20250606,000000,18.7048,18.7958,18.7048,18.7906,2404.3,0
