<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CORD.US,D,20251121,000000,58.48,67.545,54.35,56.45,547943,0
CORD.US,D,20251124,000000,54.055,57.4392,52.4114,53.24,136185,0
CORD.US,D,20251125,000000,57.03,64.41,55.34,56.7,362732,0
CORD.US,D,20251126,000000,51.03,53.79,48.44,51.88,284400,0
CORD.US,D,20251128,000000,50.05,54.93,50.05,53.45,77691,0
CORD.US,D,20251201,000000,56.93,59,47.33,47.7852,193910,0
CORD.US,D,20251202,000000,47.07,49.01,40.735835,48.98,171548,0
CORD.US,D,20251203,000000,50.1,52.34,44.4255,44.77,122531,0
CORD.US,D,20251204,000000,44.76,46.35,34.7,37.49,357212,0
CORD.US,D,20251205,000000,36,38.44,35,35.42,268350,0
CORD.US,D,20251208,000000,39,41.8,36.47,36.93,519190,0
CORD.US,D,20251209,000000,38.84,39.11,32.75,33.23,385184,0
CORD.US,D,20251210,000000,34.76,37,33.89,34.95,206442,0
CORD.US,D,20251211,000000,39.065,40.53,34.78,35.69,328778,0
CORD.US,D,20251212,000000,36.56,43.492,35.42,42.77,373153,0
CORD.US,D,20251215,000000,42,49.92,41.81,49.66,435922,0
CORD.US,D,20251216,000000,51.62,55.78,50.98,53.54,362455,0
CORD.US,D,20251217,000000,53.4,62.1782,53.01,61.02,375960,0
CORD.US,D,20251218,000000,55.53,58.615,52.85,55.15,514332,0
CORD.US,D,20251219,000000,50.16,50.3,28.175,29.99,2691856,0
CORD.US,D,20251222,000000,28.82,29.35,27.1407,28.88,868091,0
CORD.US,D,20251223,000000,30.64,33,29.695,31.94,858059,0
CORD.US,D,20251224,000000,32.23,33.38,31.49,32.96,391705,0
CORD.US,D,20251226,000000,32.92,35.7499,32.8,35.03,351916,0
CORD.US,D,20251229,000000,37.7825,37.98,33.9415,36.5,418172,0
CORD.US,D,20251230,000000,36.62,37.72,35.69,37.48,233634,0
CORD.US,D,20251231,000000,37.9,41.025,37.69,39.8,280042,0
CORD.US,D,20260102,000000,37.23,37.91,29.3301,31.23,895884,0
CORD.US,D,20260105,000000,28.5,33.275,27.3,33.2,540990,0
CORD.US,D,20260106,000000,31.79,35.86,31.665,32.29,586463,0
CORD.US,D,20260107,000000,32.945,34.07,30.68,32.9,338640,0
