<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVGD.US,D,20260519,000000,25.1582,25.2295,25.0636,25.0636,732,0
CVGD.US,D,20260520,000000,26.3,26.3,25.2186,25.2186,179,0
CVGD.US,D,20260521,000000,25.23,25.23,25.1651,25.1651,686,0
CVGD.US,D,20260522,000000,25.39,25.42,25.3526,25.3526,4380,0
CVGD.US,D,20260526,000000,25.465,25.51,25.4097,25.4097,1956,0
CVGD.US,D,20260527,000000,25.37,25.37,25.3316,25.3316,320,0
CVGD.US,D,20260529,000000,25.275,25.275,25.2432,25.2432,100,0
CVGD.US,D,20260603,000000,25.33,25.33,25.24,25.2553,1001,0
CVGD.US,D,20260604,000000,25.42,25.42,25.4012,25.4012,600,0
CVGD.US,D,20260605,000000,25.3197,25.3197,25.2186,25.2186,201,0
CVGD.US,D,20260608,000000,25.1,25.1,25.0043,25.0043,993,0
CVGD.US,D,20260609,000000,25.08,25.1266,25.08,25.1266,369,0
CVGD.US,D,20260615,000000,25.42,25.4299,25.3328,25.3328,986,0
CVGD.US,D,20260622,000000,24.87,24.93,24.8441,24.8441,5048,0
