<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DDDD.US,D,20260312,000000,30.94,30.94,30.9,30.9,520,0
DDDD.US,D,20260313,000000,31,31,30.76,30.76,2582,0
DDDD.US,D,20260316,000000,30.93,31.06,30.83,30.8707,3494,0
DDDD.US,D,20260317,000000,31.07,31.09,30.9074,30.9074,2505,0
DDDD.US,D,20260318,000000,30.845,31,30.5934,30.5934,3408,0
DDDD.US,D,20260319,000000,30.54,30.62,30.485,30.5642,8034,0
DDDD.US,D,20260320,000000,30.71,30.74,30.327,30.327,19775,0
DDDD.US,D,20260323,000000,30.45,30.735,30.45,30.5844,4587,0
DDDD.US,D,20260324,000000,30.56,30.8,30.56,30.6196,10471,0
DDDD.US,D,20260325,000000,30.74,31.05,30.74,30.795,3321,0
DDDD.US,D,20260326,000000,31.01,31.06,30.8449,30.8449,8669,0
DDDD.US,D,20260327,000000,30.805,30.939,30.7035,30.7035,3871,0
DDDD.US,D,20260330,000000,31.05,31.05,30.7299,30.756,10304,0
DDDD.US,D,20260331,000000,30.881,33.0399,30.7963,30.9047,13803,0
DDDD.US,D,20260401,000000,30.66,30.8935,30.66,30.795,4157,0
DDDD.US,D,20260402,000000,30.67,30.8114,30.67,30.8114,1847,0
DDDD.US,D,20260406,000000,30.96,30.96,30.75,30.8615,2797,0
DDDD.US,D,20260407,000000,30.86,30.91,30.79,30.7975,1255,0
DDDD.US,D,20260408,000000,30.86,31.0863,30.762,31.0863,2221,0
DDDD.US,D,20260409,000000,31,31.18,31,31.1414,1605,0
DDDD.US,D,20260410,000000,31.068,31.07,30.771,30.8064,5781,0
DDDD.US,D,20260413,000000,30.99,30.99,30.7799,30.9687,3119,0
DDDD.US,D,20260414,000000,31.11,31.11,30.81,30.8853,3786,0
DDDD.US,D,20260415,000000,30.76,30.8615,30.7055,30.8615,2443,0
DDDD.US,D,20260416,000000,30.96,31.0584,30.95,31.0113,3060,0
DDDD.US,D,20260417,000000,30.9698,31.259,30.9698,31.2303,5490,0
DDDD.US,D,20260420,000000,31.255,31.3,31.07,31.1206,1835,0
DDDD.US,D,20260421,000000,31.23,31.23,31.075,31.0862,1353,0
DDDD.US,D,20260422,000000,31.2582,31.31,31.0656,31.0832,1707,0
DDDD.US,D,20260423,000000,31.37,31.57,31.37,31.5133,18624,0
DDDD.US,D,20260424,000000,31.84,31.84,31.29,31.3227,11787,0
DDDD.US,D,20260427,000000,31.53,31.56,31.2336,31.2336,6012,0
DDDD.US,D,20260428,000000,31.435,31.47,31.4,31.4033,2133,0
DDDD.US,D,20260429,000000,31.35,31.489,31.35,31.489,1633,0
DDDD.US,D,20260430,000000,31.71,32.1038,31.71,32.1038,2419,0
DDDD.US,D,20260501,000000,31.96,31.99,31.862,31.9279,6162,0
DDDD.US,D,20260504,000000,31.75,31.79,31.51,31.5763,6302,0
DDDD.US,D,20260505,000000,31.46,31.7692,31.46,31.7624,2712,0
DDDD.US,D,20260506,000000,31.89,31.89,31.66,31.7858,5124,0
DDDD.US,D,20260507,000000,31.9,31.9,31.47,31.6406,2911,0
DDDD.US,D,20260508,000000,31.71,31.7241,31.71,31.7241,1077,0
DDDD.US,D,20260511,000000,31.8,31.94,31.725,31.8185,2606,0
DDDD.US,D,20260512,000000,31.72,31.86,31.69,31.8405,2004,0
DDDD.US,D,20260513,000000,31.59,31.7935,31.59,31.7935,1974,0
DDDD.US,D,20260514,000000,31.95,31.98,31.825,31.8338,2557,0
DDDD.US,D,20260515,000000,31.875,31.875,31.7577,31.7577,2201,0
DDDD.US,D,20260518,000000,31.93,32.053,31.805,32.053,4119,0
DDDD.US,D,20260519,000000,32.07,32.21,31.88,32.1327,7433,0
DDDD.US,D,20260520,000000,32.23,32.23,32.02,32.1441,4134,0
DDDD.US,D,20260521,000000,32.28,32.28,32,32.2074,8216,0
DDDD.US,D,20260522,000000,32.41,32.88,32.41,32.7839,5659,0
DDDD.US,D,20260526,000000,32.67,32.86,32.6,32.6644,8987,0
DDDD.US,D,20260527,000000,32.58,32.68,32.5587,32.5587,2706,0
