<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EROK.US,D,20260514,000000,23,23.84,21.75,21.84,4882368,0
EROK.US,D,20260515,000000,21.47,22.62,21.2,21.55,1144945,0
EROK.US,D,20260518,000000,21.63,23.12,21.63,23,595304,0
EROK.US,D,20260519,000000,23,23.73,22.35,23.29,519218,0
EROK.US,D,20260520,000000,23.52,24.35,22.85,23.04,1357672,0
EROK.US,D,20260521,000000,23.02,23.31,22.51,22.58,357340,0
EROK.US,D,20260522,000000,22.81,23.5,22.76,23.42,364668,0
EROK.US,D,20260526,000000,23.25,24.63,23.06,24.32,498894,0
EROK.US,D,20260527,000000,24.47,24.8,22.15,22.26,824497,0
EROK.US,D,20260528,000000,22.26,22.9,22,22.26,156095,0
EROK.US,D,20260529,000000,22.31,22.67,22.02,22.29,299238,0
EROK.US,D,20260601,000000,22.29,22.8569,21.85,21.86,221147,0
EROK.US,D,20260602,000000,22.14,22.18,21.22,21.82,536600,0
EROK.US,D,20260603,000000,21.6,22.55,21.33,21.65,306656,0
EROK.US,D,20260604,000000,21.33,22.895,21.33,22.25,288143,0
EROK.US,D,20260605,000000,22.19,22.9796,21.27,21.37,185481,0
EROK.US,D,20260608,000000,21.26,22.28,21,21.1,248402,0
EROK.US,D,20260609,000000,21,21.55,20.55,20.85,518294,0
EROK.US,D,20260610,000000,21,21.6131,20.35,20.46,186529,0
EROK.US,D,20260611,000000,22,22,20.37,21,208681,0
EROK.US,D,20260612,000000,20.99,21.54,20.76,21.25,108740,0
EROK.US,D,20260615,000000,21.13,21.28,20.25,20.28,187308,0
EROK.US,D,20260616,000000,20.09,21.45,20,20.21,252639,0
EROK.US,D,20260617,000000,20.43,20.725,19.85,19.99,306802,0
EROK.US,D,20260618,000000,20.65,21.11,19.75,20.65,333766,0
EROK.US,D,20260622,000000,20.86,21.26,20.3,21.09,107883,0
EROK.US,D,20260623,000000,20.54,21.35,20.54,21.11,89144,0
EROK.US,D,20260624,000000,21.45,21.45,20.37,20.46,270792,0
