<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVMU.US,D,20260527,000000,25.05,25.05,24.41,24.5877,777,0
EVMU.US,D,20260529,000000,23.31,23.76,23.09,23.6637,1425,0
EVMU.US,D,20260601,000000,22.9,23.38,22.38,23.38,1651,0
EVMU.US,D,20260602,000000,20.77,21.15,20.77,21.089,1706,0
EVMU.US,D,20260603,000000,20.08,20.08,18.84,18.84,3089,0
EVMU.US,D,20260604,000000,18.2888,18.44,17.86,18.1968,2010,0
EVMU.US,D,20260605,000000,15.97,16,13.92,14.15,43370,0
EVMU.US,D,20260608,000000,15.95,16.33,15.15,16.0595,30119,0
EVMU.US,D,20260609,000000,15.64,15.64,14.83,15.4577,16624,0
EVMU.US,D,20260610,000000,15.205,15.5,14.9,14.9427,11299,0
EVMU.US,D,20260611,000000,15.33,16.04,14.97,15.9093,13920,0
EVMU.US,D,20260612,000000,15.57,15.97,15.385,15.5663,6632,0
EVMU.US,D,20260615,000000,18.49,18.62,18.25,18.47,5885,0
EVMU.US,D,20260616,000000,18.08,18.08,17.5817,17.8996,604,0
EVMU.US,D,20260617,000000,17.08,17.43,16.6685,16.6685,1736,0
EVMU.US,D,20260618,000000,16.61,16.79,15.58,16.1222,12096,0
EVMU.US,D,20260622,000000,17.16,17.405,16.6127,16.6127,1011,0
EVMU.US,D,20260623,000000,15.075,15.21,15.075,15.1891,2035,0
EVMU.US,D,20260624,000000,13.5,13.5,13.5,13.5,1585,0
