<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FITZ.US,D,20260528,000000,25.03,36.3,25.02,25.31,1032224,0
FITZ.US,D,20260529,000000,25.37,25.3999,25.19,25.39,587921,0
FITZ.US,D,20260601,000000,25.38,25.59,25.16,25.175,693900,0
FITZ.US,D,20260602,000000,25.2,25.2,25.0601,25.18,267155,0
FITZ.US,D,20260603,000000,25.18,25.19,24.94,24.94,271391,0
FITZ.US,D,20260604,000000,24.79,24.955,24.75,24.89,201222,0
FITZ.US,D,20260605,000000,24.85,24.85,24.14,24.17,307774,0
FITZ.US,D,20260608,000000,24.44,24.55,24.29,24.35,960956,0
FITZ.US,D,20260609,000000,24.48,24.48,23.58,24.01,450902,0
FITZ.US,D,20260610,000000,24.01,24.08,23.71,23.71,138423,0
FITZ.US,D,20260611,000000,23.86,24.23,23.74,24.14,167664,0
FITZ.US,D,20260612,000000,24.22,24.24,23.98,24.14,100336,0
FITZ.US,D,20260615,000000,24.45,24.5155,24.295,24.45,147012,0
FITZ.US,D,20260616,000000,24.4,24.4,24.23,24.23,75781,0
FITZ.US,D,20260617,000000,24.34,24.3699,24.045,24.11,104380,0
FITZ.US,D,20260618,000000,24.35,24.35,23.97,24.16,105151,0
FITZ.US,D,20260622,000000,24.2,24.36,24.03,24.07,80690,0
FITZ.US,D,20260623,000000,23.85,24.0387,23.82,23.87,54457,0
FITZ.US,D,20260624,000000,23.91,23.92,23.6,23.685,73481,0
