<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FTHB.US,D,20260319,000000,24.98,25.015,24.98,25.015,96216,0
FTHB.US,D,20260320,000000,24.89,24.89,24.84,24.845,2492,0
FTHB.US,D,20260323,000000,24.94,24.965,24.94,24.965,1180,0
FTHB.US,D,20260324,000000,24.935,24.935,24.895,24.92,6335,0
FTHB.US,D,20260325,000000,24.98,24.99,24.97,24.97,242,0
FTHB.US,D,20260326,000000,24.92,24.92,24.88,24.88,116,0
FTHB.US,D,20260327,000000,24.83,24.84,24.81,24.81,304,0
FTHB.US,D,20260330,000000,24.89,24.91,24.889,24.8915,3180,0
FTHB.US,D,20260331,000000,24.93,24.99,24.92,24.9713,317,0
FTHB.US,D,20260401,000000,24.97,25,24.97,24.97,2073,0
FTHB.US,D,20260402,000000,24.96,25.0219,24.96,25.0219,242,0
FTHB.US,D,20260406,000000,25.02,25.08,25.02,25.04,2431,0
FTHB.US,D,20260407,000000,25.02,25.04,25.02,25.04,104,0
FTHB.US,D,20260408,000000,25.16,25.16,25.1,25.1167,2465,0
FTHB.US,D,20260409,000000,25.16,25.16,25.11,25.1401,14773,0
FTHB.US,D,20260410,000000,25.11,25.15,25.1,25.1,3495,0
FTHB.US,D,20260413,000000,25.12,25.16,25.11,25.1558,1150,0
FTHB.US,D,20260414,000000,25.16,25.28,25.16,25.245,16937,0
FTHB.US,D,20260415,000000,25.21,25.22,25.21,25.22,293,0
FTHB.US,D,20260416,000000,25.18,25.19,25.18,25.18,231,0
FTHB.US,D,20260420,000000,25.26,25.27,25.26,25.27,533,0
FTHB.US,D,20260421,000000,25.2697,25.2697,25.21,25.21,3439,0
FTHB.US,D,20260422,000000,25.25,25.26,25.25,25.259,1014,0
FTHB.US,D,20260423,000000,25.25,25.25,25.215,25.215,2409,0
FTHB.US,D,20260424,000000,25.19,25.25,25.19,25.25,1101,0
FTHB.US,D,20260428,000000,25.22,25.22,25.21,25.21,121,0
FTHB.US,D,20260429,000000,25.16,25.16,25.15,25.15,215,0
FTHB.US,D,20260501,000000,25.18,25.19,25.165,25.165,2614,0
FTHB.US,D,20260515,000000,25.1,25.1,25.0861,25.0861,2871,0
FTHB.US,D,20260519,000000,25,25.025,25,25.025,2156,0
FTHB.US,D,20260520,000000,25.05,25.165,25.0499,25.165,300,0
FTHB.US,D,20260521,000000,25.1,25.1901,25.09,25.1901,6358,0
FTHB.US,D,20260522,000000,25.257,25.257,25.2135,25.2135,123,0
FTHB.US,D,20260526,000000,25.3,25.31,25.3,25.305,4669,0
FTHB.US,D,20260527,000000,25.35,25.35,25.295,25.295,101,0
FTHB.US,D,20260528,000000,25.294,25.36,25.29,25.335,6103,0
FTHB.US,D,20260529,000000,25.29,25.356,25.29,25.356,1490,0
FTHB.US,D,20260601,000000,25.385,25.3902,25.385,25.3902,107,0
FTHB.US,D,20260602,000000,25.39,25.39,25.3776,25.3776,5001,0
FTHB.US,D,20260604,000000,25.3,25.3,25.2763,25.2763,4509,0
FTHB.US,D,20260605,000000,25.15,25.15,25.15,25.15,9933,0
FTHB.US,D,20260608,000000,25.16,25.16,25.1544,25.1544,124,0
FTHB.US,D,20260609,000000,25.192,25.22,25.192,25.2185,14749,0
FTHB.US,D,20260610,000000,25.185,25.195,25.185,25.195,201,0
FTHB.US,D,20260611,000000,25.2,25.305,25.2,25.305,2100,0
FTHB.US,D,20260612,000000,25.31,25.31,25.29,25.295,11211,0
FTHB.US,D,20260615,000000,25.345,25.345,25.3133,25.3133,101,0
FTHB.US,D,20260616,000000,25.31,25.345,25.31,25.3379,820,0
FTHB.US,D,20260617,000000,25.34,25.342,25.2193,25.2193,264,0
FTHB.US,D,20260618,000000,25.3246,25.3246,25.305,25.305,746,0
FTHB.US,D,20260622,000000,25.25,25.25,25.21,25.2153,14102,0
FTHB.US,D,20260623,000000,25.252,25.262,25.25,25.25,901,0
FTHB.US,D,20260624,000000,25.312,25.312,25.312,25.312,200,0
