<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEOA.US,D,20250708,000000,30.045,30.08,29.912,30.0358,6529,0
GEOA.US,D,20250709,000000,30.039,30.039,29.93,30.0266,1890,0
GEOA.US,D,20250710,000000,29.8768,29.9127,29.8768,29.9127,126,0
GEOA.US,D,20250711,000000,29.73,29.81,29.73,29.75,5443,0
GEOA.US,D,20250714,000000,29.869,29.87,29.645,29.7349,13365,0
GEOA.US,D,20250715,000000,29.7,29.7,29.496,29.496,103,0
GEOA.US,D,20250721,000000,29.69,29.69,29.66,29.66,638,0
GEOA.US,D,20250722,000000,29.64,29.73,29.64,29.73,309,0
GEOA.US,D,20250724,000000,30.03,30.03,29.9375,29.9375,716,0
GEOA.US,D,20250729,000000,29.57,29.57,29.57,29.57,575,0
GEOA.US,D,20250730,000000,29.46,29.46,29.3847,29.3847,701,0
GEOA.US,D,20250731,000000,29.37,29.37,29.2349,29.2349,236,0
GEOA.US,D,20250801,000000,28.94,29,28.9,28.9964,2201,0
GEOA.US,D,20250804,000000,29.22,29.2978,29.22,29.2978,100,0
GEOA.US,D,20250806,000000,29.55,29.6,29.5367,29.5367,2101,0
GEOA.US,D,20250812,000000,29.6901,29.7301,29.6901,29.7301,135,0
GEOA.US,D,20250813,000000,29.8352,29.9586,29.8352,29.9586,1507,0
GEOA.US,D,20250825,000000,30.0599,30.0599,29.94,29.94,100,0
GEOA.US,D,20250827,000000,29.9,29.9,29.87,29.8984,596,0
GEOA.US,D,20250915,000000,30.64,30.7122,30.64,30.7122,360,0
GEOA.US,D,20250917,000000,30.86,30.86,30.7861,30.7861,335,0
GEOA.US,D,20250922,000000,31,31.0843,31,31.0843,101,0
GEOA.US,D,20251010,000000,31.32,31.32,30.823,30.823,300,0
GEOA.US,D,20251022,000000,32.18,32.18,32.174,32.174,108,0
GEOA.US,D,20251027,000000,32.71,32.9567,32.71,32.9567,303,0
GEOA.US,D,20251114,000000,32.07,32.1903,32.07,32.1903,202,0
GEOA.US,D,20251208,000000,33.06,33.06,32.9889,32.9889,154,0
GEOA.US,D,20251211,000000,33.5006,33.58,33.4937,33.4937,8895,0
GEOA.US,D,20251216,000000,33.187,33.22,33.16,33.201,4658,0
GEOA.US,D,20251217,000000,33.05,33.09,32.8187,32.8187,14340,0
GEOA.US,D,20251222,000000,33.2101,33.2739,33.2101,33.2739,355,0
GEOA.US,D,20251226,000000,33.15,33.2411,33.15,33.2411,405,0
GEOA.US,D,20260107,000000,34.1,34.27,33.9528,33.9528,540,0
GEOA.US,D,20260109,000000,34.46,34.5288,34.355,34.5288,10008,0
GEOA.US,D,20260120,000000,34.49,34.49,34.3396,34.3396,629,0
GEOA.US,D,20260121,000000,34.49,34.7782,34.49,34.7782,313,0
GEOA.US,D,20260126,000000,35.1194,35.1194,35.1184,35.1184,365,0
GEOA.US,D,20260127,000000,35.27,35.3297,35.27,35.3297,115,0
GEOA.US,D,20260128,000000,35.05,35.1868,35.05,35.1868,404,0
GEOA.US,D,20260130,000000,35.2999,35.34,35.2,35.2495,4250,0
GEOA.US,D,20260204,000000,36.23,36.23,36.1835,36.1835,258,0
GEOA.US,D,20260205,000000,35.8,35.8057,35.8,35.8057,1060,0
GEOA.US,D,20260219,000000,36.37,36.4058,36.37,36.4058,158,0
GEOA.US,D,20260220,000000,36.67,36.67,36.64,36.6607,431,0
GEOA.US,D,20260303,000000,34.59,35.1759,34.59,35.1759,108,0
GEOA.US,D,20260304,000000,35.07,35.21,35.07,35.1956,558,0
GEOA.US,D,20260305,000000,34.66,34.74,34.66,34.66,1007,0
GEOA.US,D,20260306,000000,34.12,34.2701,34.05,34.2701,1055,0
GEOA.US,D,20260309,000000,34.49,34.52,34.3637,34.3637,608,0
GEOA.US,D,20260310,000000,34.628,34.628,34.511,34.511,223,0
GEOA.US,D,20260318,000000,33.68,33.78,33.68,33.7318,301,0
GEOA.US,D,20260319,000000,33.53,33.535,33.53,33.535,190,0
GEOA.US,D,20260320,000000,32.7,32.81,32.7,32.7719,204,0
GEOA.US,D,20260323,000000,33.68,33.68,33.4435,33.4435,200,0
GEOA.US,D,20260324,000000,33.48,33.48,33.48,33.48,306,0
GEOA.US,D,20260326,000000,33.3,33.3,33.1359,33.1359,300,0
GEOA.US,D,20260414,000000,35.231,35.3063,35.231,35.3063,672,0
GEOA.US,D,20260417,000000,35.62,35.62,35.5286,35.5286,440,0
GEOA.US,D,20260424,000000,35,35.0208,34.95,35.0208,305,0
GEOA.US,D,20260501,000000,35.71,35.92,35.71,35.8055,912,0
GEOA.US,D,20260504,000000,35.33,35.33,35.329,35.329,363,0
GEOA.US,D,20260506,000000,36.505,36.5155,36.505,36.5155,389,0
GEOA.US,D,20260514,000000,36.01,36.01,35.8874,35.8874,872,0
GEOA.US,D,20260518,000000,35.5,35.655,35.46,35.655,2351,0
GEOA.US,D,20260519,000000,35.38,35.38,35.3078,35.3078,619,0
GEOA.US,D,20260602,000000,36.87,36.87,36.8143,36.8143,442,0
GEOA.US,D,20260605,000000,36.5,36.5,36.0528,36.0528,554,0
GEOA.US,D,20260618,000000,36.21,36.3256,36.21,36.3256,813,0
