<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMRS.US,D,20260513,000000,13.5,15,13.15,13.98,11388027,0
GMRS.US,D,20260514,000000,13.51,13.9,12.73,13.85,3084982,0
GMRS.US,D,20260515,000000,13.7,13.77,13,13.37,1227251,0
GMRS.US,D,20260518,000000,13.34,13.57,13.0401,13.37,742812,0
GMRS.US,D,20260519,000000,13.37,13.37,12.03,12.07,2148209,0
GMRS.US,D,20260520,000000,12.55,12.55,11.175,11.68,3095138,0
GMRS.US,D,20260521,000000,11.56,12.04,11.175,11.25,1177545,0
GMRS.US,D,20260522,000000,11.25,11.48,10.91,11.01,1027356,0
GMRS.US,D,20260526,000000,11.27,11.49,10.85,11.35,711653,0
GMRS.US,D,20260527,000000,11.46,12.135,11.27,11.86,848736,0
GMRS.US,D,20260528,000000,11.96,12.88,11.51,12.52,692760,0
GMRS.US,D,20260529,000000,12.34,12.88,12.285,12.5,438169,0
GMRS.US,D,20260601,000000,12.5,12.69,11.53,11.56,627016,0
GMRS.US,D,20260602,000000,11.74,11.915,10.48,10.61,632752,0
GMRS.US,D,20260603,000000,10.59,11.1,10.2554,10.85,723420,0
GMRS.US,D,20260604,000000,10.526,11.1,10.526,10.97,617148,0
GMRS.US,D,20260605,000000,10.69,11.285,10.69,10.9,761055,0
GMRS.US,D,20260608,000000,11.51,11.52,10.57,10.58,450320,0
GMRS.US,D,20260609,000000,10.49,11.72,10.49,11.62,1162644,0
GMRS.US,D,20260610,000000,11.59,13.79,11.24,13.18,1158167,0
GMRS.US,D,20260611,000000,13.13,13.34,12.63,12.91,788564,0
GMRS.US,D,20260612,000000,12.5,13.07,12.29,12.35,580013,0
GMRS.US,D,20260615,000000,12.39,12.91,11.75,12.03,646175,0
GMRS.US,D,20260616,000000,12.1,12.43,11.87,12,589815,0
GMRS.US,D,20260617,000000,11.95,12.39,11.8,12.01,762276,0
GMRS.US,D,20260618,000000,12.31,13.85,12.142,13.25,4053947,0
GMRS.US,D,20260622,000000,13.41,13.99,13.275,13.7,892757,0
GMRS.US,D,20260623,000000,13.49,13.806,12.91,13.32,939596,0
GMRS.US,D,20260624,000000,13.46,14.2694,13.335,13.59,592512,0
