<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTND.US,D,20260514,000000,25.25,25.25,25.03,25.1956,1630,0
GTND.US,D,20260515,000000,24.95,24.95,24.8537,24.8537,348,0
GTND.US,D,20260519,000000,24.62,24.78,24.56,24.636,248799,0
GTND.US,D,20260520,000000,24.78,24.9618,24.72,24.9618,5160,0
GTND.US,D,20260521,000000,24.92,25.05,24.92,25.0274,3247,0
GTND.US,D,20260522,000000,25.19,25.215,25.115,25.1368,25481,0
GTND.US,D,20260526,000000,25.4,25.435,25.35,25.4009,1270,0
GTND.US,D,20260527,000000,25.51,25.51,25.325,25.41,11297,0
GTND.US,D,20260528,000000,25.5499,25.59,25.5499,25.59,26953,0
GTND.US,D,20260529,000000,25.71,25.71,25.59,25.6255,39102,0
GTND.US,D,20260601,000000,25.62,25.78,25.62,25.7216,4417,0
GTND.US,D,20260602,000000,25.66,25.8008,25.66,25.8008,2092,0
GTND.US,D,20260603,000000,25.8,25.8,25.6796,25.6796,1580,0
GTND.US,D,20260604,000000,25.5984,25.73,25.51,25.6781,1151,0
GTND.US,D,20260605,000000,25.35,25.35,24.815,24.815,4488,0
GTND.US,D,20260608,000000,25.09,25.09,24.962,24.962,602,0
GTND.US,D,20260609,000000,25,25,24.71,24.7848,919,0
GTND.US,D,20260610,000000,24.68,24.86,24.414,24.414,547,0
GTND.US,D,20260611,000000,24.47,24.9519,24.47,24.9519,2323,0
GTND.US,D,20260612,000000,24.945,25.12,24.945,25.0919,2887,0
GTND.US,D,20260615,000000,25.59,25.695,25.59,25.654,1159,0
GTND.US,D,20260616,000000,25.67,25.67,25.4006,25.4006,319,0
GTND.US,D,20260617,000000,25.45,25.45,25.0924,25.0924,2755,0
GTND.US,D,20260618,000000,25.49,25.5252,25.49,25.5252,2515,0
GTND.US,D,20260622,000000,25.38,25.43,25.37,25.43,5931,0
GTND.US,D,20260623,000000,24.94,25,24.87,24.9035,2148,0
GTND.US,D,20260624,000000,24.91,24.91,24.91,24.91,465,0
