<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBCB.US,D,20260326,000000,24.92,24.92,24.8063,24.8063,5823,0
IBCB.US,D,20260327,000000,24.7,24.77,24.7,24.72,14475,0
IBCB.US,D,20260330,000000,24.87,24.94,24.87,24.9,20479,0
IBCB.US,D,20260331,000000,25.02,25.1,24.98,25.061,11952,0
IBCB.US,D,20260401,000000,25.1,25.13,25.06,25.0701,42021,0
IBCB.US,D,20260402,000000,25.05,25.18,25.05,25.1643,18693,0
IBCB.US,D,20260406,000000,25.14,25.18,25.11,25.125,14090,0
IBCB.US,D,20260407,000000,25.12,25.1496,25,25.1496,15269,0
IBCB.US,D,20260408,000000,25.34,25.35,25.24,25.257,4869,0
IBCB.US,D,20260409,000000,25.21,25.33,25.195,25.2711,310078,0
IBCB.US,D,20260410,000000,25.28,25.28,25.16,25.192,19905,0
IBCB.US,D,20260413,000000,25.22,25.29,25.16,25.282,113596,0
IBCB.US,D,20260414,000000,25.31,25.409,25.285,25.3898,21927,0
IBCB.US,D,20260415,000000,25.32,25.36,25.31,25.355,35972,0
IBCB.US,D,20260416,000000,25.41,25.41,25.23,25.26,28964,0
IBCB.US,D,20260417,000000,25.45,25.48,25.39,25.42,26770,0
IBCB.US,D,20260420,000000,25.44,25.44,25.38,25.3951,37271,0
IBCB.US,D,20260421,000000,25.38,25.38,25.295,25.2996,28562,0
IBCB.US,D,20260422,000000,25.4,25.4,25.346,25.346,23628,0
IBCB.US,D,20260423,000000,25.34,25.37,25.24,25.27,61051,0
IBCB.US,D,20260424,000000,25.29,25.34,25.25,25.315,34676,0
IBCB.US,D,20260427,000000,25.31,25.31,25.225,25.24,55800,0
IBCB.US,D,20260428,000000,25.16,25.22,25.15,25.2125,20037,0
IBCB.US,D,20260429,000000,25.14,25.14,25.04,25.07,76480,0
IBCB.US,D,20260430,000000,25.105,25.1699,25.06,25.1299,19258,0
IBCB.US,D,20260501,000000,25.08,25.16,25.08,25.1,24619,0
IBCB.US,D,20260504,000000,25.04,25.06,24.94,24.9947,20070,0
IBCB.US,D,20260505,000000,25.035,25.12,25.035,25.09,26372,0
IBCB.US,D,20260506,000000,25.18,25.24,25.18,25.22,93360,0
IBCB.US,D,20260507,000000,25.22,25.25,25.105,25.115,53374,0
IBCB.US,D,20260508,000000,25.23,25.23,25.185,25.2039,29482,0
IBCB.US,D,20260511,000000,25.18,25.19,25.15,25.15,17020,0
IBCB.US,D,20260512,000000,25.09,25.09,25.01,25.07,537621,0
IBCB.US,D,20260513,000000,25.07,25.07,25.025,25.065,116737,0
IBCB.US,D,20260514,000000,25.12,25.13,25.065,25.065,42895,0
IBCB.US,D,20260515,000000,24.89,24.91,24.85,24.86,74794,0
IBCB.US,D,20260518,000000,24.91,24.93,24.805,24.84,17538,0
IBCB.US,D,20260519,000000,24.77,24.77,24.655,24.7,32466,0
IBCB.US,D,20260520,000000,24.75,24.92,24.7198,24.9,37177,0
IBCB.US,D,20260521,000000,24.82,24.94,24.785,24.94,68153,0
IBCB.US,D,20260522,000000,25.04,25.04,24.9,24.97,25665,0
IBCB.US,D,20260526,000000,25.11,25.11,25.04,25.1,20899,0
IBCB.US,D,20260527,000000,25.11,25.13,25.09,25.11,16324,0
IBCB.US,D,20260528,000000,25.1,25.18,25.075,25.18,31762,0
IBCB.US,D,20260529,000000,25.16,25.25,25.16,25.22,9577,0
IBCB.US,D,20260601,000000,25.19,25.19,25.008,25.0804,246300,0
IBCB.US,D,20260602,000000,25.13,25.14,25.09,25.12,23323,0
IBCB.US,D,20260603,000000,25.03,25.0599,25,25.04,28269,0
IBCB.US,D,20260604,000000,25.0982,25.11,25.07,25.07,21477,0
IBCB.US,D,20260605,000000,25.01,25.01,24.89,24.93,30083,0
IBCB.US,D,20260608,000000,25,25,24.905,24.9109,15741,0
IBCB.US,D,20260609,000000,24.96,24.98,24.92,24.95,13240,0
IBCB.US,D,20260610,000000,24.97,24.989,24.92,24.94,32004,0
IBCB.US,D,20260611,000000,24.99,25.14,24.97,25.115,65741,0
IBCB.US,D,20260612,000000,25.0541,25.12,25.04,25.1,77921,0
IBCB.US,D,20260615,000000,25.19,25.1999,25.12,25.13,91963,0
IBCB.US,D,20260616,000000,25.15,25.2,25.13,25.1678,56031,0
IBCB.US,D,20260617,000000,25.17,25.18,25.0402,25.05,34450,0
IBCB.US,D,20260618,000000,25.21,25.21,25.11,25.132,18042,0
IBCB.US,D,20260622,000000,25.09,25.12,24.99,25.02,66627,0
IBCB.US,D,20260623,000000,25.07,25.12,25.06,25.085,21228,0
IBCB.US,D,20260624,000000,25.18,25.23,25.174,25.205,32302,0
