<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBIM.US,D,20260326,000000,25,25,24.88,24.88,5830,0
IBIM.US,D,20260327,000000,24.76,24.8382,24.76,24.8,6369,0
IBIM.US,D,20260330,000000,25.0349,25.0376,25.015,25.015,6568,0
IBIM.US,D,20260331,000000,25.11,25.11,25.05,25.085,6077,0
IBIM.US,D,20260401,000000,25.105,25.105,25.07,25.08,1100,0
IBIM.US,D,20260402,000000,25.08,25.2,25.08,25.185,8165,0
IBIM.US,D,20260406,000000,25.14,25.2,25.14,25.18,5729,0
IBIM.US,D,20260407,000000,25.14,25.2,25.08,25.19,2048,0
IBIM.US,D,20260408,000000,25.2889,25.3,25.26,25.26,13437,0
IBIM.US,D,20260409,000000,25.3,25.31,25.25,25.29,1520,0
IBIM.US,D,20260410,000000,25.49,25.49,25.25,25.2851,10634,0
IBIM.US,D,20260413,000000,26.53,27.37,25.3,25.37,28538,0
IBIM.US,D,20260414,000000,25.37,25.45,25.32,25.425,11768,0
IBIM.US,D,20260415,000000,25.44,25.5,25.405,25.405,11175,0
IBIM.US,D,20260416,000000,25.45,25.47,25.35,25.365,11504,0
IBIM.US,D,20260417,000000,25.44,25.46,25.415,25.43,2278,0
IBIM.US,D,20260420,000000,25.47,25.48,25.4,25.435,10658,0
IBIM.US,D,20260421,000000,25.4,25.47,25.32,25.325,5681,0
IBIM.US,D,20260422,000000,25.43,25.43,25.385,25.385,2739,0
IBIM.US,D,20260423,000000,25.4001,25.43,25.36,25.4147,10497,0
IBIM.US,D,20260424,000000,25.4,25.4615,25.4,25.4615,9772,0
IBIM.US,D,20260427,000000,27.6,27.6,25.44,25.485,3659,0
IBIM.US,D,20260428,000000,25.5,25.5,25.3823,25.425,18677,0
IBIM.US,D,20260429,000000,25.46,25.55,25.35,25.365,21905,0
IBIM.US,D,20260430,000000,25.38,25.43,25.375,25.405,19034,0
IBIM.US,D,20260501,000000,26,26,25.4704,25.495,5202,0
IBIM.US,D,20260504,000000,25.49,25.53,25.39,25.426,10797,0
IBIM.US,D,20260505,000000,25.37,25.45,25.37,25.425,6969,0
IBIM.US,D,20260506,000000,25.48,25.4925,25.43,25.4925,3790,0
IBIM.US,D,20260507,000000,25.52,25.52,25.43,25.45,2137,0
IBIM.US,D,20260508,000000,25.5,25.89,25.5,25.53,7859,0
IBIM.US,D,20260511,000000,25.55,25.57,25.48,25.5,18168,0
IBIM.US,D,20260512,000000,25.54,25.54,25.41,25.4251,10148,0
IBIM.US,D,20260513,000000,25.48,25.4999,25.41,25.46,5518,0
IBIM.US,D,20260514,000000,25.46,25.52,25.4,25.43,17915,0
IBIM.US,D,20260515,000000,25.45,25.45,25.22,25.26,15813,0
IBIM.US,D,20260518,000000,25.29,25.32,25.17,25.185,21222,0
IBIM.US,D,20260519,000000,25.15,25.15,25.03,25.0605,14206,0
IBIM.US,D,20260520,000000,25,25.17,25,25.14,12269,0
IBIM.US,D,20260521,000000,25.13,25.135,25.105,25.125,24357,0
IBIM.US,D,20260522,000000,25.42,25.42,25.1,25.16,10942,0
IBIM.US,D,20260526,000000,25.5,25.5,25.25,25.285,3811,0
IBIM.US,D,20260527,000000,25.475,25.475,25.355,25.355,6414,0
IBIM.US,D,20260528,000000,25.32,25.4699,25.32,25.4485,10268,0
IBIM.US,D,20260529,000000,25.5,25.5,25.43,25.45,5167,0
IBIM.US,D,20260601,000000,25.94,25.94,25.4,25.435,15081,0
IBIM.US,D,20260602,000000,25.51,25.51,25.45,25.465,7076,0
IBIM.US,D,20260603,000000,25.405,25.44,25.3451,25.3451,5511,0
IBIM.US,D,20260604,000000,25.5,25.5,25.36,25.38,10164,0
IBIM.US,D,20260605,000000,25.26,25.3091,25.24,25.3,30186,0
IBIM.US,D,20260608,000000,25.32,25.32,25.19,25.195,12897,0
IBIM.US,D,20260609,000000,25.24,25.26,25.17,25.2,7222,0
IBIM.US,D,20260610,000000,25.24,25.28,25.17,25.195,2909,0
IBIM.US,D,20260611,000000,25.21,25.33,25.21,25.29,7609,0
IBIM.US,D,20260612,000000,25.26,25.36,25.26,25.3151,27047,0
IBIM.US,D,20260615,000000,25.45,25.45,25.33,25.385,1121,0
IBIM.US,D,20260616,000000,25.39,25.42,25.3701,25.41,1228,0
IBIM.US,D,20260617,000000,25.5,25.5,25.2,25.225,6513,0
IBIM.US,D,20260618,000000,25.95,25.95,25.28,25.28,2133,0
IBIM.US,D,20260622,000000,25.45,25.8,25.16,25.1801,14333,0
IBIM.US,D,20260623,000000,25.2,25.25,25.15,25.15,7446,0
IBIM.US,D,20260624,000000,25.2772,25.31,25.2772,25.3,4896,0
