<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INYY.US,D,20260603,000000,51.92,52.69,51.36,51.8845,41838,0
INYY.US,D,20260604,000000,50.49,51.5751,50.4899,51.5751,2314,0
INYY.US,D,20260605,000000,49.97,49.97,46.26,46.29,7518,0
INYY.US,D,20260608,000000,50,51.91,50,51.0221,7398,0
INYY.US,D,20260609,000000,51.98,52.47,47.5,49.8959,3573,0
INYY.US,D,20260610,000000,50.37,50.37,49.69,49.8031,587,0
INYY.US,D,20260611,000000,52.09,53.4572,51.53,53.4572,1020,0
INYY.US,D,20260612,000000,53.97,56.68,53.97,56.3218,4378,0
INYY.US,D,20260615,000000,58.05,58.05,57.4817,57.4817,1969,0
INYY.US,D,20260616,000000,56.78,57.5,53.2025,53.2025,3913,0
INYY.US,D,20260617,000000,56,56.7999,54.29,55.56,39755,0
INYY.US,D,20260618,000000,57.82,59.745,56.73,57.6187,35536,0
INYY.US,D,20260622,000000,59.48,60.6299,58.83,60.4261,34451,0
INYY.US,D,20260623,000000,56.73,59.31,56.73,57.448,28531,0
INYY.US,D,20260624,000000,58.06,58.7899,56.06,57.5599,40242,0
