<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IRAB.US,D,20260224,000000,9.87,9.91,9.86,9.88,8958,0
IRAB.US,D,20260225,000000,9.85,9.851,9.8123,9.85,7298,0
IRAB.US,D,20260302,000000,9.855,9.88,9.85,9.85,377400,0
IRAB.US,D,20260303,000000,9.84,9.84,9.82,9.82,151603,0
IRAB.US,D,20260304,000000,9.83,9.83,9.83,9.83,234,0
IRAB.US,D,20260309,000000,9.85,9.85,9.85,9.85,130,0
IRAB.US,D,20260310,000000,9.85,9.9,9.84,9.84,60895,0
IRAB.US,D,20260311,000000,9.85,10.02,9.85,9.85,317,0
IRAB.US,D,20260313,000000,9.84,9.845,9.84,9.84,30298,0
IRAB.US,D,20260319,000000,9.84,9.84,9.84,9.84,117176,0
IRAB.US,D,20260323,000000,9.84,9.84,9.84,9.84,4543,0
IRAB.US,D,20260327,000000,9.85,9.85,9.85,9.85,129,0
IRAB.US,D,20260331,000000,9.82,9.82,9.82,9.82,154,0
IRAB.US,D,20260402,000000,9.83,9.83,9.83,9.83,125131,0
IRAB.US,D,20260415,000000,9.84,9.85,9.84,9.845,109616,0
IRAB.US,D,20260417,000000,9.87,9.89,9.87,9.89,15710,0
IRAB.US,D,20260420,000000,9.89,9.9,9.89,9.9,11415,0
IRAB.US,D,20260427,000000,9.91,9.915,9.91,9.915,9615,0
IRAB.US,D,20260428,000000,9.92,9.925,9.92,9.925,3920,0
IRAB.US,D,20260429,000000,10.02,10.02,9.93,9.93,10940,0
IRAB.US,D,20260504,000000,10.02,10.02,10.02,10.02,120,0
IRAB.US,D,20260511,000000,10.05,10.05,9.91,9.91,221,0
IRAB.US,D,20260513,000000,9.895,9.895,9.895,9.895,114,0
IRAB.US,D,20260514,000000,9.88,9.89,9.88,9.89,50133,0
IRAB.US,D,20260515,000000,9.92,9.92,9.92,9.92,114,0
IRAB.US,D,20260519,000000,9.86,9.86,9.86,9.86,119,0
IRAB.US,D,20260522,000000,9.92,9.92,9.92,9.92,109,0
IRAB.US,D,20260526,000000,9.86,9.86,9.86,9.86,173,0
IRAB.US,D,20260527,000000,9.92,9.92,9.92,9.92,143,0
IRAB.US,D,20260528,000000,9.92,9.92,9.92,9.92,179,0
IRAB.US,D,20260529,000000,9.92,9.93,9.92,9.93,17812,0
IRAB.US,D,20260601,000000,10.05,10.05,10.05,10.05,113,0
IRAB.US,D,20260603,000000,9.92,9.93,9.92,9.92,5403,0
IRAB.US,D,20260611,000000,9.92,9.92,9.92,9.92,107,0
IRAB.US,D,20260612,000000,10.07,10.07,10.07,10.07,102,0
IRAB.US,D,20260615,000000,10.07,10.07,9.94,9.95,3102,0
IRAB.US,D,20260622,000000,9.92,9.94,9.92,9.94,4702,0
IRAB.US,D,20260623,000000,9.94,9.94,9.94,9.94,47455,0
IRAB.US,D,20260624,000000,9.94,9.94,9.94,9.94,10093,0
