<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JAN.US,D,20260320,000000,23.5,23.96,23,23.6,15894518,0
JAN.US,D,20260323,000000,23,24.3618,22.99,23.75,3107514,0
JAN.US,D,20260324,000000,23.52,24,23.32,23.75,1481949,0
JAN.US,D,20260325,000000,23.72,24,23.43,23.64,1567082,0
JAN.US,D,20260326,000000,23.38,23.95,23.22,23.44,5062017,0
JAN.US,D,20260327,000000,23.18,23.58,22.81,22.88,1334848,0
JAN.US,D,20260330,000000,23.08,23.2,22.76,22.89,1251502,0
JAN.US,D,20260331,000000,22.99,23.88,22.925,23.57,1344328,0
JAN.US,D,20260401,000000,23.55,23.92,23.3,23.35,1538051,0
JAN.US,D,20260402,000000,23.1,24,23,23.89,1373431,0
JAN.US,D,20260406,000000,24,24,23.28,23.35,725480,0
JAN.US,D,20260407,000000,23.39,23.645,23.19,23.53,626762,0
JAN.US,D,20260408,000000,23.74,24,23.4,23.7,809477,0
JAN.US,D,20260409,000000,23.6,24.04,23.361,23.37,500174,0
JAN.US,D,20260410,000000,23.49,23.85,23.36,23.85,744434,0
JAN.US,D,20260413,000000,23.84,24.35,23.7,23.99,742941,0
JAN.US,D,20260414,000000,24.1,25.89,24.1,25.75,1638653,0
JAN.US,D,20260415,000000,25.96,26.14,25.14,26.14,1666037,0
JAN.US,D,20260416,000000,26.44,26.705,25.36,25.86,1149021,0
JAN.US,D,20260417,000000,26.08,26.61,25.75,25.75,808131,0
JAN.US,D,20260420,000000,25.74,26.17,25.01,25.17,450154,0
JAN.US,D,20260421,000000,25.08,25.2,24.631,24.72,717819,0
JAN.US,D,20260422,000000,24.9,25.395,23.89,24.15,1367025,0
JAN.US,D,20260423,000000,24.06,24.915,23.855,24.7,656923,0
JAN.US,D,20260424,000000,24.64,25.3,24.26,25.11,666050,0
JAN.US,D,20260427,000000,25.2,25.305,24.78,24.85,391837,0
JAN.US,D,20260428,000000,25.05,25.69,24.8,25.26,876011,0
JAN.US,D,20260429,000000,25.46,26.27,25.26,26.13,642471,0
JAN.US,D,20260430,000000,26.33,26.475,25.92,26.24,580069,0
JAN.US,D,20260501,000000,26.25,26.69,26.055,26.47,448629,0
JAN.US,D,20260504,000000,26.35,26.43,25.89,26.32,302917,0
JAN.US,D,20260505,000000,26.33,26.74,26.16,26.25,416215,0
JAN.US,D,20260506,000000,27,27.25,25.905,26.49,496190,0
JAN.US,D,20260507,000000,26.61,27.46,26.46,27.42,727863,0
JAN.US,D,20260508,000000,27.6,28.52,27.46,27.92,1421645,0
JAN.US,D,20260511,000000,28.03,28.15,27.23,27.23,547419,0
JAN.US,D,20260512,000000,27.21,27.615,26.5,27.02,789167,0
JAN.US,D,20260513,000000,26.91,27.5,26.73,27.31,487182,0
JAN.US,D,20260514,000000,27.42,27.43,26.85,27.05,292547,0
JAN.US,D,20260515,000000,27.05,27.235,26.5,26.68,478872,0
JAN.US,D,20260518,000000,26.7,27.5425,26.1913,26.6,418459,0
JAN.US,D,20260519,000000,26.4,26.78,26.0001,26.55,614146,0
JAN.US,D,20260520,000000,26.42,27.085,26.4137,26.69,339147,0
JAN.US,D,20260521,000000,26.69,26.92,26.23,26.76,517897,0
JAN.US,D,20260522,000000,26.68,26.84,26.42,26.72,441838,0
JAN.US,D,20260526,000000,26.57,27.19,26.29,26.9,382470,0
JAN.US,D,20260527,000000,26.75,27.5,26.7,27.1,308188,0
JAN.US,D,20260528,000000,26.98,27.605,26.91,27.54,411297,0
JAN.US,D,20260529,000000,27.31,27.38,26.77,26.77,593056,0
JAN.US,D,20260601,000000,25.57,26.31,25.08,26,1394991,0
JAN.US,D,20260602,000000,25.86,26.165,25.3,25.45,934566,0
JAN.US,D,20260603,000000,25.08,25.59,24.43,24.65,8952916,0
JAN.US,D,20260604,000000,24.47,24.99,24.24,24.65,2244653,0
JAN.US,D,20260605,000000,24.63,25.27,24.47,25.12,2570050,0
JAN.US,D,20260608,000000,25.35,25.56,24.82,25.02,1634992,0
JAN.US,D,20260609,000000,24.98,25.65,24.91,25.42,1455612,0
JAN.US,D,20260610,000000,25.48,25.89,25.3675,25.42,881897,0
JAN.US,D,20260611,000000,25.24,25.9,25.24,25.67,1207497,0
JAN.US,D,20260612,000000,25.52,25.86,25.03,25.73,982538,0
JAN.US,D,20260615,000000,25.89,25.98,25.065,25.19,1262061,0
JAN.US,D,20260616,000000,25.2,25.66,25.17,25.37,1084404,0
JAN.US,D,20260617,000000,25.48,25.915,25.34,25.54,1319843,0
JAN.US,D,20260618,000000,25.83,26.35,25.325,26.22,7374670,0
JAN.US,D,20260622,000000,26.18,26.5,25.8,26.31,1278277,0
JAN.US,D,20260623,000000,26.27,27.09,26.27,27.04,1296507,0
JAN.US,D,20260624,000000,27.52,28.78,27.1,28.58,2714465,0
