<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBFR.US,D,20260224,000000,24.9,25.03,24.9,24.9658,21890,0
KBFR.US,D,20260225,000000,24.9591,25.08,24.905,25.0444,11453,0
KBFR.US,D,20260226,000000,25.12,25.17,24.99,25.167,3635,0
KBFR.US,D,20260227,000000,24.94,25,24.89,24.985,11698,0
KBFR.US,D,20260302,000000,24.88,25.13,24.85,25.1063,6976,0
KBFR.US,D,20260303,000000,24.979,24.979,24.71,24.9236,140,0
KBFR.US,D,20260304,000000,25.12,25.16,25.0852,25.0852,1085,0
KBFR.US,D,20260305,000000,24.97,24.97,24.67,24.8311,2243,0
KBFR.US,D,20260309,000000,24.555,24.76,24.555,24.585,3660,0
KBFR.US,D,20260310,000000,24.5,24.75,24.48,24.4902,5985,0
KBFR.US,D,20260311,000000,24.42,24.51,24.36,24.5008,3302,0
KBFR.US,D,20260312,000000,24.319,24.32,24.1893,24.1893,11536,0
KBFR.US,D,20260313,000000,24.17,24.3,24.1577,24.1577,1804,0
KBFR.US,D,20260316,000000,24.43,24.43,24.31,24.3304,2694,0
KBFR.US,D,20260317,000000,24.48,24.51,24.4681,24.4681,5706,0
KBFR.US,D,20260318,000000,24.41,24.41,24.2965,24.2965,3679,0
KBFR.US,D,20260319,000000,24.215,24.39,24.215,24.3414,1926,0
KBFR.US,D,20260320,000000,24.245,24.245,24.06,24.1141,2902,0
KBFR.US,D,20260323,000000,24.39,24.52,24.39,24.4448,3520,0
KBFR.US,D,20260325,000000,24.61,24.61,24.5751,24.5751,741,0
KBFR.US,D,20260326,000000,24.63,24.63,24.5676,24.5676,365,0
KBFR.US,D,20260327,000000,24.47,24.489,24.3396,24.3838,2551,0
KBFR.US,D,20260330,000000,24.46,24.47,24.34,24.3542,37496,0
KBFR.US,D,20260331,000000,24.55,24.64,24.52,24.5945,6471,0
KBFR.US,D,20260401,000000,24.77,24.77,24.6901,24.6901,9168,0
KBFR.US,D,20260402,000000,24.745,24.8244,24.745,24.8244,488,0
KBFR.US,D,20260406,000000,24.85,25.12,24.85,24.9703,44903,0
KBFR.US,D,20260407,000000,24.85,24.9539,24.85,24.9539,22909,0
KBFR.US,D,20260409,000000,25.14,25.2999,25.14,25.2695,16192,0
KBFR.US,D,20260410,000000,25.175,25.1762,25.175,25.1762,229,0
KBFR.US,D,20260413,000000,25.25,25.27,25.25,25.2569,991,0
KBFR.US,D,20260414,000000,25.25,25.26,25.215,25.2191,1834,0
KBFR.US,D,20260415,000000,25.28,25.31,25.235,25.285,9684,0
KBFR.US,D,20260416,000000,25.34,25.391,25.34,25.391,1192,0
KBFR.US,D,20260417,000000,25.46,25.54,25.4457,25.4457,1464,0
KBFR.US,D,20260420,000000,25.53,25.5399,25.5,25.5001,2527,0
KBFR.US,D,20260421,000000,25.6,25.73,25.53,25.535,3461,0
KBFR.US,D,20260422,000000,25.6,25.6,25.4513,25.4513,900,0
KBFR.US,D,20260423,000000,25.335,25.38,25.2872,25.2872,351,0
KBFR.US,D,20260424,000000,25.32,25.4,25.32,25.3963,71798,0
KBFR.US,D,20260427,000000,25.5,25.52,25.4647,25.4647,2631,0
KBFR.US,D,20260428,000000,25.47,25.47,25.3984,25.3984,1346,0
KBFR.US,D,20260429,000000,25.16,25.23,25.07,25.1663,5174,0
