<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KMCA.US,D,20260507,000000,22.62,22.73,22.1413,22.1413,15034,0
KMCA.US,D,20260508,000000,22.61,23.15,22.61,23.1141,24770,0
KMCA.US,D,20260511,000000,23.11,23.17,22.85,23.1596,5297,0
KMCA.US,D,20260512,000000,23.55,23.55,21.085,21.407,12390,0
KMCA.US,D,20260513,000000,22.33,22.61,21.98,22.57,50001,0
KMCA.US,D,20260514,000000,22.11,22.29,22.11,22.2593,1205,0
KMCA.US,D,20260515,000000,20.84,21.1158,20.76,20.9667,11720,0
KMCA.US,D,20260518,000000,21.2,21.805,20.2,20.75,43023,0
KMCA.US,D,20260519,000000,19.39,20.27,19.25,19.946,1628,0
KMCA.US,D,20260520,000000,19.94,20.4731,19.94,20.4731,1146,0
KMCA.US,D,20260521,000000,20.96,21.39,20.96,21.355,1340,0
KMCA.US,D,20260522,000000,21.81,21.81,21.4215,21.4215,1577,0
KMCA.US,D,20260526,000000,23.16,23.81,23.16,23.8,24155,0
KMCA.US,D,20260527,000000,23.13,23.13,22.5,22.83,7877,0
KMCA.US,D,20260528,000000,22.83,23.6469,22.73,23.6469,7221,0
KMCA.US,D,20260529,000000,23.685,23.99,23.685,23.6965,4026,0
KMCA.US,D,20260601,000000,23.87,24.45,23.585,24.3168,5326,0
KMCA.US,D,20260602,000000,22.93,23.205,22.83,23.2029,12818,0
KMCA.US,D,20260603,000000,22,22.9084,22,22.9084,2739,0
KMCA.US,D,20260604,000000,21.78,22.45,21.48,22.34,33424,0
KMCA.US,D,20260605,000000,21.01,21.01,19.55,19.5532,8357,0
KMCA.US,D,20260608,000000,20.4,20.65,20.15,20.5053,26709,0
KMCA.US,D,20260609,000000,21.17,21.1845,20,20.3261,4112,0
KMCA.US,D,20260610,000000,20.53,20.98,20.0963,20.0963,2214,0
KMCA.US,D,20260611,000000,21.02,22.3801,21,22.3801,9524,0
KMCA.US,D,20260612,000000,22.07,22.87,22.04,22.7372,28871,0
KMCA.US,D,20260615,000000,23.845,24.3,23.53,24.3,66134,0
KMCA.US,D,20260616,000000,23.9,23.9,23.293,23.293,4980,0
KMCA.US,D,20260617,000000,23.67,23.67,23.0893,23.0893,3627,0
KMCA.US,D,20260618,000000,23.51,24.08,23.51,24.0377,3748,0
KMCA.US,D,20260622,000000,23.5,23.65,23.5,23.6172,2934,0
KMCA.US,D,20260623,000000,20.87,21.38,20.72,20.8578,5747,0
KMCA.US,D,20260624,000000,20.47,20.47,20.47,20.47,5563,0
