<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LABX.US,D,20250812,000000,79.53,87.42,78.15,85.35,29790.3,0
LABX.US,D,20250813,000000,87.24,92.4666,82.05,87,26548.9,0
LABX.US,D,20250814,000000,81,85.8,80.31,84.21,15523.9,0
LABX.US,D,20250815,000000,80.2677,81.63,77.37,80.4,12651.9,0
LABX.US,D,20250818,000000,78.09,80.805,72.81,80.67,10762.3,0
LABX.US,D,20250819,000000,79.08,79.08,66.6,66.81,14773.9,0
LABX.US,D,20250820,000000,64.47,68.4498,59.433,68.4498,30574.6,0
LABX.US,D,20250821,000000,68.1,74.61,67.95,72.15,25660.3,0
LABX.US,D,20250822,000000,70.5963,78.7314,69.72,73.6062,24606.6,0
LABX.US,D,20250825,000000,72,72.9,67.86,69.345,10194.9,0
LABX.US,D,20250826,000000,71.22,74.64,69.75,72.75,17718.3,0
LABX.US,D,20250827,000000,76.71,77.31,71.1,73.35,24292.3,0
LABX.US,D,20250828,000000,75.75,83.07,75.75,81.8193,92334.3,0
LABX.US,D,20250829,000000,81,81,72.63,75.3,41043.9,0
LABX.US,D,20250902,000000,70.65,74.37,63.54,68.76,46721.9,0
LABX.US,D,20250903,000000,69.33,73.26,67.635,70.35,13797.3,0
LABX.US,D,20250904,000000,72.6,79.7097,69.03,79.65,66374.9,0
LABX.US,D,20250905,000000,84.48,87.6,76.38,82.35,91565.9,0
LABX.US,D,20250908,000000,87.63,107.88,87.63,103.35,101461,0
LABX.US,D,20250909,000000,101.37,105.51,96.81,101.91,34703.6,0
LABX.US,D,20250910,000000,112.35,117.75,104.7,117.75,32572.3,0
LABX.US,D,20250911,000000,121.107,124.95,115.59,120.078,57444.9,0
LABX.US,D,20250912,000000,120.54,122.074,112.012,115.56,17462.3,0
LABX.US,D,20250915,000000,115.02,122.7,114,118.77,24450.3,0
LABX.US,D,20250916,000000,120.33,128.07,119.49,125.31,28291.9,0
LABX.US,D,20250917,000000,131.67,139.83,124.338,136.74,39341.9,0
LABX.US,D,20250918,000000,145.17,152.19,132,138.63,59317.6,0
LABX.US,D,20250919,000000,131.19,136.387,117.03,131.85,102326,0
LABX.US,D,20250922,000000,126.525,129.71,117.96,123.12,92971.6,0
LABX.US,D,20250923,000000,122.4,123,105.3,116.31,127387,0
LABX.US,D,20250924,000000,97.59,99,81.9,90.51,231407,0
LABX.US,D,20250925,000000,79.8,90.99,79.5,87.48,121888,0
LABX.US,D,20250926,000000,87.54,87.87,80.55,83.97,78993.6,0
LABX.US,D,20250929,000000,93.045,93.84,84.6342,85.65,99687.3,0
LABX.US,D,20250930,000000,87.39,90.78,76.995,82.71,114026,0
LABX.US,D,20251001,000000,78.27,82.41,74.7,80.85,82201.6,0
LABX.US,D,20251002,000000,86.1,95.55,84.3024,94.44,195217,0
LABX.US,D,20251003,000000,97.5165,97.56,84,86.58,118694,0
LABX.US,D,20251006,000000,109.83,112.47,100.17,103.47,239952,0
LABX.US,D,20251007,000000,103.98,105.75,89.1,94.53,177347,0
LABX.US,D,20251008,000000,96.87,101.55,94.5,100.98,53902.6,0
LABX.US,D,20251009,000000,104.25,110.88,101.25,107.73,85893.6,0
LABX.US,D,20251010,000000,108.03,111,86.94,88.41,146261,0
LABX.US,D,20251013,000000,96.21,96.45,79.98,82.95,150418,0
LABX.US,D,20251014,000000,69.15,70.23,50.25,51.3819,686545,0
LABX.US,D,20251015,000000,57,57.03,49.2363,51.33,232118,0
LABX.US,D,20251016,000000,52.44,54.9,50.16,52.38,185778,0
LABX.US,D,20251017,000000,50.1,50.16,46.7103,49.98,107474,0
LABX.US,D,20251020,000000,47.67,49.8,46.05,47.64,132561,0
LABX.US,D,20251021,000000,46.512,50.7684,44.16,48.45,204269,0
LABX.US,D,20251022,000000,46.41,48.96,42.96,46.65,167245,0
LABX.US,D,20251023,000000,46.9425,53.715,46.9425,52.08,235920,0
LABX.US,D,20251024,000000,54.96,56.25,52.77,52.83,175858,0
LABX.US,D,20251027,000000,57.0075,58.62,54.9105,56.34,131135,0
LABX.US,D,20251028,000000,57.87,59.4,54,55.17,118255,0
LABX.US,D,20251029,000000,56.94,59.64,55.65,58.35,153799,0
LABX.US,D,20251030,000000,54.6,59.82,54.45,55.6941,149464,0
LABX.US,D,20251031,000000,63.33,76.8,63.3,67.08,522877,0
LABX.US,D,20251103,000000,70.35,75.18,67.74,70.74,206748,0
LABX.US,D,20251104,000000,63.66,72,61.83,62.28,300640,0
LABX.US,D,20251105,000000,64.35,69.45,57,62.97,352510,0
LABX.US,D,20251106,000000,62.64,64.425,49.8,50.1,264851,0
LABX.US,D,20251107,000000,46.68,51.6876,43.08,51.51,173139,0
LABX.US,D,20251110,000000,56.37,58.56,53.0403,56.85,145169,0
LABX.US,D,20251111,000000,54.585,57,52.11,52.65,65169.9,0
LABX.US,D,20251112,000000,52.26,52.26,43.5,46.5,144503,0
LABX.US,D,20251113,000000,44.94,44.97,34.83,38.7,260834,0
LABX.US,D,20251114,000000,35.52,42.3732,34.59,38.61,126713,0
LABX.US,D,20251117,000000,39.135,40.05,34.98,36.87,98014.3,0
LABX.US,D,20251118,000000,35.31,38.31,34.74,35.985,100454,0
LABX.US,D,20251119,000000,35.76,38.49,35.13,37.29,67745.9,0
LABX.US,D,20251120,000000,43.86,47.13,35.1,35.7,411389,0
LABX.US,D,20251121,000000,35.58,38.19,31.74,37.23,166176,0
LABX.US,D,20251124,000000,38.91,42.0789,38.85,40.32,104113,0
LABX.US,D,20251125,000000,37.23,38.9064,34.2,38.67,119957,0
LABX.US,D,20251126,000000,39.36,44.9214,38.2815,43.44,177050,0
LABX.US,D,20251128,000000,45.24,45.8697,42.5838,45.57,76752.9,0
LABX.US,D,20251201,000000,43.83,54.36,42.84,49.89,176111,0
LABX.US,D,20251202,000000,55.5003,55.6722,36.03,36.57,451415,0
LABX.US,D,20251203,000000,40.4169,41.7,37.44,41.19,235941,0
LABX.US,D,20251204,000000,40.05,41.97,38.4,41.19,177684,0
LABX.US,D,20251205,000000,42.39,46.872,42.09,46.05,265545,0
LABX.US,D,20251208,000000,46.68,54.69,46.2,54.21,315759,0
LABX.US,D,20251209,000000,47.25,51.6,46.35,48.9,196054,0
LABX.US,D,20251210,000000,48.495,48.75,46.1703,47.16,107394,0
LABX.US,D,20251211,000000,45.36,52.7697,40.86,52.53,198252,0
LABX.US,D,20251212,000000,51.87,52.0797,36.4488,37.05,631695,0
LABX.US,D,20251215,000000,38.52,39.27,34.68,34.8,241682,0
LABX.US,D,20251216,000000,33.663,36.66,33.42,35.25,159226,0
LABX.US,D,20251217,000000,37.89,39.24,33.18,33.36,252094,0
LABX.US,D,20251218,000000,35.55,37.2,34.92,35.94,152988,0
LABX.US,D,20251219,000000,36.21,46.02,36.18,44.97,316734,0
LABX.US,D,20251222,000000,46.2,50.88,46.2,48.45,262289,0
LABX.US,D,20251223,000000,45.93,48.93,44.79,47.13,119994,0
LABX.US,D,20251224,000000,47.31,49.0566,46.5,47.91,61196.9,0
LABX.US,D,20251226,000000,48.96,49.47,45.66,46.14,93593.9,0
