<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LCLN.US,D,20260520,000000,22.51,23,22.24,22.52,8740638,0
LCLN.US,D,20260521,000000,22.47,24.08,22.3,23.05,2057218,0
LCLN.US,D,20260522,000000,23.39,24.09,23.01,24.06,642128,0
LCLN.US,D,20260526,000000,24.18,24.22,23.01,23.5,925862,0
LCLN.US,D,20260527,000000,23.28,23.37,22,22.74,642865,0
LCLN.US,D,20260528,000000,22.68,23.64,22.17,23.53,359113,0
LCLN.US,D,20260529,000000,23.56,23.56,22.3,22.82,568131,0
LCLN.US,D,20260601,000000,22.99,24.605,22.6,24.41,670469,0
LCLN.US,D,20260602,000000,24.17,24.9,23.0401,24.49,414226,0
LCLN.US,D,20260603,000000,24.25,24.6657,23.31,23.34,370439,0
LCLN.US,D,20260604,000000,23.32,24.06,23.05,23.57,197039,0
LCLN.US,D,20260605,000000,23.22,23.325,22.08,22.16,179263,0
LCLN.US,D,20260608,000000,22.45,23.63,22.45,23.24,309932,0
LCLN.US,D,20260609,000000,23.47,24.05,23.18,23.57,354357,0
LCLN.US,D,20260610,000000,23.8,24,23.3095,23.93,174242,0
LCLN.US,D,20260611,000000,24.17,24.76,23.4501,24.47,241667,0
LCLN.US,D,20260612,000000,24.45,25.3,23.47,24.84,449847,0
LCLN.US,D,20260615,000000,24.22,25.235,22.81,23.32,396688,0
LCLN.US,D,20260616,000000,23.45,24.305,23.035,23.37,184716,0
LCLN.US,D,20260617,000000,23.12,24.29,23.12,23.7,196142,0
LCLN.US,D,20260618,000000,24.33,24.63,23.35,23.74,191507,0
LCLN.US,D,20260622,000000,23.99,24.15,23.14,23.88,150207,0
LCLN.US,D,20260623,000000,23.88,24.63,23.34,23.56,185863,0
LCLN.US,D,20260624,000000,23.81,23.81,22.54,23.02,194478,0
