<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MAIR.US,D,20260416,000000,32,32.5,31,31.75,36831107,0
MAIR.US,D,20260417,000000,31.28,33,31,32.45,11235601,0
MAIR.US,D,20260420,000000,32,34.01,32,33.66,7363552,0
MAIR.US,D,20260421,000000,34,34.75,33.65,33.8,4658113,0
MAIR.US,D,20260422,000000,34.07,34.91,34.07,34.64,10322753,0
MAIR.US,D,20260423,000000,34.7,35.04,33.675,34.24,10733492,0
MAIR.US,D,20260424,000000,34,34.4799,33.83,33.83,1624423,0
MAIR.US,D,20260427,000000,33.8,34.8,33.66,34.57,1291898,0
MAIR.US,D,20260428,000000,34.4,34.61,33.21,34.6,1912147,0
MAIR.US,D,20260429,000000,34.8,36,34.26,36,2159138,0
MAIR.US,D,20260430,000000,36.16,38.31,36.1366,38.18,2537705,0
MAIR.US,D,20260501,000000,38.55,40.6999,37.94,40.17,2698864,0
MAIR.US,D,20260504,000000,40.54,40.56,37.85,39.38,2078313,0
MAIR.US,D,20260505,000000,39.15,39.95,37.9,39.55,1735550,0
MAIR.US,D,20260506,000000,39.58,40.5,38.11,39.62,1413995,0
MAIR.US,D,20260507,000000,40.67,42.34,40.51,42.2,2375997,0
MAIR.US,D,20260508,000000,42.5,42.82,41.07,42.02,1219735,0
MAIR.US,D,20260511,000000,44,44.2499,40.438,42.08,2814537,0
MAIR.US,D,20260512,000000,43.05,43.23,38.75,41.07,3216271,0
MAIR.US,D,20260513,000000,40.98,42.83,40.1501,42.5,3369386,0
MAIR.US,D,20260514,000000,42.5,42.8199,41.31,42.51,2105193,0
MAIR.US,D,20260515,000000,42,42.2999,40.699,41,1764403,0
MAIR.US,D,20260518,000000,40.99,42.03,37.31,38.36,1687042,0
MAIR.US,D,20260519,000000,37.81,39.42,37.2,38.57,1351558,0
MAIR.US,D,20260520,000000,39,39.02,37.198,37.23,1154466,0
MAIR.US,D,20260521,000000,37,39.03,36.48,38.77,1419521,0
MAIR.US,D,20260522,000000,38.86,40.79,38.595,40.04,1145502,0
MAIR.US,D,20260526,000000,40.64,43.19,40.25,42.84,1192469,0
MAIR.US,D,20260527,000000,42.84,42.84,40.9,42.19,909035,0
MAIR.US,D,20260528,000000,42.18,43.47,41.46,42.23,1414612,0
MAIR.US,D,20260529,000000,42.17,43.94,41.78,43.47,953684,0
MAIR.US,D,20260601,000000,43.45,44.17,42.21,43.86,1028642,0
MAIR.US,D,20260602,000000,43.88,44.5,42.76,43.11,1083674,0
MAIR.US,D,20260603,000000,43.03,43.89,42.35,43.56,524346,0
MAIR.US,D,20260604,000000,43.5,44.15,42.81,43.4,1563997,0
MAIR.US,D,20260605,000000,42.82,42.82,39.14,40.14,1169347,0
MAIR.US,D,20260608,000000,40.77,40.94,39.31,39.59,986074,0
MAIR.US,D,20260609,000000,39.49,40.815,38.33,40.56,1081762,0
MAIR.US,D,20260610,000000,40.4,40.64,37.36,37.41,985097,0
MAIR.US,D,20260611,000000,38.14,40.53,37.2397,40.26,1393305,0
MAIR.US,D,20260612,000000,40.46,40.525,38.95,39.02,949204,0
MAIR.US,D,20260615,000000,40.41,41.105,38.89,38.9,1408187,0
MAIR.US,D,20260616,000000,38.84,39.76,38.13,38.15,1179349,0
MAIR.US,D,20260617,000000,38.09,39.205,37.38,37.44,1216228,0
MAIR.US,D,20260618,000000,37.79,39,37.77,38.13,1807606,0
MAIR.US,D,20260622,000000,38.12,39.087,37.67,38.56,953798,0
MAIR.US,D,20260623,000000,37.74,38.91,37.64,38.06,698813,0
MAIR.US,D,20260624,000000,38.27,40.48,38.27,39.4,1315341,0
