<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCVT.US,D,20260325,000000,25.1,25.16,25.025,25.025,103667,0
MCVT.US,D,20260326,000000,25,25.02,25,25.02,759,0
MCVT.US,D,20260327,000000,24.75,24.75,24.6236,24.6236,11113,0
MCVT.US,D,20260330,000000,24.67,24.67,24.41,24.4159,12326,0
MCVT.US,D,20260331,000000,24.57,24.945,24.57,24.9116,82761,0
MCVT.US,D,20260401,000000,25.09,25.1311,25.04,25.1311,26672,0
MCVT.US,D,20260402,000000,25.19,25.19,25.03,25.0639,12116,0
MCVT.US,D,20260406,000000,25.14,25.1526,25.14,25.1526,10054,0
MCVT.US,D,20260407,000000,25.02,25.1997,25.02,25.1997,388,0
MCVT.US,D,20260408,000000,25.64,25.7,25.6075,25.6075,2092,0
MCVT.US,D,20260410,000000,25.69,25.73,25.63,25.6332,3706,0
MCVT.US,D,20260414,000000,26.07,26.17,26.07,26.1291,1213,0
MCVT.US,D,20260415,000000,26.13,26.1346,26.05,26.1346,3800,0
MCVT.US,D,20260416,000000,26.099,26.1175,26.035,26.1175,18543,0
MCVT.US,D,20260417,000000,26.44,26.51,26.4095,26.4095,4490,0
MCVT.US,D,20260420,000000,26.54,26.62,26.5359,26.5359,11166,0
MCVT.US,D,20260421,000000,26.63,26.63,26.4412,26.4412,603,0
MCVT.US,D,20260422,000000,26.41,26.46,26.39,26.4257,5367,0
MCVT.US,D,20260423,000000,26.47,26.48,26.26,26.3036,19993,0
MCVT.US,D,20260424,000000,26.42,26.5,26.32,26.4902,4078,0
MCVT.US,D,20260427,000000,26.58,26.58,26.5067,26.5067,312,0
MCVT.US,D,20260428,000000,26.51,26.51,26.0672,26.0672,2711,0
MCVT.US,D,20260429,000000,26,26.06,26,26.0013,4019,0
MCVT.US,D,20260430,000000,26.13,26.36,26.13,26.35,26072,0
MCVT.US,D,20260501,000000,26.3,26.44,26.3,26.3677,1488,0
MCVT.US,D,20260504,000000,26.31,26.52,26.31,26.4085,21844,0
MCVT.US,D,20260505,000000,26.4,26.51,26.4,26.4593,1729,0
MCVT.US,D,20260506,000000,26.56,26.71,26.56,26.6687,22555,0
MCVT.US,D,20260507,000000,26.58,26.58,26.5,26.5613,2002,0
MCVT.US,D,20260508,000000,26.77,26.78,26.68,26.7548,10891,0
MCVT.US,D,20260511,000000,26.79,26.79,26.6376,26.6376,13683,0
MCVT.US,D,20260512,000000,26.48,26.5169,26.25,26.5169,1820,0
MCVT.US,D,20260513,000000,26.83,26.83,26.7037,26.7037,958,0
MCVT.US,D,20260514,000000,26.7,26.7828,26.63,26.7828,5908,0
MCVT.US,D,20260515,000000,26.51,26.58,26.4703,26.4703,1203,0
MCVT.US,D,20260518,000000,26.49,26.49,26.3927,26.3927,400,0
MCVT.US,D,20260519,000000,26.28,26.28,26.2369,26.2369,1237,0
MCVT.US,D,20260520,000000,26.44,26.6281,26.4216,26.6281,1840,0
MCVT.US,D,20260521,000000,26.65,26.6888,26.65,26.6888,4952,0
MCVT.US,D,20260526,000000,27.2,27.2333,27.2,27.2333,16428,0
MCVT.US,D,20260527,000000,27.19,27.2,27.13,27.1417,9427,0
MCVT.US,D,20260528,000000,27.21,27.4,27.13,27.3411,19952,0
MCVT.US,D,20260529,000000,27.35,27.35,27.29,27.2956,8981,0
MCVT.US,D,20260601,000000,27.35,27.35,27.2912,27.2912,16101,0
MCVT.US,D,20260602,000000,27.4,27.4,27.3672,27.3672,4836,0
MCVT.US,D,20260604,000000,27.35,27.41,27.35,27.3559,12380,0
MCVT.US,D,20260605,000000,27.22,27.22,26.98,27.0102,4903,0
MCVT.US,D,20260608,000000,27.2,27.2,27.0647,27.0647,18224,0
MCVT.US,D,20260609,000000,26.91,27.1268,26.8899,27.1268,10058,0
MCVT.US,D,20260610,000000,27.2,27.2,27.0058,27.0058,8432,0
MCVT.US,D,20260611,000000,27.2,27.4665,27.2,27.4665,16002,0
MCVT.US,D,20260612,000000,27.5,27.602,27.5,27.602,115,0
MCVT.US,D,20260615,000000,27.82,27.82,27.73,27.7745,9210,0
MCVT.US,D,20260616,000000,27.87,27.88,27.76,27.7845,14352,0
MCVT.US,D,20260617,000000,27.68,27.9,27.609,27.609,16648,0
MCVT.US,D,20260618,000000,27.79,27.88,27.75,27.8753,31556,0
MCVT.US,D,20260622,000000,27.92,27.98,27.92,27.9467,5214,0
MCVT.US,D,20260623,000000,27.8,27.88,27.74,27.7789,1209,0
MCVT.US,D,20260624,000000,27.82,28.01,27.82,27.95,20514,0
