<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRNX.US,D,20260204,000000,20.61,20.87,20.3753,20.3753,2683,0
MRNX.US,D,20260205,000000,21.07,21.07,17.98,18.3669,15483,0
MRNX.US,D,20260206,000000,18.44,18.738,17.95,18.738,18006,0
MRNX.US,D,20260209,000000,18.695,19.655,17.99,19.6119,12520,0
MRNX.US,D,20260210,000000,19.9939,22.97,19.43,19.5521,58715,0
MRNX.US,D,20260211,000000,15.4,18.35,14.95,18.1929,60062,0
MRNX.US,D,20260212,000000,17.5926,18.3599,16.94,17.77,25864,0
MRNX.US,D,20260213,000000,19.87,21.855,19.11,19.6807,38099,0
MRNX.US,D,20260217,000000,21,22.3,19.54,21.2692,23042,0
MRNX.US,D,20260218,000000,21.97,26.01,21.97,23.8543,15371,0
MRNX.US,D,20260219,000000,24.23,27.73,23.19,27.0295,23726,0
MRNX.US,D,20260220,000000,26.21,27.87,25.38,27.1442,14839,0
MRNX.US,D,20260223,000000,26.88,31.61,26.88,27.6498,19000,0
MRNX.US,D,20260224,000000,29,29,27.595,27.8147,4809,0
MRNX.US,D,20260225,000000,29.59,31.29,28.7456,28.7456,5800,0
MRNX.US,D,20260226,000000,29,30.12,27.98,29.0302,20351,0
MRNX.US,D,20260227,000000,28.99,31.0458,28.78,31.0458,3623,0
MRNX.US,D,20260302,000000,28.97,32.7,28.94,30.2453,9633,0
MRNX.US,D,20260303,000000,27.405,28.47,25,26.8106,14190,0
MRNX.US,D,20260304,000000,30.116,37.08,30.116,35.4537,29192,0
MRNX.US,D,20260305,000000,35.99,39.535,28.66,30.5433,22550,0
MRNX.US,D,20260306,000000,27.16,29.27,25.27,28.8974,18635,0
MRNX.US,D,20260309,000000,31.83,33.1201,28.46,32.2331,21459,0
MRNX.US,D,20260310,000000,30.4116,32.09,30.1345,31.6117,7814,0
MRNX.US,D,20260311,000000,32.324,34.78,31.98,32.8579,15036,0
MRNX.US,D,20260312,000000,31.75,31.75,29.55,29.6867,4512,0
MRNX.US,D,20260313,000000,29.46,29.46,27.86005,28.748,7882,0
MRNX.US,D,20260316,000000,30.12,30.12,27.765,29.5055,3649,0
MRNX.US,D,20260317,000000,29.99,32.98,29.99,30.3813,7319,0
MRNX.US,D,20260318,000000,28.35,28.5061,28,28.5061,3233,0
MRNX.US,D,20260319,000000,28.37,28.4346,28.16,28.4346,1289,0
MRNX.US,D,20260320,000000,28.42,28.42,26.64,27.2054,3266,0
MRNX.US,D,20260323,000000,27.91,27.91,26.88,27.2644,1592,0
MRNX.US,D,20260324,000000,28.445,28.445,27.195,27.195,806,0
MRNX.US,D,20260325,000000,29.27,29.68,28.79,29.4622,1303,0
MRNX.US,D,20260326,000000,29.57,29.95,28.45,29.6374,5020,0
MRNX.US,D,20260327,000000,28.46,31.92,25.1395,25.1395,4180,0
MRNX.US,D,20260330,000000,25.11,25.11,23.31,23.7913,3009,0
MRNX.US,D,20260331,000000,24.63,26.5901,24.45,26.2923,3493,0
MRNX.US,D,20260401,000000,26.49,26.49,25.2261,25.4343,1030,0
MRNX.US,D,20260402,000000,24.07,25.4,23.99,24.4499,1602,0
MRNX.US,D,20260406,000000,24.02,24.0837,24.02,24.0837,869,0
MRNX.US,D,20260407,000000,23.38,25.457,23.38,25.457,2191,0
MRNX.US,D,20260408,000000,26.32,27.4049,26.32,27.4049,1120,0
MRNX.US,D,20260409,000000,27.06,27.06,26.6018,26.6018,652,0
MRNX.US,D,20260410,000000,25.95,26.29,25.95,26.29,2356,0
MRNX.US,D,20260413,000000,26.56,27.99,25.73,25.8922,2633,0
MRNX.US,D,20260414,000000,25.81,28.19,25.81,27.9796,3339,0
MRNX.US,D,20260415,000000,29.2,29.5488,28.5201,29.5488,4224,0
MRNX.US,D,20260416,000000,30.31,30.31,28.36,29.9895,6760,0
MRNX.US,D,20260417,000000,29.365,30.83,28.8214,28.8214,8590,0
MRNX.US,D,20260420,000000,29.67,30.415,29.26,29.7528,18560,0
MRNX.US,D,20260421,000000,31.02,31.2,29.47,29.47,3969,0
MRNX.US,D,20260422,000000,30.5,30.6571,29.84,30.6571,5385,0
MRNX.US,D,20260423,000000,31.07,31.07,27.63,27.8458,19621,0
MRNX.US,D,20260424,000000,26.23,26.8252,25.5703,25.5703,2108,0
MRNX.US,D,20260427,000000,24.15,24.15,23.4195,23.4195,1988,0
MRNX.US,D,20260428,000000,22.1601,22.1601,21.7,21.9147,1965,0
MRNX.US,D,20260429,000000,21.38,21.38,19.541,20.5451,3025,0
MRNX.US,D,20260430,000000,21.83,22.308,20.7722,20.7722,3060,0
MRNX.US,D,20260501,000000,22.12,22.12,18.77,20.2306,33011,0
MRNX.US,D,20260504,000000,21.06,22.42,21.02,21.8261,11739,0
MRNX.US,D,20260505,000000,22.205,22.235,20.595,21.3552,20821,0
MRNX.US,D,20260506,000000,22.1,23.57,22.1,23.3501,9692,0
MRNX.US,D,20260507,000000,26.36,28,22.35,23.21,86393,0
MRNX.US,D,20260508,000000,23.91,31.71,23.91,28.3619,103731,0
MRNX.US,D,20260511,000000,32.59,34.7799,24.66,26.8,188118,0
MRNX.US,D,20260512,000000,25.89,28.6,25.89,27.3383,53654,0
MRNX.US,D,20260513,000000,26.08,26.08,24,24.3242,40836,0
MRNX.US,D,20260514,000000,23.41,24.64,22.8501,24.06,57592,0
MRNX.US,D,20260515,000000,22.88,23.105,21.99,22.9071,56610,0
MRNX.US,D,20260518,000000,23.655,23.88,21.75,22.2109,25825,0
MRNX.US,D,20260519,000000,21.04,21.04,19.9199,19.9199,13992,0
MRNX.US,D,20260520,000000,20.61,22.47,20.61,22.0382,14519,0
MRNX.US,D,20260521,000000,21.5,21.71,20.62,21.292,13072,0
MRNX.US,D,20260522,000000,21.53,21.655,20.8,20.805,18846,0
MRNX.US,D,20260526,000000,21.28,22.1679,20.16,20.82,36232,0
MRNX.US,D,20260527,000000,21.47,22.65,21.4342,21.4342,30507,0
MRNX.US,D,20260528,000000,20.61,21.3665,19.9,21.3665,13814,0
MRNX.US,D,20260529,000000,20.78,22.6,20.78,21.0089,11385,0
MRNX.US,D,20260601,000000,20.85,20.85,18.475,19.9767,22775,0
MRNX.US,D,20260602,000000,19,19.7499,18.35,19.6528,18075,0
MRNX.US,D,20260603,000000,19.9592,22.89,19.9592,22.1765,50871,0
MRNX.US,D,20260604,000000,23.47,25.1,23.069,24.6055,32022,0
MRNX.US,D,20260605,000000,23.82,24,19.81,20.8186,26726,0
MRNX.US,D,20260608,000000,20.53,21.515,20.17,20.86,27011,0
MRNX.US,D,20260609,000000,20.7,21.11,19.17,21.11,11954,0
MRNX.US,D,20260610,000000,20.56,21.61,19.27,19.5,3229,0
MRNX.US,D,20260611,000000,19.9,22.67,19.9,22.52,11393,0
MRNX.US,D,20260612,000000,23.38,24.2,22.7,22.7,10285,0
MRNX.US,D,20260615,000000,24.5,24.838,23.08,24.8167,13609,0
MRNX.US,D,20260616,000000,25.49,30.1008,20.39,28.6713,46565,0
MRNX.US,D,20260617,000000,27.01,36.055,27.01,34.11,31170,0
MRNX.US,D,20260618,000000,37.03,44.9499,32,36.565,65507,0
MRNX.US,D,20260622,000000,36.5,37.26,29.31,31.4256,64893,0
MRNX.US,D,20260623,000000,29.64,36.2,29.64,32.862,49494,0
MRNX.US,D,20260624,000000,33.42,34.57,32,32.1299,33317,0
