<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NBIE.US,D,20260309,000000,24.45,24.45,24.45,24.45,400000,0
NBIE.US,D,20260310,000000,25.33,25.34,24.97,24.97,42260,0
NBIE.US,D,20260312,000000,24.53,24.625,24.53,24.53,8494756,0
NBIE.US,D,20260313,000000,24.5802,24.605,24.335,24.335,19223,0
NBIE.US,D,20260316,000000,24.67,24.81,24.5671,24.7434,18077,0
NBIE.US,D,20260317,000000,24.91,24.93,24.8118,24.8118,15673,0
NBIE.US,D,20260318,000000,24.58,24.6101,24.3346,24.3346,31052,0
NBIE.US,D,20260319,000000,24.034,24.285,24.0294,24.2637,15449,0
NBIE.US,D,20260320,000000,24.14,24.14,23.51,23.56,75104,0
NBIE.US,D,20260323,000000,24.19,24.3701,24.03,24.1703,21076,0
NBIE.US,D,20260324,000000,24.001,24.2,24,24.095,51532,0
NBIE.US,D,20260325,000000,24.36,24.4699,24.35,24.3921,4493,0
NBIE.US,D,20260326,000000,24.3,24.3,23.9445,23.9445,37814,0
NBIE.US,D,20260327,000000,23.92,23.98,23.71,23.78,9669,0
NBIE.US,D,20260330,000000,23.8801,23.94,23.74,23.85,6248,0
NBIE.US,D,20260331,000000,24.21,24.53,24.13,24.53,17723,0
NBIE.US,D,20260401,000000,24.86,25.005,24.84,24.87,5789,0
NBIE.US,D,20260402,000000,24.44,24.75,24.44,24.7253,63518,0
NBIE.US,D,20260406,000000,24.76,26.415,24.71,24.79,23591,0
NBIE.US,D,20260407,000000,24.53,24.79,24.53,24.79,31171,0
NBIE.US,D,20260408,000000,25.68,25.6801,25.54,25.6661,3796,0
NBIE.US,D,20260409,000000,25.425,25.705,25.42,25.65,36259,0
NBIE.US,D,20260410,000000,25.7001,25.7397,25.66,25.71,10493,0
NBIE.US,D,20260413,000000,25.61,25.8288,25.5501,25.8288,39245,0
NBIE.US,D,20260414,000000,26.01,26.03,25.94,26.02,45778,0
NBIE.US,D,20260415,000000,25.8601,25.9365,25.83,25.895,21655,0
NBIE.US,D,20260416,000000,25.821,25.8245,25.73,25.7607,18727,0
