<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NYYY.US,D,20260515,000000,47.9,48.52,47.785,47.95,1975,0
NYYY.US,D,20260518,000000,49.07,49.07,46.9,47.1777,4207,0
NYYY.US,D,20260519,000000,46.52,47.03,46.41,46.7538,1583,0
NYYY.US,D,20260520,000000,47.51,47.635,47.05,47.4019,684,0
NYYY.US,D,20260521,000000,47.31,47.31,46.51,46.5607,1077,0
NYYY.US,D,20260522,000000,46.56,46.56,45.7325,45.7325,922,0
NYYY.US,D,20260527,000000,44.91,44.9982,44.26,44.9982,393,0
NYYY.US,D,20260528,000000,45.005,45.49,44.975,45.49,609,0
NYYY.US,D,20260529,000000,45.66,45.77,44.9915,44.9915,1141,0
NYYY.US,D,20260601,000000,46.67,47.3965,46.67,47.3965,533,0
NYYY.US,D,20260602,000000,47.7,47.7001,47.0572,47.0572,486,0
NYYY.US,D,20260603,000000,46.35,46.35,45.3343,45.3343,396,0
NYYY.US,D,20260604,000000,44.84,46.1287,44.84,46.1287,601,0
NYYY.US,D,20260608,000000,44.02,44.0201,43.92,43.9551,1072,0
NYYY.US,D,20260609,000000,43.08,43.7791,43.08,43.7791,275,0
NYYY.US,D,20260610,000000,43.25,43.25,42.3009,42.3009,456,0
NYYY.US,D,20260611,000000,42.63,43.0796,42.355,43.0796,462,0
NYYY.US,D,20260615,000000,44.605,44.605,44.43,44.5379,545,0
NYYY.US,D,20260616,000000,43.92,43.93,43.7288,43.7288,225,0
