<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OFRM.US,D,20260206,000000,21,22,20.11,21.05,6788920,0
OFRM.US,D,20260209,000000,22.8,26.04,20.95,21,3503634,0
OFRM.US,D,20260210,000000,21.52,21.92,20.5,21.25,993975,0
OFRM.US,D,20260211,000000,21.25,23,21.07,22.38,888796,0
OFRM.US,D,20260212,000000,22.9462,22.9647,20.58,20.73,707015,0
OFRM.US,D,20260213,000000,20.7,22.02,20.7,21.92,370743,0
OFRM.US,D,20260217,000000,22.65,24.21,22.447,23.95,844275,0
OFRM.US,D,20260218,000000,24.545,25.18,23.95,25.14,426902,0
OFRM.US,D,20260219,000000,25.61,26,25.3,25.92,640545,0
OFRM.US,D,20260220,000000,26.36,27,23.8722,24.09,616664,0
OFRM.US,D,20260223,000000,24.5421,24.55,22.67,24.01,443615,0
OFRM.US,D,20260224,000000,23.8,24.295,22.85,23.56,258300,0
OFRM.US,D,20260225,000000,23.64,23.88,21.1701,22.4,542477,0
OFRM.US,D,20260226,000000,22.68,23.25,21.55,23.02,362977,0
OFRM.US,D,20260227,000000,22.8,23.54,22.26,23.21,488177,0
OFRM.US,D,20260302,000000,22.64,24.255,22.22,23.58,300442,0
OFRM.US,D,20260303,000000,22.75,24.37,22.65,23.27,396470,0
OFRM.US,D,20260304,000000,23.66,24.34,23.2272,23.79,319690,0
OFRM.US,D,20260305,000000,23.775,24.145,21.31,21.99,487558,0
OFRM.US,D,20260306,000000,21.75,21.9799,20.6,20.75,519900,0
OFRM.US,D,20260309,000000,21.05,21.4681,20.75,21.17,398448,0
OFRM.US,D,20260310,000000,21.172,21.8,20.75,21.32,452598,0
OFRM.US,D,20260311,000000,21.13,21.14,20.2,20.7,550203,0
OFRM.US,D,20260312,000000,20.7,21.85,20.07,20.35,1217489,0
OFRM.US,D,20260313,000000,17.73,19.56,15.76,18.87,2712218,0
OFRM.US,D,20260316,000000,18.527,18.95,17.75,18.1,947319,0
OFRM.US,D,20260317,000000,18.27,18.8,18.05,18.3,500664,0
OFRM.US,D,20260318,000000,18.2,19,18.01,18.22,504719,0
OFRM.US,D,20260319,000000,18,18.05,16.82,17.36,619852,0
OFRM.US,D,20260320,000000,17.15,17.29,16.4,17.1,1186382,0
OFRM.US,D,20260323,000000,17.25,17.6,16.7742,17.06,448282,0
OFRM.US,D,20260324,000000,17,17.54,15.65,16.16,643812,0
OFRM.US,D,20260325,000000,16.01,16.74,15.62,16.74,707284,0
OFRM.US,D,20260326,000000,16.55,17.09,16.01,16.01,608389,0
OFRM.US,D,20260327,000000,16,16.29,15.22,15.26,746043,0
OFRM.US,D,20260330,000000,15.36,16.03,15,15.25,569505,0
OFRM.US,D,20260331,000000,15.43,16.65,15.34,16.35,1030949,0
OFRM.US,D,20260401,000000,16.62,16.65,15.8,15.84,586931,0
OFRM.US,D,20260402,000000,15.36,15.7,14.86,15.33,699781,0
OFRM.US,D,20260406,000000,15.3,15.93,15.175,15.79,684382,0
OFRM.US,D,20260407,000000,15.64,16.29,15.38,16.25,494710,0
OFRM.US,D,20260408,000000,16.88,17.11,16.23,16.34,661986,0
OFRM.US,D,20260409,000000,16.02,17.2,15.96,16.35,324115,0
OFRM.US,D,20260410,000000,16.2,16.42,14.9,14.92,358381,0
OFRM.US,D,20260413,000000,15.01,15.79,14.3,15.69,830846,0
OFRM.US,D,20260414,000000,15.56,15.95,15.145,15.9,424620,0
OFRM.US,D,20260415,000000,16.02,16.14,15.51,15.73,328648,0
