<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PS.US,D,20260429,000000,24,24.49,22.01,24.2,3286093,0
PS.US,D,20260430,000000,25.35,32.5,25,28,2357898,0
PS.US,D,20260501,000000,29.88,38.27,29.41,37.99,2167665,0
PS.US,D,20260504,000000,38,38.27,32.35,34.21,2208133,0
PS.US,D,20260505,000000,34.25,35.9783,31.5,32.97,1319814,0
PS.US,D,20260506,000000,32.58,33,29.27,33,920808,0
PS.US,D,20260507,000000,33.09,36,31.56,35.94,572455,0
PS.US,D,20260508,000000,35.98,42.44,34.6,41.62,936204,0
PS.US,D,20260511,000000,40.87,54.94,40.845,52.09,1224118,0
PS.US,D,20260512,000000,48.66,54.28,47.77,50.83,687324,0
PS.US,D,20260513,000000,51.45,52.49,45.45,46.82,608076,0
PS.US,D,20260514,000000,45.25,46.6199,41.53,42.61,699034,0
PS.US,D,20260515,000000,41.38,43.7688,39.005,41.17,428993,0
PS.US,D,20260518,000000,41.4999,41.5932,38.06,38.67,502241,0
PS.US,D,20260519,000000,38.58,41.53,37.5,38.24,275593,0
PS.US,D,20260520,000000,39.09,41.17,37.77,38.74,289508,0
PS.US,D,20260521,000000,38.61,38.61,36.01,37.72,370174,0
PS.US,D,20260522,000000,37.41,38.59,35.28,35.67,347123,0
PS.US,D,20260526,000000,35.66,38.5,35.6,36,378260,0
PS.US,D,20260527,000000,36.81,37.12,34.22,37.07,273019,0
PS.US,D,20260528,000000,36.6,40.7,36.465,38.61,509820,0
PS.US,D,20260529,000000,39.58,40,36.9,39.59,218067,0
PS.US,D,20260601,000000,39.01,39.95,37.32,37.39,214446,0
PS.US,D,20260602,000000,37,39.9,35.315,36.18,450947,0
PS.US,D,20260603,000000,35.76,36.75,33.88,35.47,370652,0
PS.US,D,20260604,000000,36.25,38.68,36.14,38.32,350893,0
PS.US,D,20260605,000000,38.3,38.66,34.7231,35.75,417051,0
PS.US,D,20260608,000000,36.1,36.321,33.36,33.52,515971,0
PS.US,D,20260609,000000,33.94,34.87,32.59,33.34,355776,0
PS.US,D,20260610,000000,33.15,33.645,32.417,32.54,221097,0
PS.US,D,20260611,000000,32.44,33.88,31.8,33.57,203325,0
PS.US,D,20260612,000000,33.8,34.5,33.29,33.55,197848,0
PS.US,D,20260615,000000,33.63,35.65,33.63,35.14,284246,0
PS.US,D,20260616,000000,35.77,36.18,34.18,34.21,272776,0
PS.US,D,20260617,000000,34.21,35.65,33.28,34.58,134360,0
PS.US,D,20260618,000000,35,35.2,33.03,33.33,223963,0
PS.US,D,20260622,000000,33.21,33.955,32.9001,33.38,191501,0
PS.US,D,20260623,000000,32.4,33.7,32.39,32.65,175615,0
PS.US,D,20260624,000000,32.7,34.0598,30.785,30.9,320101,0
