<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QRED.US,D,20260508,000000,9.871,9.91,9.87,9.9,784001,0
QRED.US,D,20260511,000000,9.9,9.91,9.89,9.9,937542,0
QRED.US,D,20260512,000000,9.9,9.9,9.9,9.9,59345,0
QRED.US,D,20260513,000000,9.9,9.91,9.9,9.9,22095,0
QRED.US,D,20260514,000000,9.91,9.91,9.9,9.91,574753,0
QRED.US,D,20260515,000000,9.92,9.92,9.92,9.92,1321,0
QRED.US,D,20260518,000000,9.9,9.91,9.9,9.91,9100,0
QRED.US,D,20260520,000000,9.95,9.95,9.95,9.95,157,0
QRED.US,D,20260527,000000,9.94,9.94,9.94,9.94,1122,0
QRED.US,D,20260528,000000,9.93,9.93,9.93,9.93,9994,0
QRED.US,D,20260529,000000,9.95,9.95,9.95,9.95,912,0
QRED.US,D,20260602,000000,9.95,9.95,9.92,9.92,200,0
QRED.US,D,20260604,000000,9.93,9.93,9.93,9.93,7500,0
QRED.US,D,20260605,000000,9.949,9.95,9.949,9.95,2788,0
QRED.US,D,20260608,000000,9.95,9.96,9.95,9.96,135041,0
QRED.US,D,20260609,000000,9.95,9.95,9.95,9.95,125231,0
QRED.US,D,20260610,000000,9.95,9.98,9.95,9.95,193813,0
QRED.US,D,20260611,000000,9.97,9.97,9.95,9.97,2723,0
QRED.US,D,20260612,000000,9.97,9.97,9.9498,9.9591,4320,0
QRED.US,D,20260615,000000,9.9207,9.98,9.92,9.98,2397,0
QRED.US,D,20260616,000000,9.9201,9.93,9.92,9.93,984,0
QRED.US,D,20260617,000000,9.95,9.95,9.94,9.94,1505,0
QRED.US,D,20260618,000000,9.9301,9.9301,9.9301,9.9301,371,0
QRED.US,D,20260622,000000,9.93,9.95,9.93,9.95,441,0
QRED.US,D,20260623,000000,9.94,9.94,9.93,9.93,386,0
QRED.US,D,20260624,000000,9.95,9.95,9.95,9.95,50621,0
