<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REGS.US,D,20260316,000000,10.11,10.11,10.0879,10.0879,129,0
REGS.US,D,20260317,000000,10.12,10.14,9.91,10.0894,57443,0
REGS.US,D,20260318,000000,10.05,10.075,9.9814,9.9814,11933,0
REGS.US,D,20260319,000000,9.92,9.955,9.86,9.955,7498,0
REGS.US,D,20260320,000000,9.85,9.866,9.71,9.747,32195,0
REGS.US,D,20260323,000000,9.74,9.98,9.74,9.9193,57834,0
REGS.US,D,20260324,000000,9.81,9.8356,9.76,9.815,23486,0
REGS.US,D,20260325,000000,9.88,9.9,9.85,9.875,21876,0
REGS.US,D,20260326,000000,9.78,9.8387,9.626,9.626,20491,0
REGS.US,D,20260327,000000,9.55,9.55,9.39,9.417,18404,0
REGS.US,D,20260330,000000,9.43,9.43,9.33,9.3426,2604,0
REGS.US,D,20260331,000000,9.43,9.75,9.43,9.73,23094,0
REGS.US,D,20260401,000000,9.775,9.8485,9.775,9.82,5962,0
REGS.US,D,20260402,000000,9.71,9.8344,9.69,9.8344,49580,0
REGS.US,D,20260406,000000,9.8,9.91,9.79,9.8708,23662,0
REGS.US,D,20260407,000000,9.75,9.87,9.72,9.87,33866,0
REGS.US,D,20260408,000000,10.22,10.26,10.11,10.1299,7531,0
REGS.US,D,20260409,000000,10.1,10.1851,10.1,10.1851,11819,0
REGS.US,D,20260410,000000,10.19,10.23,10.19,10.215,5001,0
REGS.US,D,20260413,000000,10.196,10.335,10.196,10.3317,40411,0
REGS.US,D,20260414,000000,10.4,10.55,10.38,10.5,848767,0
REGS.US,D,20260415,000000,10.57,10.75,10.57,10.7248,22527,0
REGS.US,D,20260416,000000,10.66,10.7207,10.66,10.7207,2299,0
REGS.US,D,20260417,000000,10.9,10.93,10.86,10.905,28243,0
REGS.US,D,20260420,000000,10.85,10.909,10.82,10.8522,16768,0
REGS.US,D,20260421,000000,10.82,10.905,10.82,10.8266,25028,0
REGS.US,D,20260422,000000,10.955,11.0089,10.955,11.0089,19839,0
REGS.US,D,20260423,000000,10.96,10.96,10.82,10.8727,5658,0
REGS.US,D,20260424,000000,10.95,11.05,10.95,11.0241,3025,0
REGS.US,D,20260427,000000,10.99,11.07,10.99,11.0643,3484,0
REGS.US,D,20260428,000000,10.99,10.99,10.9111,10.95,10303,0
REGS.US,D,20260429,000000,10.91,10.95,10.86,10.9301,2187,0
REGS.US,D,20260430,000000,10.98,10.98,10.85,10.94,33652,0
REGS.US,D,20260501,000000,11.09,11.1,11.06,11.0864,1111,0
REGS.US,D,20260504,000000,11.08,11.11,10.99,11.0282,17983,0
REGS.US,D,20260505,000000,11.12,11.16,11.1101,11.13,156803,0
REGS.US,D,20260506,000000,11.19,11.26,11.19,11.25,31120,0
REGS.US,D,20260507,000000,11.3,11.335,11.195,11.227,29304,0
REGS.US,D,20260508,000000,11.23,11.2959,11.23,11.2959,1645,0
REGS.US,D,20260511,000000,11.25,11.36,11.25,11.32,19700,0
REGS.US,D,20260512,000000,11.23,11.3195,11.16,11.24,32323,0
REGS.US,D,20260513,000000,11.2007,11.3285,11.2007,11.3285,4215,0
REGS.US,D,20260514,000000,11.31,11.47,11.31,11.45,30955,0
REGS.US,D,20260515,000000,11.295,11.3599,11.295,11.3104,11493,0
REGS.US,D,20260518,000000,11.2906,11.2906,11.21,11.2612,5432,0
REGS.US,D,20260519,000000,11.1817,11.224,11.16,11.1712,5635,0
REGS.US,D,20260520,000000,11.18,11.3069,11.17,11.3069,940,0
REGS.US,D,20260521,000000,11.32,11.4,11.2301,11.3333,32203,0
REGS.US,D,20260522,000000,11.37,11.4116,11.33,11.3654,8467,0
REGS.US,D,20260526,000000,11.4,11.47,11.4,11.4539,12061,0
REGS.US,D,20260527,000000,11.49,11.5,11.45,11.48,8625,0
REGS.US,D,20260528,000000,11.5,11.5872,11.49,11.5872,7156,0
REGS.US,D,20260529,000000,11.61,11.67,11.61,11.6602,9414,0
REGS.US,D,20260601,000000,11.72,11.83,11.72,11.7955,3183,0
REGS.US,D,20260602,000000,11.75,11.76,11.69,11.71,5179,0
REGS.US,D,20260603,000000,11.71,11.72,11.6,11.6219,19529,0
REGS.US,D,20260604,000000,11.47,11.61,11.47,11.6009,11062,0
REGS.US,D,20260605,000000,11.48,11.49,11.16,11.16,24206,0
REGS.US,D,20260608,000000,11.28,11.31,11.245,11.245,6939,0
REGS.US,D,20260609,000000,10.9,11.15,10.9,11.14,5430,0
REGS.US,D,20260610,000000,11.05,11.1,10.9599,10.9599,3180,0
REGS.US,D,20260611,000000,10.95,11.1444,10.95,11.1444,4098,0
REGS.US,D,20260612,000000,11.16,11.19,11.09,11.1499,36679,0
REGS.US,D,20260615,000000,11.35,11.42,11.34,11.4151,5244,0
REGS.US,D,20260616,000000,11.39,11.4,11.3277,11.3277,6619,0
REGS.US,D,20260617,000000,11.31,11.3337,11.18,11.1886,27510,0
REGS.US,D,20260618,000000,11.27,11.3438,11.27,11.3438,754,0
REGS.US,D,20260622,000000,11.34,11.375,11.21,11.2456,7938,0
REGS.US,D,20260623,000000,11.01,11.15,11.01,11.056,4139,0
REGS.US,D,20260624,000000,11.05,11.12,11.04,11.04,2501,0
