<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RVI.US,D,20260306,000000,22,23.5,21,21,4790172,0
RVI.US,D,20260309,000000,21.46,23.32,21.2,22.02,1023700,0
RVI.US,D,20260310,000000,22.25,22.91,22.25,22.52,699800,0
RVI.US,D,20260311,000000,22.67,23.21,22.46,23.21,381300,0
RVI.US,D,20260312,000000,23.08,23.4,23.01,23.18,335400,0
RVI.US,D,20260313,000000,23.15,23.62,22.5,22.75,294100,0
RVI.US,D,20260316,000000,22.918,23.1,22.5,22.5,254735,0
RVI.US,D,20260317,000000,22.79,23.25,22.21,23.14,271601,0
RVI.US,D,20260318,000000,23.3,23.5,23,23.3,236981,0
RVI.US,D,20260319,000000,23,23.85,22.64,23.85,430102,0
RVI.US,D,20260320,000000,23.5618,23.8399,23.5,23.565,286045,0
RVI.US,D,20260323,000000,23.69,25.1,23.69,25.02,511619,0
RVI.US,D,20260324,000000,25.02,25.26,24.75,25.1,428178,0
RVI.US,D,20260325,000000,25.99,32.99,25.82,28.99,2398492,0
RVI.US,D,20260326,000000,31,35,30.24,32.18,1659455,0
RVI.US,D,20260327,000000,30.32,30.9926,25.8,28.61,1025182,0
RVI.US,D,20260330,000000,28.39,29,25.11,25.85,519962,0
RVI.US,D,20260331,000000,25.85,27.8599,25.5,26.54,346470,0
RVI.US,D,20260401,000000,27.25,29.25,26.95,28.64,346292,0
RVI.US,D,20260402,000000,27.46,28.48,26.5,27.25,210749,0
RVI.US,D,20260406,000000,27.17,27.68,26.1,26.26,319940,0
RVI.US,D,20260407,000000,25.75,26.7118,25.26,25.62,249050,0
RVI.US,D,20260408,000000,27.16,27.5,25.4,25.71,394638,0
RVI.US,D,20260409,000000,25.68,25.93,25.3,25.705,185041,0
RVI.US,D,20260410,000000,25.43,26,25.31,25.45,233337,0
RVI.US,D,20260413,000000,25.2,25.5859,24.92,25.2,283654,0
RVI.US,D,20260414,000000,25.1,25.4,24.8,24.9,408135,0
RVI.US,D,20260415,000000,24.64,25.65,24.27,25.55,409715,0
RVI.US,D,20260416,000000,25.96,25.99,24.9,24.94,251064,0
RVI.US,D,20260417,000000,24.91,25.35,24.86,25.15,271198,0
RVI.US,D,20260420,000000,24.94,25.25,24.6,24.65,227085,0
RVI.US,D,20260421,000000,24.65,25.015,24.36,24.425,167163,0
RVI.US,D,20260422,000000,28.55,30.61,26,29.65,1946016,0
RVI.US,D,20260423,000000,30.79,31.44,27.5,28.16,728114,0
RVI.US,D,20260424,000000,29.36,31,28.67,30.5,684532,0
RVI.US,D,20260427,000000,31.55,36.06,31,35.7,1132437,0
RVI.US,D,20260428,000000,32.33,34.09,30.45,31.35,860984,0
RVI.US,D,20260429,000000,31.51,33.45,31.5,31.85,404593,0
RVI.US,D,20260430,000000,32.32,33,31.77,32.1,362802,0
RVI.US,D,20260501,000000,33.14,33.88,32.42,32.5,401602,0
RVI.US,D,20260504,000000,33.62,34.45,32.81,33.25,596632,0
RVI.US,D,20260505,000000,34.5,34.7,31.725,31.75,427577,0
RVI.US,D,20260506,000000,32.93,32.95,31.6,32,367260,0
RVI.US,D,20260507,000000,32.7,34.31,32.1,34.25,505245,0
RVI.US,D,20260508,000000,34.91,40.85,34.748,39.13,1058125,0
RVI.US,D,20260511,000000,42.76,48.84,42,43.69,1533539,0
RVI.US,D,20260512,000000,49.1,54.88,45.2,53.49,2120914,0
RVI.US,D,20260513,000000,63.54,77.39,60,73.71,4383832,0
RVI.US,D,20260514,000000,63.72,65,47.25,57.27,4030461,0
RVI.US,D,20260515,000000,51.69,58.5,50.57,54.05,1056640,0
RVI.US,D,20260518,000000,55.98,55.99,44.5,45.44,1339095,0
RVI.US,D,20260519,000000,46.39,53.25,45.45,50.76,873537,0
RVI.US,D,20260520,000000,53.5,59.49,52.76,58.49,1166385,0
RVI.US,D,20260521,000000,57.65,61.5,55.01,61.5,739568,0
RVI.US,D,20260522,000000,62.98,63.18,55.6,56.37,707412,0
RVI.US,D,20260526,000000,58.91,59.57,55.89,57.5,462031,0
RVI.US,D,20260527,000000,55.99,56.8871,50,50.01,1006874,0
RVI.US,D,20260528,000000,50.65,53,49.2,50,652660,0
RVI.US,D,20260529,000000,49.76,53.42,49.11,49.51,606853,0
RVI.US,D,20260601,000000,50.23,51.15,49.2,50.65,500758,0
RVI.US,D,20260602,000000,51.06,52.6099,46,46,610074,0
RVI.US,D,20260603,000000,46.32,47.2837,41.31,43.17,743911,0
RVI.US,D,20260604,000000,42.5,42.99,40.4577,41.99,600387,0
RVI.US,D,20260605,000000,42.41,42.68,36.5,37.4,843973,0
RVI.US,D,20260608,000000,40.99,42,38.67,38.67,470173,0
RVI.US,D,20260609,000000,41.52,43.49,38.0376,38.11,632608,0
RVI.US,D,20260610,000000,38.27,41.125,35.76,37.6,590773,0
RVI.US,D,20260611,000000,38.2,38.265,34.83,36.35,717079,0
RVI.US,D,20260612,000000,37.5,38,34.51,35.25,759009,0
RVI.US,D,20260615,000000,38.76,43.19,37.211,40.62,932320,0
RVI.US,D,20260616,000000,43.9,48.1,42,44.54,1150144,0
RVI.US,D,20260617,000000,43.6,45.26,41.5,42.98,407656,0
RVI.US,D,20260618,000000,44.45,44.73,39.25,40.8,445598,0
RVI.US,D,20260622,000000,40,41.05,36.85,38.5,466271,0
RVI.US,D,20260623,000000,35.84,38.5599,35.46,36.93,279276,0
RVI.US,D,20260624,000000,35.99,36.8,33.76,35.2,401974,0
