<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SFTX.US,D,20251204,000000,25.3158,25.3158,25.3158,25.3158,6,0
SFTX.US,D,20251205,000000,25.2964,25.2964,25.2964,25.2964,18,0
SFTX.US,D,20251208,000000,25.42,25.42,25.3563,25.3563,102,0
SFTX.US,D,20251209,000000,25.39,25.39,25.29,25.3239,14117798,0
SFTX.US,D,20251210,000000,25.3306,25.6287,25.3306,25.6287,21032,0
SFTX.US,D,20251211,000000,25.6293,25.68,25.593,25.6437,12134,0
SFTX.US,D,20251212,000000,25.3723,25.45,25.27,25.366,32746,0
SFTX.US,D,20251215,000000,25.46,25.51,25.39,25.4405,10123,0
SFTX.US,D,20251216,000000,25.26,25.2915,25.1755,25.2915,24604,0
SFTX.US,D,20251217,000000,25.27,25.27,25.0407,25.0456,18303,0
SFTX.US,D,20251218,000000,25.27,25.37,25.195,25.2067,41033,0
SFTX.US,D,20251219,000000,25.5101,26.37,25.48,25.48,16649,0
SFTX.US,D,20251222,000000,25.62,26.405,25.48,25.625,34822,0
SFTX.US,D,20251223,000000,25.7,25.795,25.635,25.7873,25473,0
SFTX.US,D,20251224,000000,25.7,26.5,25.68,25.725,16418,0
SFTX.US,D,20251226,000000,25.78,25.85,25.46,25.8362,15101,0
SFTX.US,D,20251229,000000,25.67,25.675,25.56,25.6673,22927,0
SFTX.US,D,20251230,000000,25.85,25.86,25.76,25.7827,12059,0
SFTX.US,D,20251231,000000,25.665,25.69,25.61,25.6584,25852,0
SFTX.US,D,20260102,000000,26.13,26.2,26.07,26.1899,12670,0
SFTX.US,D,20260105,000000,26.42,26.55,26.42,26.496,14277,0
SFTX.US,D,20260106,000000,26.67,26.7055,26.65,26.7055,20579,0
SFTX.US,D,20260107,000000,26.575,26.5999,26.24,26.415,126054,0
SFTX.US,D,20260108,000000,26.39,26.485,26.39,26.485,22022,0
SFTX.US,D,20260109,000000,26.6,26.71,26.59,26.71,30089,0
SFTX.US,D,20260112,000000,26.77,26.9904,26.66,26.965,38135,0
SFTX.US,D,20260113,000000,26.94,26.98,26.58,26.9028,26482,0
SFTX.US,D,20260114,000000,26.99,27.06,26.9,27.0421,22110,0
SFTX.US,D,20260115,000000,27.16,27.23,26.82,27.1163,30527,0
SFTX.US,D,20260116,000000,27.12,27.12,26.79,27.0886,24292,0
SFTX.US,D,20260120,000000,26.51,26.845,26.36,26.6291,43835,0
SFTX.US,D,20260121,000000,26.76,27.12,26.67,27.06,22165,0
SFTX.US,D,20260122,000000,27.27,27.34,26.91,27.24,20901,0
SFTX.US,D,20260123,000000,27.02,27.425,27.02,27.3925,24680,0
SFTX.US,D,20260126,000000,27.62,27.67,27.32,27.5089,36001,0
SFTX.US,D,20260127,000000,27.99,28.11,27.78,28.11,27228,0
SFTX.US,D,20260128,000000,28.0463,28.13,27.97,28.13,11784,0
SFTX.US,D,20260129,000000,28.11,28.1677,27.78,28.1677,20341,0
SFTX.US,D,20260130,000000,27.92,27.92,27.6071,27.6071,25431,0
SFTX.US,D,20260202,000000,27.675,27.76,27.61,27.6779,31232,0
SFTX.US,D,20260203,000000,27.89,27.89,27.57,27.7311,21616,0
SFTX.US,D,20260204,000000,27.711,27.74,27.4706,27.6286,25101,0
SFTX.US,D,20260205,000000,27.46,27.51,27.25,27.282,41147,0
SFTX.US,D,20260206,000000,27.89,27.98,27.67,27.9704,16775,0
SFTX.US,D,20260209,000000,28.3709,28.46,28.3709,28.392,14273,0
SFTX.US,D,20260210,000000,28.545,28.59,28.4803,28.5187,28475,0
SFTX.US,D,20260211,000000,28.89,28.89,28.52,28.79,22312,0
SFTX.US,D,20260212,000000,28.99,28.99,28.35,28.42,40049,0
SFTX.US,D,20260213,000000,28.44,28.6099,28.2,28.5173,23496,0
SFTX.US,D,20260217,000000,28.48,28.7199,28.44,28.54,41252,0
SFTX.US,D,20260218,000000,28.8,28.95,28.714,28.714,27465,0
SFTX.US,D,20260219,000000,28.63,28.75,28.57,28.69,35426,0
SFTX.US,D,20260220,000000,28.84,29.12,28.78,29.1,21544,0
SFTX.US,D,20260223,000000,29.3,29.31,29.0201,29.07,18800,0
SFTX.US,D,20260224,000000,29.11,29.39,29.11,29.31,28500,0
SFTX.US,D,20260225,000000,29.67,29.7724,28.93,29.72,37100,0
SFTX.US,D,20260226,000000,29.61,29.65,29.12,29.43,25954,0
SFTX.US,D,20260227,000000,29.39,29.59,29.37,29.55,26073,0
SFTX.US,D,20260302,000000,28.87,29.11,28.805,29.03,21783,0
SFTX.US,D,20260303,000000,27.51,27.9,27.255,27.8363,18600,0
SFTX.US,D,20260304,000000,28,28.34,27.71,28.19,29063,0
SFTX.US,D,20260305,000000,27.65,27.78,27.11,27.33,41811,0
SFTX.US,D,20260306,000000,26.9,27.29,26.83,27.1534,17777,0
SFTX.US,D,20260309,000000,26.81,27.4744,26.61,27.4744,30851,0
SFTX.US,D,20260310,000000,27.79,28.18,27.67,27.7,20033,0
SFTX.US,D,20260311,000000,27.65,27.81,27.51,27.6853,18896,0
SFTX.US,D,20260312,000000,27.37,27.41,27,27.0346,29171,0
SFTX.US,D,20260313,000000,27.29,27.38,26.79,26.79,34280,0
