<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLVX.US,D,20260218,000000,20.92,21.3,20.89,21.0152,14953,0
SLVX.US,D,20260219,000000,21.095,21.66,21.04,21.6354,5443,0
SLVX.US,D,20260220,000000,22.26,22.9585,22.03,22.9585,7660,0
SLVX.US,D,20260223,000000,23.45,23.87,23.38,23.8176,18100,0
SLVX.US,D,20260224,000000,23.39,23.97,23.21,23.9328,4321,0
SLVX.US,D,20260225,000000,24.525,24.7089,24.1047,24.1047,5200,0
SLVX.US,D,20260226,000000,23.98,24.6799,23.81,24.6641,4447,0
SLVX.US,D,20260227,000000,24.98,25.4868,24.98,25.4868,5936,0
SLVX.US,D,20260302,000000,24.64,25.1699,24.1299,25.133,16858,0
SLVX.US,D,20260303,000000,22.56,23.04,22.09,22.7401,8310,0
SLVX.US,D,20260304,000000,23.175,23.51,22.8,23.195,2554,0
SLVX.US,D,20260305,000000,22.52,22.92,21.73,22.1049,6350,0
SLVX.US,D,20260306,000000,22.23,22.44,22.1,22.1277,3193,0
SLVX.US,D,20260309,000000,21.33,22.46,21.33,22.4334,12655,0
SLVX.US,D,20260310,000000,23.29,23.47,23.0452,23.0452,6714,0
SLVX.US,D,20260311,000000,22.15,22.4403,22.05,22.4403,5818,0
SLVX.US,D,20260312,000000,22.23,22.28,21.9365,21.9365,3109,0
SLVX.US,D,20260313,000000,21.58,21.88,20.6099,20.6764,9998,0
SLVX.US,D,20260316,000000,20.82,21.05,20.26,20.7733,9477,0
SLVX.US,D,20260317,000000,21,21,20.4796,20.5899,8118,0
SLVX.US,D,20260318,000000,19.57,19.73,19.1772,19.1772,9801,0
SLVX.US,D,20260319,000000,17.2025,17.8721,16.95,17.8721,12887,0
SLVX.US,D,20260320,000000,17.6199,17.85,17.0101,17.015,3502,0
SLVX.US,D,20260323,000000,16.905,17.66,16.905,17.3395,4522,0
SLVX.US,D,20260324,000000,17.2388,17.76,17.2388,17.6551,6282,0
SLVX.US,D,20260325,000000,18.62,18.62,18.2047,18.2047,5596,0
SLVX.US,D,20260326,000000,17.45,17.88,16.9933,16.9933,9416,0
SLVX.US,D,20260327,000000,17.14,18.01,16.96,17.7664,9946,0
SLVX.US,D,20260330,000000,17.905,17.95,17.3778,17.3778,3616,0
SLVX.US,D,20260331,000000,18.175,18.8826,18.175,18.8826,3021,0
SLVX.US,D,20260401,000000,19.08,19.45,19.0451,19.3062,4509,0
SLVX.US,D,20260402,000000,18.66,19.0149,18.66,18.9523,2306,0
SLVX.US,D,20260406,000000,18.91,18.91,18.885,18.8917,1826,0
SLVX.US,D,20260407,000000,18.82,18.944,18.315,18.944,3068,0
SLVX.US,D,20260408,000000,20.25,20.25,19.3621,19.3621,2374,0
SLVX.US,D,20260409,000000,19.49,19.6787,19.145,19.4464,5202,0
SLVX.US,D,20260410,000000,19.71,19.71,19.4799,19.512,5542,0
SLVX.US,D,20260413,000000,19.03,19.4162,19.03,19.4162,6184,0
SLVX.US,D,20260414,000000,20.13,20.21,20.1,20.1523,2391,0
SLVX.US,D,20260415,000000,20.15,20.3399,19.92,19.9671,7845,0
SLVX.US,D,20260416,000000,20.1,20.1,19.8896,19.8913,4096,0
SLVX.US,D,20260417,000000,20.46,21.12,20.46,20.5763,6267,0
SLVX.US,D,20260420,000000,20,20.1865,19.96,20.1865,2809,0
SLVX.US,D,20260421,000000,19.78,19.9001,18.8442,18.8442,6600,0
SLVX.US,D,20260422,000000,19.65,19.65,19.48,19.4822,1626,0
SLVX.US,D,20260423,000000,19.06,19.06,18.51,18.8643,7770,0
SLVX.US,D,20260424,000000,18.88,19.19,18.88,19.0784,4253,0
SLVX.US,D,20260427,000000,18.71,18.92,18.71,18.8843,3380,0
SLVX.US,D,20260428,000000,18.23,18.23,17.94,17.9926,5314,0
SLVX.US,D,20260429,000000,17.6,17.6,17.41,17.4665,3654,0
SLVX.US,D,20260430,000000,18.09,18.09,17.85,18.0513,2752,0
SLVX.US,D,20260501,000000,18.09,18.645,18.09,18.3158,2401,0
SLVX.US,D,20260504,000000,17.95,18.17,17.73,17.7324,6616,0
SLVX.US,D,20260505,000000,18,18,17.5751,17.5751,8469,0
SLVX.US,D,20260506,000000,18.8,19.23,18.8,19.1181,15937,0
SLVX.US,D,20260507,000000,20.29,20.6,19.3901,19.3901,11948,0
SLVX.US,D,20260508,000000,19.5,19.8256,19.48,19.8256,6056,0
SLVX.US,D,20260511,000000,20.925,21.22,20.8,21.1934,14322,0
SLVX.US,D,20260512,000000,20.71,21.55,20.3285,21.534,16656,0
SLVX.US,D,20260513,000000,21.14,21.94,21.0396,21.5196,14681,0
SLVX.US,D,20260514,000000,21.22,21.22,20.528,20.528,9460,0
SLVX.US,D,20260515,000000,19.17,19.17,18.53,18.69,19467,0
SLVX.US,D,20260518,000000,18.95,18.95,18.34,18.36,12445,0
SLVX.US,D,20260519,000000,17.82,17.82,17.34,17.5295,14470,0
SLVX.US,D,20260520,000000,17.6899,18.15,17.57,18.12,9147,0
SLVX.US,D,20260521,000000,17.73,18.3,17.7,18.109,4546,0
SLVX.US,D,20260522,000000,17.85,17.9,17.61,17.7239,6660,0
SLVX.US,D,20260526,000000,18.18,18.3033,18,18.3033,23851,0
SLVX.US,D,20260527,000000,17.74,17.91,17.61,17.7303,15606,0
SLVX.US,D,20260528,000000,17.4,18.3002,17.2984,18.2261,8795,0
SLVX.US,D,20260529,000000,18.2,18.5,18.005,18.4689,4559,0
SLVX.US,D,20260601,000000,18.08,18.29,17.7,18.1407,10270,0
SLVX.US,D,20260602,000000,18.33,18.365,18.155,18.3376,4975,0
SLVX.US,D,20260603,000000,18.11,18.11,17.435,17.435,25922,0
SLVX.US,D,20260604,000000,17.85,17.96,17.5,17.5732,4422,0
SLVX.US,D,20260605,000000,16.95,16.95,15.74,15.8088,24100,0
SLVX.US,D,20260608,000000,15.62,15.74,15.52,15.645,11053,0
SLVX.US,D,20260609,000000,15.68,15.68,14.41,14.8214,12623,0
SLVX.US,D,20260610,000000,14.7401,14.7401,14.23,14.23,8066,0
SLVX.US,D,20260611,000000,14.23,15.19,14.23,15.1811,7843,0
SLVX.US,D,20260612,000000,15.16,15.8,15.16,15.6968,6685,0
SLVX.US,D,20260615,000000,16.8,17.0084,16.5451,16.608,13364,0
SLVX.US,D,20260616,000000,16.88,17.0601,16.71,16.9409,6326,0
SLVX.US,D,20260617,000000,16.81,17.37,16.26,16.2614,5941,0
SLVX.US,D,20260618,000000,16.36,16.36,15.67,15.8494,5465,0
SLVX.US,D,20260622,000000,15.69,15.69,15.5,15.5528,7675,0
SLVX.US,D,20260623,000000,14.77,14.89,14.5799,14.5799,10487,0
SLVX.US,D,20260624,000000,14.005,14.16,13.5202,13.7,15969,0
