<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TFFI.US,D,20260224,000000,19.98,20.0559,19.98,20.0559,25223,0
TFFI.US,D,20260227,000000,20.05,20.1,20.045,20.055,867830,0
TFFI.US,D,20260302,000000,20.02,20.4,20.02,20.08,28863,0
TFFI.US,D,20260303,000000,20,20.05,20,20.05,1791,0
TFFI.US,D,20260304,000000,20.0499,20.08,20.045,20.05,1788,0
TFFI.US,D,20260305,000000,19.9875,19.9875,19.942,19.942,5457,0
TFFI.US,D,20260306,000000,19.67,19.93,19.6652,19.6652,26181,0
TFFI.US,D,20260309,000000,19.58,19.74,18.995,19.74,4975,0
TFFI.US,D,20260310,000000,19.76,19.8,19.76,19.7774,1265,0
TFFI.US,D,20260311,000000,19.79,19.86,19.765,19.8238,5404,0
TFFI.US,D,20260312,000000,19.7,19.7,19.61,19.6809,4002,0
TFFI.US,D,20260313,000000,19.58,19.63,19.56,19.58,1278,0
TFFI.US,D,20260316,000000,19.6987,19.6987,19.66,19.66,1106,0
TFFI.US,D,20260317,000000,19.73,19.74,19.68,19.6946,1833,0
TFFI.US,D,20260318,000000,19.76,19.7741,19.75,19.7741,1344,0
TFFI.US,D,20260319,000000,19.69,19.765,19.67,19.755,3795,0
TFFI.US,D,20260320,000000,19.79,19.79,19.69,19.7304,555,0
TFFI.US,D,20260323,000000,19.725,19.725,19.66,19.6766,4526,0
TFFI.US,D,20260324,000000,19.73,19.7516,19.73,19.7516,221,0
TFFI.US,D,20260325,000000,19.72,19.7458,19.72,19.7458,1815,0
TFFI.US,D,20260326,000000,19.79,19.84,19.76,19.8067,1629,0
TFFI.US,D,20260327,000000,19.87,19.98,19.84,19.8628,4675,0
TFFI.US,D,20260330,000000,19.74,19.77,19.6759,19.6759,3190,0
TFFI.US,D,20260331,000000,19.65,19.7,19.58,19.5909,655886,0
TFFI.US,D,20260401,000000,19.65,19.76,19.645,19.6788,21678,0
TFFI.US,D,20260402,000000,19.7,19.9099,19.66,19.7958,1929,0
TFFI.US,D,20260406,000000,19.72,19.8797,19.72,19.79,8202,0
TFFI.US,D,20260407,000000,19.73,19.88,19.73,19.8,22559,0
TFFI.US,D,20260408,000000,19.59,19.77,19.32,19.58,15786,0
TFFI.US,D,20260409,000000,19.66,19.7399,19.65,19.6926,11344,0
TFFI.US,D,20260410,000000,19.75,19.83,19.7499,19.76,3589,0
TFFI.US,D,20260413,000000,19.78,19.925,19.78,19.8646,6616,0
TFFI.US,D,20260414,000000,19.85,19.9129,19.76,19.9129,3656,0
TFFI.US,D,20260415,000000,19.72,19.8574,19.72,19.8574,3853,0
TFFI.US,D,20260416,000000,19.79,19.83,19.785,19.8005,7470,0
TFFI.US,D,20260417,000000,19.8,19.8,19.6159,19.6159,14095,0
TFFI.US,D,20260420,000000,19.68,19.74,19.68,19.69,4174,0
TFFI.US,D,20260421,000000,19.735,20.14,19.735,19.795,2307,0
TFFI.US,D,20260422,000000,19.8,20.24,19.783,19.815,7295,0
TFFI.US,D,20260423,000000,19.85,20.13,19.82,19.9001,3657,0
TFFI.US,D,20260424,000000,19.87,19.88,19.835,19.835,2360,0
TFFI.US,D,20260427,000000,19.89,20.02,19.885,19.885,1227,0
TFFI.US,D,20260428,000000,19.95,20.22,19.95,19.9697,7672,0
TFFI.US,D,20260429,000000,20.27,20.27,20.04,20.08,2231,0
TFFI.US,D,20260430,000000,19.95,20.35,19.94,19.9545,52815,0
TFFI.US,D,20260501,000000,20,20.24,19.92,20.2398,26167,0
TFFI.US,D,20260504,000000,20.04,20.095,20,20.095,6547,0
TFFI.US,D,20260505,000000,20.09,20.12,20.08,20.085,2300,0
TFFI.US,D,20260506,000000,19.91,20.08,19.8976,19.945,5451,0
TFFI.US,D,20260507,000000,19.87,19.955,19.87,19.955,389,0
TFFI.US,D,20260508,000000,19.91,19.91,19.91,19.91,100,0
TFFI.US,D,20260511,000000,20.05,20.1099,20.05,20.105,4083,0
TFFI.US,D,20260512,000000,20.2,20.21,20.2,20.21,827,0
TFFI.US,D,20260513,000000,20.24,20.24,20.205,20.205,3236,0
TFFI.US,D,20260514,000000,20.215,20.215,20.17,20.2057,1715,0
TFFI.US,D,20260515,000000,20.33,20.48,20.3,20.41,5677,0
TFFI.US,D,20260518,000000,20.26,20.26,20.221,20.2454,1641,0
TFFI.US,D,20260519,000000,20.28,20.65,20.28,20.3099,3673,0
TFFI.US,D,20260520,000000,20.23,20.23,20.09,20.095,6310,0
TFFI.US,D,20260521,000000,20.17,20.76,20.015,20.0541,8021,0
TFFI.US,D,20260522,000000,20.05,20.69,20,20.054,8654,0
TFFI.US,D,20260526,000000,19.9201,20.04,19.9201,19.955,2127,0
TFFI.US,D,20260527,000000,19.91,20.48,19.88,19.925,4941,0
TFFI.US,D,20260528,000000,19.9,20.39,19.855,19.855,1051,0
TFFI.US,D,20260529,000000,19.88,19.88,19.805,19.8397,31108,0
TFFI.US,D,20260601,000000,20.03,20.06,19.51,19.9902,13983,0
TFFI.US,D,20260602,000000,19.965,20.32,19.965,20.005,4875,0
TFFI.US,D,20260603,000000,20.1,20.63,20.09,20.1001,1375,0
TFFI.US,D,20260604,000000,20.03,20.5,20.03,20.0615,12239,0
TFFI.US,D,20260605,000000,20.12,20.61,20.03,20.115,1350,0
TFFI.US,D,20260608,000000,20.105,20.1377,20.105,20.1377,1042,0
TFFI.US,D,20260609,000000,20.0999,20.53,20.04,20.04,5924,0
TFFI.US,D,20260610,000000,20.02,20.5,19.97,20.05,5774,0
TFFI.US,D,20260611,000000,19.93,19.93,19.87,19.87,1315,0
TFFI.US,D,20260612,000000,19.94,19.94,19.82,19.8477,1531,0
TFFI.US,D,20260615,000000,19.815,20.28,19.815,19.8635,5102,0
TFFI.US,D,20260616,000000,19.8529,19.89,19.7708,19.805,14573,0
TFFI.US,D,20260617,000000,19.82,20.27,19.805,19.9023,2820,0
TFFI.US,D,20260618,000000,19.89,20.34,19.84,19.925,8234,0
TFFI.US,D,20260622,000000,19.82,19.99,19.82,19.99,4156,0
TFFI.US,D,20260623,000000,19.84,20.36,19.65,19.815,8086,0
TFFI.US,D,20260624,000000,19.67,20.06,19.63,19.6301,2123,0
