<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UGLD.US,D,20260528,000000,24.13,24.99,24.13,24.8372,6456,0
UGLD.US,D,20260529,000000,25.205,25.69,25.205,25.3292,6363,0
UGLD.US,D,20260601,000000,24.41,24.6166,24.266,24.6166,6974,0
UGLD.US,D,20260602,000000,24.95,25.14,24.645,24.685,6104,0
UGLD.US,D,20260603,000000,24.26,24.33,24.095,24.2148,5136,0
UGLD.US,D,20260604,000000,24.85,24.93,24.4996,24.5425,7373,0
UGLD.US,D,20260605,000000,23.725,23.725,22.81,22.8112,21649,0
UGLD.US,D,20260608,000000,22.95,23.06,22.7844,22.8791,14106,0
UGLD.US,D,20260609,000000,22.865,22.865,21.93,22.1249,20454,0
UGLD.US,D,20260610,000000,21.01,21.3,20.3229,20.3229,27927,0
UGLD.US,D,20260611,000000,20.24,21.61,20.13,21.5471,28791,0
UGLD.US,D,20260612,000000,21.47,21.74,21.29,21.5214,24944,0
UGLD.US,D,20260615,000000,23.01,23.154,22.645,22.645,30858,0
UGLD.US,D,20260616,000000,22.82,22.88,22.6699,22.7707,12133,0
UGLD.US,D,20260617,000000,22.69,23.29,21.63,21.7,25394,0
UGLD.US,D,20260618,000000,22.02,22.17,21.43,21.5327,18294,0
UGLD.US,D,20260622,000000,21.23,21.35,21.0916,21.25,12141,0
UGLD.US,D,20260623,000000,20.47,20.6751,20.45,20.4531,5366,0
UGLD.US,D,20260624,000000,19.1,19.5548,18.9,19.08,22217,0
