<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VAIE.US,D,20260512,000000,24.97,25.1,24.815,25.0161,30034,0
VAIE.US,D,20260513,000000,25.02,25.2,25.02,25.1165,7626,0
VAIE.US,D,20260514,000000,25.2299,25.335,25.2299,25.2853,1678,0
VAIE.US,D,20260515,000000,25.11,25.115,25.011,25.011,2830,0
VAIE.US,D,20260518,000000,25,25.0299,24.855,24.9186,9034,0
VAIE.US,D,20260519,000000,24.87,24.94,24.7501,24.9,8150,0
VAIE.US,D,20260520,000000,24.96,25.09,24.96,25.0709,2960,0
VAIE.US,D,20260521,000000,24.99,25.15,24.92,25.0739,6778,0
VAIE.US,D,20260522,000000,25.2,25.32,25.13,25.2,18104,0
VAIE.US,D,20260526,000000,25.27,25.39,25.2,25.2454,13885,0
VAIE.US,D,20260527,000000,25.45,25.45,25.2,25.26,26016,0
VAIE.US,D,20260528,000000,25.11,25.335,25.11,25.3072,8194,0
VAIE.US,D,20260529,000000,25.35,25.47,25.2999,25.3265,26765,0
VAIE.US,D,20260601,000000,25.31,25.39,25.27,25.3678,4518,0
VAIE.US,D,20260602,000000,25.36,25.51,25.295,25.51,11771,0
VAIE.US,D,20260603,000000,25.4,25.4,25.255,25.2836,24343,0
VAIE.US,D,20260604,000000,25.125,25.37,25.125,25.3124,32387,0
VAIE.US,D,20260605,000000,25.16,25.16,24.595,24.5977,55772,0
VAIE.US,D,20260608,000000,24.63,24.77,24.5514,24.5514,20475,0
VAIE.US,D,20260609,000000,24.79,24.79,24.14,24.4735,12358,0
VAIE.US,D,20260610,000000,24.56,24.575,24.17,24.21,47618,0
VAIE.US,D,20260611,000000,24.11,24.549,23.96,24.4101,48882,0
VAIE.US,D,20260612,000000,24.42,24.77,24.42,24.6552,18799,0
VAIE.US,D,20260615,000000,25.01,25.1183,25.01,25.0496,3686,0
VAIE.US,D,20260616,000000,25,25.01,24.874,24.8894,36690,0
VAIE.US,D,20260617,000000,24.89,24.89,24.508,24.508,1810,0
VAIE.US,D,20260618,000000,24.69,24.83,24.63,24.7452,19110,0
VAIE.US,D,20260622,000000,24.97,24.97,24.65,24.7,24153,0
VAIE.US,D,20260623,000000,24.53,24.53,24.2712,24.43,128149,0
VAIE.US,D,20260624,000000,24.75,24.75,24.305,24.32,94002,0
