<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VCX.US,D,20260319,000000,31.21,128,31.21,76.16,361774,0
VCX.US,D,20260320,000000,105,137,86,117.7,610599,0
VCX.US,D,20260323,000000,120.2585,200.48,120.2585,191.81,581426,0
VCX.US,D,20260324,000000,220.625,320,215.76,314.99,892587,0
VCX.US,D,20260325,000000,390.055,575,358,380,1423853,0
VCX.US,D,20260326,000000,445,450,182.01,262,1170962,0
VCX.US,D,20260327,000000,188.84,212.97,153.01,173,721931,0
VCX.US,D,20260330,000000,156,156,96.11,111,890810,0
VCX.US,D,20260331,000000,98.96,139.08,95.01,130.95,706838,0
VCX.US,D,20260401,000000,151.94,170,106.55,115,714628,0
VCX.US,D,20260402,000000,108,125.62,103.22,113,380833,0
VCX.US,D,20260406,000000,120,128,113,118,323171,0
VCX.US,D,20260407,000000,121,123.9,110,113.71,271785,0
VCX.US,D,20260408,000000,127.14,127.43,115.22,119.74,316982,0
VCX.US,D,20260409,000000,120,121,113.825,115,173499,0
VCX.US,D,20260410,000000,116.83,116.83,105.95,112.99,245674,0
VCX.US,D,20260413,000000,113.29,116,108.28,114.05,187619,0
VCX.US,D,20260414,000000,111.6,114.275,96.0001,96.01,334755,0
VCX.US,D,20260415,000000,99.77,99.77,81.01,91.49,376667,0
VCX.US,D,20260416,000000,91.63,91.63,76.88,76.88,365801,0
VCX.US,D,20260417,000000,80,86,77.15,84.47,369768,0
VCX.US,D,20260420,000000,86,103.8,83.5894,91.92,660117,0
VCX.US,D,20260421,000000,95.5,99,88,89,351122,0
VCX.US,D,20260422,000000,91.73,94.16,89.02,92.91,225351,0
VCX.US,D,20260423,000000,93,93.945,85.7,89.74,182534,0
VCX.US,D,20260424,000000,90,90,85,85.48,171497,0
VCX.US,D,20260427,000000,86.05,87,83.51,85,140762,0
VCX.US,D,20260428,000000,84.45,84.7099,75,78.65,268106,0
VCX.US,D,20260429,000000,79,87.67,78.6001,85.01,157512,0
VCX.US,D,20260430,000000,93,95,87.4717,94.79,210118,0
VCX.US,D,20260501,000000,94.48,95,90,94.55,100966,0
VCX.US,D,20260504,000000,97,118.9999,96.5,115,446622,0
VCX.US,D,20260505,000000,125.13,143.43,121,137.79,566741,0
VCX.US,D,20260506,000000,158.42,164.99,142.5,158.98,456963,0
VCX.US,D,20260507,000000,178,217.7799,140,144.14,886464,0
VCX.US,D,20260508,000000,172,197.4999,168,190.99,587151,0
VCX.US,D,20260511,000000,236,276,220,276,795805,0
VCX.US,D,20260512,000000,259,309.99,200.05,275,942934,0
VCX.US,D,20260513,000000,280.25,288.78,240.01,246.01,435720,0
VCX.US,D,20260514,000000,221.01,234.5999,200.8801,218.99,517384,0
VCX.US,D,20260515,000000,195.02,217,193,196.99,276064,0
VCX.US,D,20260518,000000,218.42,234.9999,199,234.03,330035,0
VCX.US,D,20260519,000000,224,234,210.75,230.81,187135,0
VCX.US,D,20260520,000000,240.89,250,230,246,228804,0
VCX.US,D,20260521,000000,255.99,289.51,250.6,289.51,377755,0
VCX.US,D,20260522,000000,298.86,305,260,263.78,365853,0
VCX.US,D,20260526,000000,276.6,280,240,252.07,307071,0
VCX.US,D,20260527,000000,240,247.9999,218,229,225964,0
VCX.US,D,20260528,000000,230.11,238.87,216,219.59,219159,0
VCX.US,D,20260529,000000,218.98,218.98,201.33,211,210182,0
VCX.US,D,20260601,000000,217.99,229.9,207.11,224.99,317683,0
VCX.US,D,20260602,000000,230,230.07,185,192.59,506770,0
VCX.US,D,20260603,000000,190.01,193.7819,154.255,155.99,450729,0
VCX.US,D,20260604,000000,157.6,171.5703,155.05,166,303914,0
VCX.US,D,20260605,000000,166.2,166.2,130,136.99,420644,0
VCX.US,D,20260608,000000,147.55,149.53,140.5352,147.99,177747,0
VCX.US,D,20260609,000000,160,162.49,142.0001,153.5,358755,0
VCX.US,D,20260610,000000,148.15,151.5,137.6,139.99,213288,0
VCX.US,D,20260611,000000,144,144.3199,113,122.34,428382,0
VCX.US,D,20260612,000000,128.33,160,113.1,130,698402,0
VCX.US,D,20260615,000000,130.36,130.46,103,110,625337,0
VCX.US,D,20260616,000000,102.1101,102.1101,91.05,91.99,456767,0
VCX.US,D,20260617,000000,92.09,102,92.06,99.16,248227,0
VCX.US,D,20260618,000000,102.52,107.8,96.21,100.51,188829,0
VCX.US,D,20260622,000000,98.62,98.6229,90,90,208831,0
VCX.US,D,20260623,000000,83.5,88.999,82,86,151855,0
VCX.US,D,20260624,000000,89.32,89.32,83,83,91080,0
