<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WDAI.US,D,20260508,000000,26.11,26.11,26.1008,26.1008,247,0
WDAI.US,D,20260511,000000,26.095,26.11,26.095,26.11,579,0
WDAI.US,D,20260514,000000,25.91,25.92,25.885,25.893,1061,0
WDAI.US,D,20260515,000000,25.5,25.5743,25.5,25.5743,232,0
WDAI.US,D,20260520,000000,25.92,25.9829,25.92,25.9829,110,0
WDAI.US,D,20260521,000000,26.13,26.13,26.0905,26.0905,1218,0
WDAI.US,D,20260526,000000,26.72,26.88,26.72,26.87,2893,0
WDAI.US,D,20260527,000000,26.568,26.5734,26.568,26.5734,218,0
WDAI.US,D,20260529,000000,27.3985,27.4,27.3524,27.3524,1732,0
WDAI.US,D,20260601,000000,27.31,27.87,27.31,27.818,13361,0
WDAI.US,D,20260602,000000,27.84,27.9947,27.78,27.9947,2177,0
WDAI.US,D,20260603,000000,27.87,27.87,27.785,27.8116,1512,0
WDAI.US,D,20260604,000000,27.51,27.76,27.51,27.7112,1057,0
WDAI.US,D,20260605,000000,27.11,27.11,26.555,26.565,2370,0
WDAI.US,D,20260608,000000,26.82,26.9185,26.82,26.8772,2043,0
WDAI.US,D,20260609,000000,26.25,26.5369,25.76,26.5369,1353,0
WDAI.US,D,20260610,000000,26.59,26.625,26.0846,26.0846,959,0
WDAI.US,D,20260611,000000,26.415,27.05,26.245,27.05,806,0
WDAI.US,D,20260615,000000,27.64,27.6906,27.64,27.6906,683,0
WDAI.US,D,20260616,000000,27.48,27.48,27.322,27.322,973,0
WDAI.US,D,20260617,000000,27.42,27.49,27.146,27.146,4419,0
WDAI.US,D,20260622,000000,27.64,27.64,27.6257,27.6257,591,0
WDAI.US,D,20260623,000000,26.95,27.03,26.95,26.964,491,0
WDAI.US,D,20260624,000000,27.01,27.01,27.01,27.01,315,0
