<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WEPN.US,D,20260303,000000,48.686,50.28,47.965,49.1861,119781,0
WEPN.US,D,20260304,000000,49.2,49.91,48.4786,49.55,45592,0
WEPN.US,D,20260305,000000,49.55,49.6,47.5,48.5228,24013,0
WEPN.US,D,20260306,000000,47.7907,49.25,47.7907,48.5704,14203,0
WEPN.US,D,20260309,000000,47.9,49.1293,47.64,49.1293,31462,0
WEPN.US,D,20260310,000000,48.81,49.5,48.77,48.843,9727,0
WEPN.US,D,20260311,000000,48.5756,49.33,48.43,48.7729,2222,0
WEPN.US,D,20260312,000000,48.51,48.677,48,48.4742,2824,0
WEPN.US,D,20260313,000000,48.21,48.32,47.475,47.5273,3112,0
WEPN.US,D,20260316,000000,48.37,48.37,47.545,48.21,2200,0
WEPN.US,D,20260317,000000,48.39,48.7644,48.21,48.5498,3794,0
WEPN.US,D,20260318,000000,48.53,48.65,47.9979,47.9979,4861,0
WEPN.US,D,20260319,000000,46.24,47.55,45.9401,47.0716,6276,0
WEPN.US,D,20260320,000000,46.32,46.32,44.33,44.8957,6996,0
WEPN.US,D,20260323,000000,45.4002,46.33,45.15,45.865,4626,0
WEPN.US,D,20260324,000000,44.815,45.47,44.32,44.7731,4857,0
WEPN.US,D,20260325,000000,45.555,45.555,45.1584,45.2235,1846,0
WEPN.US,D,20260326,000000,44.18,44.18,43.7767,43.7767,1206,0
WEPN.US,D,20260327,000000,43.4,43.4,42.48,42.7602,4659,0
WEPN.US,D,20260330,000000,42.9873,42.9873,41.21,41.6629,4498,0
WEPN.US,D,20260331,000000,42.15,43.4076,42.15,43.4076,1905,0
WEPN.US,D,20260401,000000,44.3179,44.46,43.845,43.9711,2263,0
WEPN.US,D,20260402,000000,42.66,44.6,42.66,44.4707,4684,0
WEPN.US,D,20260406,000000,44.8508,44.8508,44.405,44.6486,1387,0
WEPN.US,D,20260407,000000,43.9266,44.2126,43.9266,44.2126,1832,0
WEPN.US,D,20260408,000000,45.54,46.29,45.54,45.5609,2541,0
WEPN.US,D,20260409,000000,44.73,45.06,44.365,44.365,2745,0
WEPN.US,D,20260410,000000,43.8978,44.37,43.7,43.8251,4805,0
WEPN.US,D,20260413,000000,43.24,45.0683,43.2,45.0683,3200,0
WEPN.US,D,20260414,000000,45.59,45.59,44.75,45.231,3128,0
WEPN.US,D,20260415,000000,45.92,46.014,45.7135,45.9045,1404,0
WEPN.US,D,20260416,000000,45.79,46.34,45.79,46.155,3505,0
WEPN.US,D,20260417,000000,46.25,46.99,46.08,46.1338,7855,0
WEPN.US,D,20260420,000000,46.29,46.65,45.85,46.3138,3052,0
WEPN.US,D,20260421,000000,45.89,46.66,45.52,45.5802,19704,0
WEPN.US,D,20260422,000000,45.86,46.325,45.7498,46.144,3008,0
WEPN.US,D,20260423,000000,45.15,45.231,44.41,44.8235,1564,0
WEPN.US,D,20260424,000000,44.445,44.445,44.01,44.2861,5204,0
WEPN.US,D,20260427,000000,44.1501,45.194,44.1501,45.194,6915,0
WEPN.US,D,20260428,000000,43.9,44.54,43.9,44.3708,2302,0
WEPN.US,D,20260429,000000,43.76,43.76,43.385,43.4221,9780,0
WEPN.US,D,20260430,000000,44.025,45.011,43.89,45.011,1685,0
WEPN.US,D,20260501,000000,44.71,44.99,44.4,44.9015,2164,0
