<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WSDB.US,D,20260401,000000,25.02,25.02,25.012,25.012,52002,0
WSDB.US,D,20260402,000000,25.03,25.03,25.0131,25.0131,25003,0
WSDB.US,D,20260406,000000,25.01,25.01,24.995,24.995,20003,0
WSDB.US,D,20260407,000000,25.03,25.03,25.0172,25.0172,20000,0
WSDB.US,D,20260409,000000,25.07,25.07,25.045,25.045,10000,0
WSDB.US,D,20260414,000000,25.1,25.1,25.094,25.094,10000,0
WSDB.US,D,20260415,000000,25.1,25.1,25.0826,25.0826,100,0
WSDB.US,D,20260417,000000,25.13,25.13,25.115,25.115,10000,0
WSDB.US,D,20260423,000000,25.11,25.11,25.0845,25.0845,10000,0
WSDB.US,D,20260428,000000,25.12,25.12,25.095,25.095,3940,0
WSDB.US,D,20260429,000000,25.03,25.03,25,25,21350,0
WSDB.US,D,20260430,000000,25.01,25.01,24.9957,24.9957,5000,0
WSDB.US,D,20260501,000000,25.01,25.01,25.0051,25.0051,170,0
WSDB.US,D,20260506,000000,25.05,25.14,25.025,25.0454,19390,0
WSDB.US,D,20260512,000000,24.995,24.995,24.995,24.995,1825,0
WSDB.US,D,20260528,000000,25,25,24.965,24.965,4326,0
WSDB.US,D,20260602,000000,24.975,25.01,24.975,25.0044,6836,0
WSDB.US,D,20260603,000000,24.99,24.99,24.9649,24.9649,2460,0
WSDB.US,D,20260609,000000,24.96,24.97,24.945,24.95,1780,0
WSDB.US,D,20260610,000000,24.955,24.955,24.945,24.945,1661,0
WSDB.US,D,20260611,000000,25.01,25.01,25.0044,25.0044,200,0
WSDB.US,D,20260615,000000,25.02,25.02,25,25,200,0
WSDB.US,D,20260617,000000,25.015,25.05,24.98,24.98,3447,0
WSDB.US,D,20260618,000000,25.01,25.01,24.975,24.975,477,0
WSDB.US,D,20260622,000000,24.98,24.98,24.9609,24.9609,651,0
WSDB.US,D,20260623,000000,24.995,25.02,24.985,24.985,4079,0
WSDB.US,D,20260624,000000,25.04,25.04,25.04,25.04,381,0
