<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AZUL.US,D,20260512,000000,13,13,13,13,407,0
AZUL.US,D,20260513,000000,13.5,13.5,13,13.5,1219,0
AZUL.US,D,20260514,000000,14,14,13.25,13.5,31002,0
AZUL.US,D,20260515,000000,12.875,13.5,9.5,9.5,239359,0
AZUL.US,D,20260518,000000,9.25,9.25,8.88,8.95,24098,0
AZUL.US,D,20260519,000000,12,12,8.95,9,157506,0
AZUL.US,D,20260520,000000,9,9.5,9,9.15,82850,0
AZUL.US,D,20260521,000000,9.2,9.2,8.92,8.92,85700,0
AZUL.US,D,20260522,000000,9,9.7721,9,9,267411,0
AZUL.US,D,20260525,000000,9,9,9,9,135300,0
AZUL.US,D,20260526,000000,9.15,9.15,8.92,9,68500,0
AZUL.US,D,20260527,000000,9,9.05,8.9,8.9,106025,0
AZUL.US,D,20260528,000000,8.95,8.95,8.85,8.85,35008,0
AZUL.US,D,20260529,000000,8.95,9.1,8.95,9,69324,0
AZUL.US,D,20260601,000000,9.15,9.15,8.36,8.88,63627,0
AZUL.US,D,20260602,000000,8.96,9.4,8.605,9,260141,0
AZUL.US,D,20260603,000000,9.15,9.64,8.8,8.89,30240,0
AZUL.US,D,20260604,000000,9,9.19,8.83,9.03,515833,0
AZUL.US,D,20260605,000000,8.99,9.08,8.58,9.08,346831,0
AZUL.US,D,20260608,000000,8.6,9.05,8.25,8.3,113731,0
AZUL.US,D,20260609,000000,8.27,8.51,7.835,8.37,65512,0
AZUL.US,D,20260610,000000,8.23,8.59,8.05,8.59,3343,0
AZUL.US,D,20260611,000000,8.22,8.82,8.2,8.8,68847,0
AZUL.US,D,20260612,000000,8.81,9,8.5,8.53,29012,0
AZUL.US,D,20260615,000000,8.75,9.25,8.725,8.82,188049,0
AZUL.US,D,20260616,000000,8.83,8.98,8.75,8.78,10816,0
AZUL.US,D,20260617,000000,8.8,8.84,8.365,8.6,43621,0
AZUL.US,D,20260618,000000,8.35,9.1,8.35,8.74,68931,0
AZUL.US,D,20260622,000000,8.98,9.1,8.85,8.94,85957,0
AZUL.US,D,20260623,000000,8.79,8.88,8.61,8.74,14929,0
AZUL.US,D,20260624,000000,8.74,9.16,8.68,9.03,76429,0
