<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMTL.US,D,20260323,000000,15.78,16.5,14.22,14.31,942084,0
GMTL.US,D,20260324,000000,13.825,15.945,12.89,15.54,706318,0
GMTL.US,D,20260325,000000,15.89,18.2,15.8,16.01,554528,0
GMTL.US,D,20260326,000000,15.3,16.45,14.235,16.19,298824,0
GMTL.US,D,20260327,000000,16.51,19.32,14.9481,17.25,475722,0
GMTL.US,D,20260330,000000,16.82,17.925,16.4,16.4,148339,0
GMTL.US,D,20260331,000000,16.57,17.74,16.52,17.48,158060,0
GMTL.US,D,20260401,000000,18,19.74,18,19.27,90209,0
GMTL.US,D,20260402,000000,18.48,19.51,18.12,18.87,84740,0
GMTL.US,D,20260406,000000,18.84,20.91,18.84,19.61,114558,0
GMTL.US,D,20260407,000000,19.5,20.24,19.2,19.4,69292,0
GMTL.US,D,20260408,000000,19.6843,19.97,18.5,19.2,91642,0
GMTL.US,D,20260409,000000,19.63,19.91,18.06,18.06,100704,0
GMTL.US,D,20260410,000000,18,18.8,17.55,18.23,64320,0
GMTL.US,D,20260413,000000,18.07,19.44,17.3826,18.89,80598,0
GMTL.US,D,20260414,000000,19.49,20.61,18.505,18.58,129940,0
GMTL.US,D,20260415,000000,20.36,20.36,17.92,18.12,170229,0
GMTL.US,D,20260416,000000,18.43,19.08,17.565,18.43,507191,0
GMTL.US,D,20260417,000000,18.57,22.205,18.29,20.64,749787,0
GMTL.US,D,20260420,000000,19.9,20.82,19.51,20.14,220403,0
GMTL.US,D,20260421,000000,19.66,20.21,18.755,19,187601,0
GMTL.US,D,20260422,000000,19.25,20.2029,19.25,19.5,371331,0
GMTL.US,D,20260423,000000,19.61,19.86,18.75,19.21,231777,0
GMTL.US,D,20260424,000000,19.41,19.41,18.35,18.43,164834,0
GMTL.US,D,20260427,000000,18.9,20.69,18.3,20.59,245932,0
GMTL.US,D,20260428,000000,19.14,19.81,18.65,18.9,536113,0
GMTL.US,D,20260429,000000,18.75,18.795,17.15,17.15,297063,0
GMTL.US,D,20260430,000000,17.12,17.23,16.34,16.99,241322,0
GMTL.US,D,20260501,000000,16.78,17.05,16,16.48,146625,0
GMTL.US,D,20260504,000000,16.35,16.41,15.3,15.66,162673,0
GMTL.US,D,20260505,000000,15.65,16.59,13.945,15,259465,0
GMTL.US,D,20260506,000000,15.07,16.765,14.26,16.35,332558,0
GMTL.US,D,20260507,000000,16.14,16.14,14.72,14.98,128970,0
GMTL.US,D,20260508,000000,14.84,14.84,13.85,14.04,248246,0
GMTL.US,D,20260511,000000,13.66,14.77,13.17,14.5,370520,0
GMTL.US,D,20260512,000000,13.44,14.75,12.75,14.48,240019,0
GMTL.US,D,20260513,000000,14.88,16.8,14.53,15.9,370573,0
GMTL.US,D,20260514,000000,16,17,14.67,16.5,269333,0
GMTL.US,D,20260515,000000,16,16.655,15.3605,16.16,276761,0
GMTL.US,D,20260518,000000,16.37,17.5,16.01,17,187237,0
GMTL.US,D,20260519,000000,16.96,17.3,16.16,16.85,189443,0
GMTL.US,D,20260520,000000,16.83,17.865,15.69,17.46,224151,0
GMTL.US,D,20260521,000000,17.16,17.64,16.35,16.98,227743,0
GMTL.US,D,20260522,000000,16.95,17.065,15.96,16,205141,0
GMTL.US,D,20260526,000000,16.1,17.57,16.1,17.2,152746,0
GMTL.US,D,20260527,000000,16.87,16.87,16.4,16.56,96811,0
GMTL.US,D,20260528,000000,16,16.63,15.085,16.33,200989,0
GMTL.US,D,20260529,000000,16.3,16.55,15.56,15.8,128608,0
GMTL.US,D,20260601,000000,15.67,15.98,14.9799,15.71,107475,0
GMTL.US,D,20260602,000000,15.58,16.1999,15.2,16.12,243962,0
GMTL.US,D,20260603,000000,15.9,18.4159,15.5,17.6,313143,0
GMTL.US,D,20260604,000000,17.63,17.63,16.01,16.57,259837,0
GMTL.US,D,20260605,000000,16.59,16.59,14.11,14.17,234927,0
GMTL.US,D,20260608,000000,14.5,15.105,13.6,13.87,330849,0
GMTL.US,D,20260609,000000,14.22,14.455,13.18,13.44,197733,0
GMTL.US,D,20260610,000000,13.31,13.47,12.52,12.93,172777,0
GMTL.US,D,20260611,000000,12.79,14.05,12.79,13.92,151601,0
GMTL.US,D,20260612,000000,14,15.38,13.825,15.15,268350,0
GMTL.US,D,20260615,000000,15.48,16.21,14.5,15.4,221892,0
GMTL.US,D,20260616,000000,15.45,17.125,15.45,16.65,302592,0
GMTL.US,D,20260617,000000,16.87,16.95,15.63,15.85,117632,0
GMTL.US,D,20260618,000000,16,16.605,15.58,16.2,158672,0
GMTL.US,D,20260622,000000,16.38,17.35,16.23,16.35,273398,0
GMTL.US,D,20260623,000000,15.9,17.01,15.8,16.31,165144,0
GMTL.US,D,20260624,000000,16.5,16.5,14.11,14.62,245953,0
