<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REED.US,D,20251209,000000,3.065,3.33,3.03,3.17,207967,0
REED.US,D,20251210,000000,3.27,3.3,3.01,3.12,119733,0
REED.US,D,20251211,000000,3.14,3.59,3.08,3.54,123853,0
REED.US,D,20251212,000000,3.3855,3.84,3.33,3.56,91872,0
REED.US,D,20251215,000000,3.3902,3.645,3.37,3.4,58701,0
REED.US,D,20251216,000000,3.4,3.6351,3.4,3.43,57625,0
REED.US,D,20251217,000000,3.53,3.53,3.2,3.21,56198,0
REED.US,D,20251218,000000,3.32,3.385,2.68,2.72,76169,0
REED.US,D,20251219,000000,2.71,2.9375,2.6,2.86,72933,0
REED.US,D,20251222,000000,3.02,3.13,2.81,2.87,25939,0
REED.US,D,20251223,000000,2.9,2.91,2.7,2.74,12138,0
REED.US,D,20251224,000000,2.77,2.81,2.68,2.725,13116,0
REED.US,D,20251226,000000,2.72,2.79,2.53,2.6,16747,0
REED.US,D,20251229,000000,2.58,2.61,2.21,2.3,16717,0
REED.US,D,20251230,000000,2.3,2.45,2.11,2.1201,18401,0
REED.US,D,20251231,000000,2.2,2.2,2.09,2.1,10568,0
REED.US,D,20260102,000000,2.1366,2.28,1.745,2.1,48109,0
REED.US,D,20260105,000000,2.02,2.18,1.96,2.18,15158,0
REED.US,D,20260106,000000,2.15,2.24,2.088,2.125,13433,0
REED.US,D,20260107,000000,2.21,2.73,2.14,2.3,206198,0
REED.US,D,20260108,000000,2.37,2.425,2.1,2.4,32197,0
REED.US,D,20260109,000000,2.44,2.5,2.13,2.15,47980,0
REED.US,D,20260112,000000,2.26,2.3,2.0201,2.06,15568,0
REED.US,D,20260113,000000,2.3,2.3663,2,2.2,18735,0
REED.US,D,20260114,000000,2.15,2.24,2.07,2.094,15821,0
REED.US,D,20260115,000000,2.19,2.19,2.03,2.044,12598,0
REED.US,D,20260116,000000,2.11,2.305,1.9608,2.17,34618,0
REED.US,D,20260120,000000,2.15,2.58,2.1,2.25,63743,0
REED.US,D,20260121,000000,2.23,2.3899,2.15,2.24,32371,0
REED.US,D,20260122,000000,2.25,2.31,2.11,2.184,23842,0
REED.US,D,20260123,000000,2.2736,2.55,2.19,2.48,32629,0
REED.US,D,20260126,000000,2.45,2.8,2.36,2.72,38813,0
REED.US,D,20260127,000000,2.37,2.8,2.37,2.66,23538,0
REED.US,D,20260128,000000,2.569,2.69,2.18,2.49,19962,0
REED.US,D,20260129,000000,2.56,2.73,2.47,2.61,23991,0
REED.US,D,20260130,000000,2.42,2.64,2.31,2.38,14532,0
REED.US,D,20260202,000000,2.39,2.46,2.26,2.28,17053,0
REED.US,D,20260203,000000,2.26,2.4651,2.1,2.12,21639,0
REED.US,D,20260204,000000,2.35,2.51,2.076,2.076,32132,0
REED.US,D,20260205,000000,2.24,2.25,2,2.07,15985,0
REED.US,D,20260206,000000,2.2587,2.3,2.05,2.165,34164,0
REED.US,D,20260209,000000,2.2635,2.31,2.125,2.15,19605,0
REED.US,D,20260210,000000,2.15,2.21,2.08,2.08,17416,0
REED.US,D,20260211,000000,2.175,2.175,2,2.02,6232,0
REED.US,D,20260212,000000,2.1,2.27,2.1,2.12,3589,0
REED.US,D,20260213,000000,2.12,2.2,2.065,2.2,11061,0
REED.US,D,20260217,000000,2.36,2.36,1.99,2,14699,0
REED.US,D,20260218,000000,2.03,2.19,1.905,2.053,47050,0
REED.US,D,20260219,000000,2.02,2.143,1.98,2.045,16895,0
REED.US,D,20260220,000000,2.0649,2.14,2.0034,2.07,23139,0
REED.US,D,20260223,000000,2.04,2.39,2.04,2.35,21200,0
REED.US,D,20260224,000000,2.2646,2.6,2.24,2.24,42000,0
REED.US,D,20260225,000000,2.38,2.41,2.21,2.27,18200,0
REED.US,D,20260226,000000,2.355,2.383675,2.211,2.37,13968,0
REED.US,D,20260227,000000,2.36,2.37,2.36,2.37,3903,0
REED.US,D,20260302,000000,2.4071,2.4071,2.21,2.275,17453,0
REED.US,D,20260303,000000,2.2001,2.35,2.085,2.16,13504,0
REED.US,D,20260304,000000,2.37,2.37,2.0599,2.18,34384,0
REED.US,D,20260305,000000,2.3,2.314,2.3,2.314,3577,0
REED.US,D,20260306,000000,2.2779,2.365,2.25,2.31,10061,0
REED.US,D,20260309,000000,2.26,2.79,2.2,2.68,34173,0
REED.US,D,20260310,000000,2.59,2.97,2.3685,2.92,81981,0
REED.US,D,20260311,000000,2.91,3.64,2.77,3.41,52153,0
REED.US,D,20260312,000000,3.35,3.82,3.25,3.69,73247,0
REED.US,D,20260313,000000,3.59,4.13,3.51,4.1,59156,0
REED.US,D,20260316,000000,4.06,4.425,3.89,4.42,97198,0
REED.US,D,20260317,000000,4.74,5.3648,4.2201,4.55,77381,0
REED.US,D,20260318,000000,4.54,4.99,4.29,4.7,45409,0
REED.US,D,20260319,000000,4.85,5.16,4.32,4.92,37465,0
REED.US,D,20260320,000000,5.15,5.97,4.3312,4.5,289414,0
REED.US,D,20260323,000000,5.335,5.335,4.55,4.96,78780,0
REED.US,D,20260324,000000,5,5,4.4,4.41,41466,0
REED.US,D,20260325,000000,4.4359,4.65,3.44,3.63,55213,0
REED.US,D,20260326,000000,3.59,3.59,2.91,2.91,43357,0
REED.US,D,20260327,000000,3.05,3.74,2.9001,3.74,33671,0
REED.US,D,20260330,000000,3.65,3.65,3.53,3.53,3826,0
REED.US,D,20260331,000000,3.5,3.9076,3.38,3.63,12893,0
REED.US,D,20260401,000000,3.5,4.24,3.45,3.81,14576,0
REED.US,D,20260402,000000,3.8,4.2,3.6,3.76,30781,0
REED.US,D,20260406,000000,3.74,3.74,3.68,3.68,3870,0
REED.US,D,20260407,000000,3.955,4.21,3.77,3.91,13043,0
REED.US,D,20260408,000000,4.01,4.01,3.77,3.78,7679,0
REED.US,D,20260409,000000,3.76,3.95,3.73,3.77,5317,0
REED.US,D,20260410,000000,3.62,4.119,3.5,3.83,24673,0
REED.US,D,20260413,000000,3.9305,4.28,3.72,4.09,7081,0
REED.US,D,20260414,000000,4.05,4.34,3.97,4.34,16153,0
REED.US,D,20260415,000000,4.25,4.35,4.1,4.35,13998,0
REED.US,D,20260416,000000,4.22,4.26,4.0001,4.24,10014,0
REED.US,D,20260417,000000,4.13,4.21,3.8,3.96,12920,0
REED.US,D,20260420,000000,4.11,4.11,3.85,4,6703,0
REED.US,D,20260422,000000,3.84,3.94,3.57,3.86,9394,0
REED.US,D,20260423,000000,3.85,4,3.6,3.75,11558,0
REED.US,D,20260424,000000,3.85,3.98,3.76,3.94,3762,0
REED.US,D,20260427,000000,3.85,3.8976,3.7,3.74,8453,0
REED.US,D,20260428,000000,4,4.05,3.62,3.66,20297,0
REED.US,D,20260429,000000,3.64,4.1,3.15,3.7,38966,0
REED.US,D,20260430,000000,3.6,4.11,3.15,3.62,118137,0
REED.US,D,20260501,000000,3.61,4.197868,3.61,3.7,14353,0
REED.US,D,20260504,000000,3.7,3.7,3.17,3.5,17803,0
REED.US,D,20260505,000000,3.615,3.66,3.15,3.54,30494,0
REED.US,D,20260506,000000,3.55,3.59,3.49,3.49,6420,0
REED.US,D,20260507,000000,3.82,3.82,3.15,3.29,12469,0
REED.US,D,20260508,000000,3.23,3.2795,2.95,2.99,18267,0
REED.US,D,20260511,000000,3.02,3.02,2.7638,2.81,14158,0
REED.US,D,20260512,000000,2.86,2.865,2.4301,2.5,30375,0
REED.US,D,20260513,000000,2.03,2.3799,1.62,1.79,85326,0
REED.US,D,20260514,000000,1.94,2.3944,1.82,1.82,37567,0
REED.US,D,20260515,000000,1.91,2.41,1.9,1.9,91980,0
REED.US,D,20260518,000000,1.9,2.18,1.75,1.89,66480,0
REED.US,D,20260519,000000,2,2.01,1.78,1.91,69525,0
REED.US,D,20260520,000000,1.87,1.9353,1.66,1.69,50281,0
REED.US,D,20260521,000000,1.71,1.76,1.55,1.62,49175,0
REED.US,D,20260522,000000,1.64,1.64,1.42,1.59,93956,0
REED.US,D,20260526,000000,1.54,1.895,1.4899,1.81,39038,0
REED.US,D,20260527,000000,1.82,1.88,1.71,1.87,16866,0
REED.US,D,20260528,000000,1.87,1.87,1.68,1.76,21108,0
REED.US,D,20260529,000000,1.65,1.71,1.55,1.71,22583,0
REED.US,D,20260601,000000,1.72,1.86,1.7,1.81,20447,0
REED.US,D,20260602,000000,1.81,1.9,1.8,1.85,11537,0
REED.US,D,20260603,000000,1.85,1.96,1.85,1.9,10705,0
REED.US,D,20260604,000000,1.81,1.86,1.75,1.78,10065,0
REED.US,D,20260605,000000,1.79,1.7999,1.63,1.66,69102,0
REED.US,D,20260608,000000,1.7,1.72,1.515,1.72,10184,0
REED.US,D,20260609,000000,1.7,1.73,1.61,1.68,9265,0
REED.US,D,20260610,000000,1.8,1.8,1.63,1.63,14217,0
REED.US,D,20260611,000000,1.65,1.79,1.65,1.7,14961,0
REED.US,D,20260612,000000,1.71,2.1848,1.625,1.7,47079,0
REED.US,D,20260615,000000,1.75,1.9094,1.63,1.63,35733,0
REED.US,D,20260616,000000,1.64,1.78,1.4669,1.47,27386,0
REED.US,D,20260617,000000,1.53,1.53,1.36,1.45,27847,0
REED.US,D,20260618,000000,1.42,1.76,1.305,1.35,52183,0
REED.US,D,20260622,000000,1.3601,1.375,1.25,1.285,9504,0
REED.US,D,20260623,000000,1.3,1.3,1.24,1.262,8265,0
REED.US,D,20260624,000000,1.27,1.42,1.11,1.13,37710,0
