<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RGNT.US,D,20251204,000000,7.4,7.5,6.955,7.5,334241,0
RGNT.US,D,20251205,000000,7.29,7.6979,7.28,7.49,74243,0
RGNT.US,D,20251208,000000,7.26,7.38,7.05,7.33,11029,0
RGNT.US,D,20251209,000000,7.26,7.5,7.25,7.5,14637,0
RGNT.US,D,20251210,000000,7.2,7.2,7.05,7.1,4394,0
RGNT.US,D,20251211,000000,7.18,7.2,7.06,7.14,4007,0
RGNT.US,D,20251212,000000,7.17,7.18,7.17,7.18,3420,0
RGNT.US,D,20251215,000000,7.2671,7.46,6.801,6.8898,20143,0
RGNT.US,D,20251216,000000,6.81,6.8737,5.75,6.05,44305,0
RGNT.US,D,20251217,000000,6.335,6.34,6.13,6.1501,3181,0
RGNT.US,D,20251218,000000,6.3149,6.3962,6.25,6.3962,2547,0
RGNT.US,D,20251219,000000,6.5,6.5,6.1,6.1,998,0
RGNT.US,D,20251222,000000,6.135,6.95,6,6.65,28511,0
RGNT.US,D,20251223,000000,6.5,7.17,6.4,6.65,22504,0
RGNT.US,D,20251224,000000,6.5,6.65,6.5,6.65,1623,0
RGNT.US,D,20251226,000000,6.66,6.9499,6.3301,6.93,2092,0
RGNT.US,D,20251229,000000,6.74,7.25,6.73,7.07,20213,0
RGNT.US,D,20251230,000000,7.1,7.1,6.655,6.85,9410,0
RGNT.US,D,20251231,000000,6.965,6.965,6.65,6.74,2889,0
RGNT.US,D,20260105,000000,7,7.0481,6.55,6.81,39701,0
RGNT.US,D,20260106,000000,7.048,7.0499,6.44,6.6508,4813,0
RGNT.US,D,20260107,000000,6.16,6.78,6.16,6.78,3445,0
RGNT.US,D,20260108,000000,6.6999,7,6.68,6.91,7705,0
RGNT.US,D,20260109,000000,6.41,7.05,6.41,6.62,5620,0
RGNT.US,D,20260112,000000,6.55,6.55,6.35,6.35,1964,0
RGNT.US,D,20260113,000000,6.5516,6.5516,6.55,6.55,2582,0
RGNT.US,D,20260114,000000,6.6379,6.6379,6.6379,6.6379,3379,0
RGNT.US,D,20260115,000000,6.6393,7.77,6.465,7.7,116563,0
RGNT.US,D,20260116,000000,8.2,8.35,6.63,7.1,322373,0
RGNT.US,D,20260120,000000,7.58,7.58,6.1196,7.0999,184696,0
RGNT.US,D,20260121,000000,6.85,7.1591,6.75,6.9,30549,0
RGNT.US,D,20260122,000000,6.9,7.4574,6.87,7.25,22996,0
RGNT.US,D,20260123,000000,7.105,7.17,6.75,6.88,18887,0
RGNT.US,D,20260126,000000,6.8543,7,6.65,6.65,20361,0
RGNT.US,D,20260127,000000,6.55,6.6777,6.55,6.65,11099,0
RGNT.US,D,20260128,000000,6.65,6.83,4.37,6.44,55569,0
RGNT.US,D,20260129,000000,7,7,5.9901,6.13,22196,0
RGNT.US,D,20260130,000000,6,6.13,5.75,5.8,9820,0
RGNT.US,D,20260202,000000,5.8,5.9128,5.7786,5.81,8957,0
RGNT.US,D,20260203,000000,5.85,6.01,5.81,5.81,5749,0
RGNT.US,D,20260204,000000,6.005,6.05,5.8,5.8,8273,0
RGNT.US,D,20260205,000000,5.6,5.6,4.81,4.81,5889,0
RGNT.US,D,20260206,000000,5.25,5.3,4.83,4.83,20110,0
RGNT.US,D,20260209,000000,5.095,5.15,4.99,5.015,4853,0
RGNT.US,D,20260210,000000,4.8,5.2199,4.61,4.61,24677,0
RGNT.US,D,20260211,000000,4.83,4.8551,4.6,4.7,9620,0
RGNT.US,D,20260212,000000,4.75,4.77,4.04,4.38,18772,0
RGNT.US,D,20260213,000000,4.38,4.5,4.37,4.3895,3531,0
RGNT.US,D,20260217,000000,4.635,4.635,3.93,3.93,18263,0
RGNT.US,D,20260218,000000,4.18,4.18,3.91,4,5112,0
RGNT.US,D,20260219,000000,4.063,4.3,3.91,3.91,6280,0
RGNT.US,D,20260220,000000,3.91,4.2399,3.82,4.085,8665,0
RGNT.US,D,20260223,000000,4.15,4.15,3.7,3.7,4449,0
RGNT.US,D,20260224,000000,3.9,4.02,3.8,4,12300,0
