session_date,maintained_status,fallback_status,maintained_open_timestamp,fallback_open_timestamp,maintained_close_timestamp,fallback_close_timestamp,maintained_early_close,fallback_early_close,maintained_holiday_closure,fallback_holiday_closure,mismatch_fields,classification,maintained_schedule_hash,fallback_schedule_hash
2018-12-05,SPECIAL_CLOSURE,SPECIAL_CLOSURE,,,,,False,False,True,True,,match,41DE53F80405A7B3A4F169C8E89E7D8C3DBA073C9228E194D25B9ED6D98286FE,C1982B79C1C05D9E6C91EA4F536884BE6B6061BC5E75C2E977852B57977B1805
2021-12-31,REGULAR_SESSION,CLOSED_HOLIDAY,2021-12-31T14:30:00Z,,2021-12-31T21:00:00Z,,False,False,False,True,open_timestamps|close_timestamps|holiday_closures,maintained authority correction,66AE481E7E67063458BADA8A3F7C73F2AF598BA625DF4E8C9B1D1E69FB24C5E0,BED031BBDF86B95DBF976892D8669DAA21D34C5D8439A4338CD0114F754D64C8
2025-01-09,SPECIAL_CLOSURE,SPECIAL_CLOSURE,,,,,False,False,True,True,,match,9B69B2F100FC384096355B42B68ECDD9F129CC324C3D372268FAE78326E2A18B,EB74B4900DFC5F5296B25A3902CBE016D92290FE4F16D3B95E670DFCD511EF76
2025-07-03,EARLY_CLOSE,EARLY_CLOSE,2025-07-03T13:30:00Z,2025-07-03T13:30:00Z,2025-07-03T17:00:00Z,2025-07-03T17:00:00Z,True,True,False,False,,match,1891488710441E745A73188A40AD5F9183CE701A31ABE6AB90CD13FAEA5D908A,11533132111DA17FAB53D6218B8AB04A48CA5F906ED2142713B7C8D13AA99F25
2025-11-27,CLOSED_HOLIDAY,CLOSED_HOLIDAY,,,,,False,False,True,True,,match,6C71721265A3D0750F308C295D35DE517AAB6799154E1C0377CF1BD6BBC7BBA8,F9E1E6DC648BE75FD07B492049F626911687FBDF954360E6A9E12E225F633872
2025-11-28,EARLY_CLOSE,EARLY_CLOSE,2025-11-28T14:30:00Z,2025-11-28T14:30:00Z,2025-11-28T18:00:00Z,2025-11-28T18:00:00Z,True,True,False,False,,match,9C9BCE390912C00BEE15D781CEE83B01FB72854F06524D8B09F2821B4CAA3F8D,9FD3A876480CC2418376C55A8245222BE243F2E701D8DDA815BC4C32841A5D2C
2025-12-24,EARLY_CLOSE,EARLY_CLOSE,2025-12-24T14:30:00Z,2025-12-24T14:30:00Z,2025-12-24T18:00:00Z,2025-12-24T18:00:00Z,True,True,False,False,,match,A4156D26629D87EE7A0E04A18DE262BD9432F0AB10F95065C38BC625E7886894,DC5BA49553DF1720D433559FD8FDF3E1534C4122A5B7E9753BFEDFF414170BDD
2025-12-25,CLOSED_HOLIDAY,CLOSED_HOLIDAY,,,,,False,False,True,True,,match,449114A766541DDE2A462C0B06A32C447DA6CBF5225F3EA88E8F8AB169F89675,E1FC9BAD49AF7AB27D8FB1D522208C083EEBDA57FFED87AAF3F7165D9D59322B
2026-01-01,CLOSED_HOLIDAY,CLOSED_HOLIDAY,,,,,False,False,True,True,,match,C1EEE5CE7057673567AD1FC61460109431DD7946A903B292799097C50F1B6024,4072796DE6342EE5FE4CB23F7C97A1F1150A765489EF22E8E4A550BF90F8AD66
2026-01-02,REGULAR_SESSION,REGULAR_SESSION,2026-01-02T14:30:00Z,2026-01-02T14:30:00Z,2026-01-02T21:00:00Z,2026-01-02T21:00:00Z,False,False,False,False,,match,EB335833B234DC0165C7151A13953F8426AA75759351B2FD363EFBD790A0EF99,3B125FAA335D124DEB06643323AC67CAB475FAC7A3131444B9711D9D0DFAC3FF
2026-01-03,CLOSED_WEEKEND,CLOSED_WEEKEND,,,,,False,False,False,False,,match,83351FE640418F2F82B59C76E551A22B9F6BBFA04693084DD08C9B81C3417D15,B09FE55F8ACBFD96EC28E03CCF9588EA7FBCB6FAFC07B67E4242F9C11F028F76
2026-03-09,REGULAR_SESSION,REGULAR_SESSION,2026-03-09T13:30:00Z,2026-03-09T13:30:00Z,2026-03-09T20:00:00Z,2026-03-09T20:00:00Z,False,False,False,False,,match,65E93C41255FB986F7129C6CD35AE7038A4DBF01005833C38088CB3AC0B10E1E,A2CF3D26492CA2F813CFB36A041CB71C5904CC2A814EDB3ED3C67A8D2E0C47D0
2026-11-02,REGULAR_SESSION,REGULAR_SESSION,2026-11-02T14:30:00Z,2026-11-02T14:30:00Z,2026-11-02T21:00:00Z,2026-11-02T21:00:00Z,False,False,False,False,,match,E5015BA7AA1200191716CDF19708C7123AF5090C55875DFE4A0890C34FD3758E,A4BF92F2AC42FCBF597F7FE6C744F5C14B4A1FBDCDC7111D7F48B08F516E148D
2026-12-24,EARLY_CLOSE,EARLY_CLOSE,2026-12-24T14:30:00Z,2026-12-24T14:30:00Z,2026-12-24T18:00:00Z,2026-12-24T18:00:00Z,True,True,False,False,,match,5A914DE0644FB93302A6B1595370262671FD13BFC8F09838F3CE92D2FF762635,C8C3F8CF766B39A90D4356CA19BB8F2D566B9B90A852D3681875F5D6AC6E8E54
