candidate_count,date,ds03_reference_included_assets
514,2019-08-08,356
514,2019-09-03,356
514,2019-10-01,358
514,2019-11-01,358
514,2019-12-02,363
514,2020-01-02,363
514,2020-02-03,359
514,2020-03-02,361
514,2020-04-01,354
514,2020-05-01,358
514,2020-06-01,356
514,2020-07-01,360
514,2020-08-03,353
514,2020-09-01,356
514,2020-10-01,357
514,2020-11-02,352
514,2020-12-01,362
514,2021-01-04,365
514,2021-02-01,367
514,2021-03-01,373
514,2021-04-01,375
514,2021-05-03,367
514,2021-06-01,368
514,2021-07-01,371
514,2021-08-02,366
514,2021-09-01,363
514,2021-10-01,364
514,2021-11-01,362
514,2021-12-01,367
514,2022-01-03,372
514,2022-02-01,369
514,2022-03-01,366
514,2022-04-01,369
514,2022-05-02,364
514,2022-06-01,366
514,2022-07-01,364
514,2022-08-01,358
514,2022-09-01,361
514,2022-10-03,360
514,2022-11-01,360
514,2022-12-01,362
514,2023-01-03,361
514,2023-02-01,363
514,2023-03-01,360
514,2023-04-03,366
514,2023-05-01,359
514,2023-06-01,359
514,2023-07-03,362
514,2023-08-01,359
514,2023-09-01,365
514,2023-10-02,365
514,2023-11-01,364
514,2023-12-01,366
514,2024-01-02,371
514,2024-02-01,367
514,2024-03-01,367
514,2024-04-01,370
514,2024-05-01,366
514,2024-06-03,373
514,2024-07-01,374
514,2024-08-01,376
514,2024-09-03,372
514,2024-10-01,372
514,2024-11-01,370
514,2024-12-02,373
514,2025-01-02,374
514,2025-02-03,375
514,2025-03-03,376
514,2025-04-01,373
